"geneNames"	"SNP_NUM"	"nsSNP"
"YAR033W"	1950	"1188"
"YAR035W"	9496	"1250"
"YAR035C-A"	46	"41"
"YAR042W"	19995	"6937"
"YAR050W"	4157	"2984"
"YAR064W"	0	"NA"
"YAR066W"	0	"NA"
"YAR068W"	0	"NA"
"YAR071W"	23	"3"
"YBL113C"	0	"NA"
"YBL112C"	0	"NA"
"YBL111C"	0	"NA"
"YBL108C-A"	0	"NA"
"YBL107C"	1551	"639"
"YBL106C"	9185	"3539"
"YBL105C"	7929	"1534"
"YBL104C"	4603	"1682"
"YBL103C"	2136	"1200"
"YBL102W"	1150	"32"
"YBL101C"	7003	"1697"
"YBL100W-C"	401	"375"
"YBL099W"	3719	"136"
"YBL098W"	4467	"665"
"YBL097W"	5614	"2071"
"YBL095W"	2606	"325"
"YBL093C"	529	"41"
"YBL092W"	25	"3"
"YBL091C-A"	2354	"1646"
"YBL091C"	1185	"45"
"YBL090W"	924	"317"
"YBL089W"	4188	"1639"
"YBL088C"	15872	"7171"
"YBL087C"	2513	"1"
"YBL086C"	3117	"1199"
"YBL085W"	6453	"3033"
"YBL084C"	4930	"1922"
"YBL082C"	2618	"567"
"YBL081W"	3195	"961"
"YBL080C"	9029	"4208"
"YBL079W"	14161	"3389"
"YBL078C"	178	"12"
"YBL076C"	5381	"290"
"YBL075C"	6176	"731"
"YBL074C"	1875	"635"
"YBL072C"	73	"10"
"YBL071C-B"	1056	"1020"
"YBL071W-A"	1115	"505"
"YBL071C"	870	"800"
"YBL069W"	1049	"105"
"YBL068W"	1133	"113"
"YBL067C"	5285	"3315"
"YBL066C"	6347	"1933"
"YBL064C"	1575	"102"
"YBL063W"	7469	"1868"
"YBL061C"	7086	"2906"
"YBL060W"	5686	"2480"
"YBL059C-A"	618	"331"
"YBL059W"	1515	"614"
"YBL058W"	7409	"3797"
"YBL057C"	600	"220"
"YBL056W"	2020	"459"
"YBL055C"	8529	"2852"
"YBL054W"	8351	"3982"
"YBL052C"	17119	"6143"
"YBL051C"	14385	"5185"
"YBL050W"	1699	"73"
"YBL049W"	894	"26"
"YBL048W"	231	"216"
"YBL047C"	19437	"5054"
"YBL046W"	9598	"4365"
"YBL045C"	1778	"677"
"YBL044W"	503	"474"
"YBL043W"	3253	"534"
"YBL042C"	8075	"3887"
"YBL041W"	1625	"57"
"YBL040C"	6175	"18"
"YBL039W-B"	831	"57"
"YBL039C"	6873	"337"
"YBL038W"	6964	"1748"
"YBL037W"	9762	"2947"
"YBL036C"	2068	"764"
"YBL035C"	12225	"3552"
"YBL034C"	14275	"4185"
"YBL033C"	5751	"155"
"YBL032W"	3543	"1563"
"YBL031W"	3934	"2901"
"YBL030C"	6244	"2061"
"YBL029C-A"	62	"24"
"YBL029W"	5654	"2111"
"YBL028C"	1006	"60"
"YBL027W"	6624	"38"
"YBL026W"	921	"1"
"YBL025W"	1880	"840"
"YBL024W"	6835	"2072"
"YBL023C"	9035	"242"
"YBL022C"	10542	"1961"
"YBL021C"	378	"26"
"YBL020W"	8809	"383"
"YBL019W"	8890	"5830"
"YBL018C"	5679	"1497"
"YBL017C"	22850	"11312"
"YBL016W"	3184	"702"
"YBL015W"	4304	"102"
"YBL014C"	13003	"4620"
"YBL013W"	6428	"2918"
"YBL011W"	11784	"2193"
"YBL010C"	1612	"1110"
"YBL009W"	11577	"3278"
"YBL008W-A"	136	"86"
"YBL008W"	7277	"1543"
"YBL007C"	14703	"6937"
"YBL006C"	4709	"1874"
"YBL005W"	11575	"2949"
"YBL004W"	19253	"10551"
"YBL003C"	729	"5"
"YBL002W"	706	"1"
"YBL001C"	134	"12"
"YBR001C"	10685	"5819"
"YBR002C"	2457	"856"
"YBR003W"	5588	"668"
"YBR004C"	4223	"2104"
"YBR005W"	2624	"1731"
"YBR006W"	8488	"150"
"YBR007C"	6533	"4323"
"YBR008C"	7843	"4084"
"YBR009C"	1060	"0"
"YBR010W"	216	"3"
"YBR011C"	1528	"90"
"YBR013C"	1456	"678"
"YBR014C"	1886	"983"
"YBR015C"	5540	"2281"
"YBR016W"	446	"117"
"YBR017C"	3226	"689"
"YBR018C"	1813	"343"
"YBR019C"	2813	"1109"
"YBR020W"	2087	"758"
"YBR021W"	2717	"740"
"YBR022W"	1350	"756"
"YBR023C"	8243	"2635"
"YBR024W"	2616	"614"
"YBR025C"	1238	"35"
"YBR026C"	3772	"978"
"YBR027C"	614	"584"
"YBR028C"	3362	"2245"
"YBR029C"	2388	"122"
"YBR030W"	10766	"5438"
"YBR031W"	250	"44"
"YBR032W"	2423	"307"
"YBR033W"	12990	"8792"
"YBR034C"	691	"73"
"YBR035C"	950	"22"
"YBR036C"	2790	"963"
"YBR037C"	2128	"625"
"YBR038W"	6113	"262"
"YBR039W"	1577	"176"
"YBR040W"	1836	"312"
"YBR041W"	4590	"648"
"YBR042C"	11130	"2246"
"YBR043C"	10495	"1351"
"YBR044C"	7495	"1955"
"YBR045C"	10003	"4683"
"YBR046C"	4009	"1768"
"YBR047W"	1618	"127"
"YBR048W"	10269	"19"
"YBR049C"	5258	"629"
"YBR050C"	4080	"2444"
"YBR052C"	2733	"159"
"YBR053C"	6099	"2005"
"YBR054W"	5123	"942"
"YBR055C"	13122	"4164"
"YBR056W"	3699	"478"
"YBR056W-A"	480	"189"
"YBR057C"	984	"489"
"YBR058C"	7084	"3486"
"YBR058C-A"	734	"80"
"YBR059C"	10944	"3331"
"YBR060C"	6306	"1784"
"YBR061C"	5235	"136"
"YBR062C"	3304	"1342"
"YBR063C"	11199	"8395"
"YBR065C"	4380	"2109"
"YBR066C"	577	"328"
"YBR067C"	2565	"100"
"YBR068C"	4339	"1620"
"YBR069C"	10251	"2505"
"YBR070C"	4606	"1880"
"YBR071W"	3088	"299"
"YBR072W"	3475	"1643"
"YBR072C-A"	2069	"1248"
"YBR073W"	11757	"3199"
"YBR074W"	10487	"4952"
"YBR076W"	4203	"2070"
"YBR077C"	3091	"652"
"YBR078W"	8723	"2416"
"YBR079C"	10201	"2378"
"YBR080C"	6299	"1366"
"YBR081C"	16533	"8710"
"YBR082C"	3246	"22"
"YBR083W"	4298	"1511"
"YBR084W"	10049	"2161"
"YBR084C-A"	2208	"21"
"YBR085W"	3278	"606"
"YBR085C-A"	1588	"871"
"YBR086C"	17236	"5368"
"YBR087W"	8779	"292"
"YBR088C"	1234	"18"
"YBR089C-A"	947	"333"
"YBR090C"	2217	"642"
"YBR091C"	626	"36"
"YBR092C"	8957	"626"
"YBR093C"	5804	"787"
"YBR094W"	9230	"836"
"YBR095C"	4202	"1929"
"YBR096W"	1220	"125"
"YBR097W"	15439	"4379"
"YBR098W"	8719	"5136"
"YBR101C"	2563	"351"
"YBR102C"	5988	"431"
"YBR103W"	6214	"2939"
"YBR104W"	1153	"119"
"YBR105C"	5979	"1534"
"YBR106W"	3242	"50"
"YBR107C"	6996	"3049"
"YBR108W"	19876	"9245"
"YBR109C"	794	"35"
"YBR110W"	4691	"917"
"YBR111C"	4117	"1446"
"YBR111W-A"	2059	"730"
"YBR112C"	13510	"3653"
"YBR114W"	13299	"1643"
"YBR115C"	16818	"3421"
"YBR117C"	6173	"297"
"YBR118W"	274	"0"
"YBR119W"	7956	"3514"
"YBR120C"	999	"408"
"YBR121C"	5621	"1145"
"YBR122C"	1279	"329"
"YBR123C"	5865	"2558"
"YBR125C"	2834	"428"
"YBR126C"	6867	"142"
"YBR126W-A"	147	"78"
"YBR127C"	1418	"41"
"YBR128C"	3482	"1799"
"YBR129C"	1721	"423"
"YBR130C"	3196	"1527"
"YBR131W"	15884	"4426"
"YBR132C"	10313	"2863"
"YBR133C"	8456	"2699"
"YBR135W"	905	"69"
"YBR136W"	29283	"5558"
"YBR137W"	2081	"104"
"YBR138C"	10160	"3480"
"YBR139W"	8942	"2676"
"YBR140C"	55654	"15624"
"YBR141C"	5766	"2978"
"YBR142W"	14676	"3296"
"YBR143C"	4636	"27"
"YBR144C"	2819	"1343"
"YBR145W"	3495	"195"
"YBR146W"	6882	"1228"
"YBR147W"	9920	"2043"
"YBR148W"	17949	"11286"
"YBR149W"	2720	"875"
"YBR150C"	28044	"7578"
"YBR151W"	2895	"208"
"YBR152W"	5249	"2300"
"YBR153W"	6344	"2575"
"YBR154C"	2004	"49"
"YBR155W"	7464	"1206"
"YBR156C"	9463	"3909"
"YBR157C"	4428	"1483"
"YBR158W"	6850	"3083"
"YBR159W"	7662	"3052"
"YBR160W"	1677	"59"
"YBR161W"	3267	"246"
"YBR162C"	5841	"1649"
"YBR162W-A"	765	"605"
"YBR163W"	10030	"4399"
"YBR164C"	1653	"25"
"YBR165W"	3528	"352"
"YBR166C"	8488	"5057"
"YBR167C"	1751	"889"
"YBR168W"	5152	"3754"
"YBR169C"	11721	"3053"
"YBR170C"	3476	"934"
"YBR171W"	904	"21"
"YBR172C"	17214	"6136"
"YBR173C"	768	"87"
"YBR175W"	5249	"1505"
"YBR176W"	4299	"2213"
"YBR177C"	5250	"2886"
"YBR179C"	11080	"2441"
"YBR180W"	13929	"6051"
"YBR181C"	5009	"64"
"YBR182C"	8588	"2684"
"YBR182C-A"	2693	"1701"
"YBR183W"	3983	"186"
"YBR184W"	8580	"4928"
"YBR185C"	5102	"300"
"YBR186W"	11072	"5428"
"YBR187W"	4028	"2409"
"YBR188C"	5977	"3671"
"YBR189W"	2018	"979"
"YBR191W"	4093	"9"
"YBR192W"	5067	"74"
"YBR193C"	3006	"1244"
"YBR194W"	3785	"1406"
"YBR195C"	4050	"866"
"YBR196C"	6958	"74"
"YBR196C-A"	1178	"1159"
"YBR196C-B"	939	"89"
"YBR197C"	5173	"2975"
"YBR198C"	10170	"366"
"YBR199W"	7966	"3068"
"YBR200W"	4656	"380"
"YBR200W-A"	986	"233"
"YBR201W"	4544	"1053"
"YBR201C-A"	1415	"633"
"YBR202W"	10747	"1089"
"YBR203W"	15287	"4603"
"YBR204C"	9824	"4476"
"YBR205W"	4775	"168"
"YBR207W"	6532	"717"
"YBR208C"	21818	"5650"
"YBR209W"	1501	"1413"
"YBR210W"	2134	"118"
"YBR211C"	5002	"1525"
"YBR212W"	6337	"1591"
"YBR213W"	5690	"2508"
"YBR214W"	7638	"1889"
"YBR215W"	13016	"4293"
"YBR216C"	7795	"2278"
"YBR217W"	456	"214"
"YBR218C"	12546	"1112"
"YBR219C"	3383	"191"
"YBR220C"	5014	"357"
"YBR221C"	2017	"944"
"YBR221W-A"	77	"71"
"YBR222C"	5398	"215"
"YBR223C"	7694	"4517"
"YBR225W"	11723	"2990"
"YBR227C"	4010	"1954"
"YBR228W"	7206	"3266"
"YBR229C"	15806	"7134"
"YBR230C"	1478	"861"
"YBR230W-A"	2243	"1118"
"YBR231C"	4092	"1522"
"YBR233W"	2377	"215"
"YBR233W-A"	1250	"43"
"YBR234C"	2876	"836"
"YBR235W"	14457	"1309"
"YBR236C"	3982	"1518"
"YBR237W"	17042	"10458"
"YBR238C"	5893	"869"
"YBR239C"	6603	"2513"
"YBR240C"	4367	"381"
"YBR241C"	3311	"1192"
"YBR242W"	1774	"725"
"YBR243C"	2035	"275"
"YBR244W"	645	"252"
"YBR245C"	7007	"2646"
"YBR246W"	4469	"1621"
"YBR247C"	2092	"932"
"YBR248C"	2288	"418"
"YBR249C"	2329	"235"
"YBR250W"	3522	"1649"
"YBR251W"	1887	"66"
"YBR252W"	589	"238"
"YBR253W"	1181	"828"
"YBR254C"	1151	"177"
"YBR255W"	5463	"3370"
"YBR255C-A"	1036	"20"
"YBR256C"	2956	"975"
"YBR257W"	1980	"927"
"YBR258C"	1028	"573"
"YBR259W"	9369	"4558"
"YBR260C"	5492	"593"
"YBR261C"	1804	"257"
"YBR262C"	257	"129"
"YBR263W"	2218	"488"
"YBR264C"	1918	"1313"
"YBR265W"	2169	"473"
"YBR267W"	3994	"1765"
"YBR268W"	921	"702"
"YBR269C"	655	"90"
"YBR270C"	5288	"2031"
"YBR271W"	6374	"2330"
"YBR272C"	4637	"390"
"YBR273C"	6147	"4843"
"YBR274W"	7745	"1068"
"YBR275C"	49621	"20056"
"YBR276C"	6570	"4361"
"YBR278W"	1452	"341"
"YBR279W"	3983	"468"
"YBR280C"	5925	"3127"
"YBR281C"	4546	"1484"
"YBR282W"	2256	"235"
"YBR283C"	4543	"347"
"YBR284W"	8986	"3270"
"YBR285W"	352	"223"
"YBR286W"	4125	"1640"
"YBR287W"	3573	"1230"
"YBR288C"	3247	"1725"
"YBR289W"	6604	"3004"
"YBR290W"	1170	"200"
"YBR291C"	2192	"1082"
"YBR292C"	2716	"2171"
"YBR293W"	4814	"1932"
"YBR294W"	4672	"1170"
"YBR295W"	17859	"9920"
"YBR296C"	5828	"984"
"YBR296C-A"	301	"18"
"YBR297W"	5362	"3764"
"YBR298C"	6413	"2805"
"YBR298C-A"	69	"38"
"YBR299W"	34	"31"
"YBR301W"	535	"21"
"YBR302C"	0	"NA"
"YCL073C"	1741	"551"
"YCL069W"	20	"20"
"YCL068C"	75	"45"
"YCL067C"	0	"NA"
"YCL066W"	0	"NA"
"YCL064C"	3201	"554"
"YCL063W"	4600	"3217"
"YCL061C"	10743	"4790"
"YCL059C"	1807	"132"
"YCL058C"	460	"334"
"YCL058W-A"	0	"NA"
"YCL057C-A"	743	"49"
"YCL057W"	6500	"2464"
"YCL056C"	134	"55"
"YCL055W"	2170	"453"
"YCL054W-A"	272	"196"
"YCL054W"	5562	"818"
"YCL052C"	3568	"1026"
"YCL051W"	3666	"2135"
"YCL050C"	2461	"123"
"YCL049C"	3600	"2148"
"YCL048W-A"	254	"67"
"YCL048W"	3840	"1941"
"YCL047C"	3275	"360"
"YCL045C"	4385	"2592"
"YCL044C"	2119	"520"
"YCL043C"	5520	"787"
"YCL042W"	2277	"2174"
"YCL040W"	4433	"190"
"YCL039W"	10252	"3151"
"YCL038C"	2028	"192"
"YCL037C"	1511	"545"
"YCL036W"	6956	"2578"
"YCL035C"	409	"11"
"YCL034W"	2312	"416"
"YCL033C"	562	"351"
"YCL032W"	4437	"1223"
"YCL031C"	979	"188"
"YCL030C"	7967	"1943"
"YCL029C"	2172	"601"
"YCL028W"	5201	"762"
"YCL027W"	3674	"1530"
"YCL026C-B"	564	"56"
"YCL026C-A"	3917	"772"
"YCL025C"	6394	"2801"
"YCL024W"	8738	"3458"
"YCL021W-A"	1294	"334"
"YCL018W"	5305	"26"
"YCL017C"	5084	"760"
"YCL016C"	4210	"692"
"YCL014W"	24085	"9522"
"YCL012C"	2131	"1956"
"YCL011C"	2645	"1359"
"YCL010C"	2523	"1583"
"YCL009C"	2680	"1173"
"YCL008C"	2815	"930"
"YCL005W-A"	950	"5"
"YCL005W"	2213	"576"
"YCL004W"	2305	"670"
"YCL002C"	1422	"167"
"YCL001W"	661	"64"
"YCL001W-A"	1350	"763"
"YCL001W-B"	1629	"961"
"YCR001W"	701	"661"
"YCR002C"	1578	"388"
"YCR003W"	1609	"1067"
"YCR004C"	2234	"260"
"YCR005C"	1951	"82"
"YCR006C"	1878	"1776"
"YCR007C"	1041	"720"
"YCR008W"	5208	"1338"
"YCR009C"	2923	"369"
"YCR010C"	170	"34"
"YCR011C"	3277	"1280"
"YCR012W"	670	"91"
"YCR014C"	4272	"1969"
"YCR015C"	845	"671"
"YCR016W"	1169	"440"
"YCR017C"	6678	"3245"
"YCR018C"	3496	"1729"
"YCR019W"	2132	"882"
"YCR020C"	558	"270"
"YCR020C-A"	574	"95"
"YCR020W-B"	345	"39"
"YCR021C"	2641	"925"
"YCR022C"	1004	"890"
"YCR023C"	4226	"3296"
"YCR024C"	1958	"296"
"YCR024C-B"	1106	"949"
"YCR024C-A"	25	"3"
"YCR025C"	2014	"1902"
"YCR026C"	6238	"4080"
"YCR027C"	1148	"714"
"YCR028C"	2864	"393"
"YCR028C-A"	193	"80"
"YCR030C"	3820	"1669"
"YCR031C"	540	"5"
"YCR032W"	18072	"7914"
"YCR033W"	14863	"9617"
"YCR034W"	1203	"56"
"YCR035C"	2905	"1702"
"YCR036W"	3474	"1303"
"YCR037C"	5525	"1046"
"YCR038C"	1831	"1209"
"YCR039C"	0	"NA"
"YCR040W"	0	"NA"
"YCR041W"	2463	"1312"
"YCR042C"	12817	"4032"
"YCR043C"	372	"236"
"YCR044C"	2984	"1146"
"YCR045C"	4749	"1112"
"YCR046C"	1792	"696"
"YCR047C"	2075	"156"
"YCR048W"	5385	"1728"
"YCR050C"	185	"185"
"YCR051W"	1958	"1312"
"YCR052W"	7743	"2088"
"YCR053W"	2918	"224"
"YCR054C"	3288	"840"
"YCR057C"	5217	"2271"
"YCR059C"	1966	"662"
"YCR060W"	2239	"853"
"YCR061W"	3789	"1635"
"YCR063W"	610	"23"
"YCR065W"	3298	"1686"
"YCR066W"	3476	"1958"
"YCR067C"	15693	"8357"
"YCR068W"	7546	"2652"
"YCR069W"	2700	"1486"
"YCR071C"	1527	"81"
"YCR072C"	8098	"165"
"YCR073C"	17626	"5920"
"YCR073W-A"	2140	"759"
"YCR075C"	2008	"207"
"YCR075W-A"	237	"74"
"YCR076C"	3643	"3141"
"YCR077C"	10183	"2097"
"YCR079W"	6077	"934"
"YCR081W"	17611	"5105"
"YCR082W"	1283	"66"
"YCR083W"	1029	"124"
"YCR084C"	5579	"1550"
"YCR085W"	1517	"411"
"YCR086W"	996	"46"
"YCR087C-A"	2935	"340"
"YCR088W"	8008	"4442"
"YCR089W"	15782	"9200"
"YCR090C"	549	"123"
"YCR091W"	4199	"1618"
"YCR092C"	9158	"3439"
"YCR093W"	12331	"4173"
"YCR094W"	2828	"1382"
"YCR095C"	2434	"927"
"YCR095W-A"	110	"75"
"YCR096C"	0	"NA"
"YCR097W"	1500	"1183"
"YCR098C"	8896	"1187"
"YCR099C"	2509	"1726"
"YCR100C"	5367	"3365"
"YCR101C"	3124	"1617"
"YCR102C"	1625	"1253"
"YCR104W"	860	"596"
"YCR105W"	1016	"400"
"YCR106W"	7704	"4173"
"YCR107W"	4014	"2674"
"YCR108C"	0	"NA"
"YDL248W"	1007	"999"
"YDL247W"	0	"NA"
"YDL246C"	0	"NA"
"YDL245C"	0	"NA"
"YDL244W"	42	"23"
"YDL243C"	3365	"601"
"YDL242W"	3805	"1871"
"YDL241W"	3320	"2774"
"YDL240W"	7601	"2247"
"YDL239C"	11018	"6434"
"YDL238C"	4775	"1665"
"YDL237W"	4155	"2179"
"YDL236W"	2658	"859"
"YDL235C"	1021	"71"
"YDL234C"	2935	"1195"
"YDL233W"	4044	"1310"
"YDL232W"	7	"2"
"YDL231C"	8237	"3110"
"YDL230W"	2655	"638"
"YDL229W"	1592	"38"
"YDL227C"	5729	"3356"
"YDL226C"	3854	"1457"
"YDL225W"	4653	"2118"
"YDL224C"	2492	"783"
"YDL223C"	9350	"4974"
"YDL222C"	2514	"1309"
"YDL220C"	18444	"9487"
"YDL219W"	3845	"75"
"YDL218W"	3013	"409"
"YDL217C"	2858	"81"
"YDL216C"	6146	"1670"
"YDL215C"	15091	"3200"
"YDL214C"	10788	"5893"
"YDL213C"	3696	"137"
"YDL212W"	5770	"1069"
"YDL211C"	17822	"7871"
"YDL210W"	6999	"893"
"YDL209C"	2634	"736"
"YDL208W"	183	"27"
"YDL207W"	11207	"3171"
"YDL206W"	13223	"5854"
"YDL205C"	501	"168"
"YDL204W"	3974	"1183"
"YDL203C"	15407	"4224"
"YDL202W"	2322	"277"
"YDL201W"	3134	"275"
"YDL200C"	2072	"1187"
"YDL199C"	14255	"3242"
"YDL198C"	2891	"83"
"YDL197C"	13263	"7320"
"YDL195W"	14869	"4898"
"YDL194W"	19697	"6878"
"YDL193W"	6298	"1703"
"YDL192W"	1481	"1"
"YDL191W"	5858	"2"
"YDL190C"	8426	"1442"
"YDL189W"	9354	"3182"
"YDL188C"	2308	"97"
"YDL186W"	1449	"826"
"YDL185W"	15996	"1948"
"YDL184C"	9	"2"
"YDL183C"	5484	"533"
"YDL182W"	1645	"90"
"YDL181W"	1252	"25"
"YDL180W"	7574	"3738"
"YDL179W"	1695	"352"
"YDL178W"	5731	"259"
"YDL177C"	3334	"1295"
"YDL176W"	7016	"459"
"YDL175C"	1726	"359"
"YDL174C"	7670	"348"
"YDL173W"	2502	"1652"
"YDL171C"	29521	"2725"
"YDL170W"	6026	"2600"
"YDL169C"	4654	"4388"
"YDL168W"	5964	"1662"
"YDL167C"	7633	"4088"
"YDL166C"	3809	"635"
"YDL165W"	1429	"92"
"YDL164C"	8014	"682"
"YDL161W"	1083	"369"
"YDL160C-A"	291	"75"
"YDL160C"	3919	"162"
"YDL159W-A"	792	"693"
"YDL159W"	4632	"578"
"YDL157C"	642	"615"
"YDL156W"	7476	"3304"
"YDL155W"	6265	"543"
"YDL154W"	18538	"10016"
"YDL153C"	5373	"4177"
"YDL150W"	8394	"1804"
"YDL149W"	17349	"5359"
"YDL148C"	6606	"1901"
"YDL147W"	3719	"618"
"YDL146W"	15101	"4360"
"YDL145C"	9857	"3763"
"YDL144C"	4040	"1712"
"YDL143W"	3929	"162"
"YDL142C"	2812	"888"
"YDL141W"	9491	"2586"
"YDL140C"	5412	"326"
"YDL139C"	5321	"1853"
"YDL138W"	8875	"3707"
"YDL137W"	298	"31"
"YDL136W"	5072	"56"
"YDL135C"	2955	"186"
"YDL134C"	1179	"172"
"YDL133C-A"	0	"NA"
"YDL133W"	3806	"1085"
"YDL132W"	8248	"2302"
"YDL131W"	3978	"140"
"YDL130W-A"	647	"119"
"YDL130W"	1063	"54"
"YDL129W"	5828	"2643"
"YDL128W"	8720	"2468"
"YDL127W"	3642	"689"
"YDL126C"	13173	"501"
"YDL125C"	948	"302"
"YDL124W"	9494	"6021"
"YDL123W"	807	"152"
"YDL122W"	6990	"3393"
"YDL121C"	339	"186"
"YDL120W"	767	"77"
"YDL119C"	1778	"1162"
"YDL117W"	14254	"3638"
"YDL116W"	9976	"5845"
"YDL115C"	3924	"1336"
"YDL114W"	4416	"2017"
"YDL113C"	6894	"2589"
"YDL112W"	25108	"8723"
"YDL111C"	1572	"640"
"YDL110C"	347	"161"
"YDL109C"	13696	"5427"
"YDL108W"	1704	"164"
"YDL107W"	6676	"3052"
"YDL106C"	5316	"1271"
"YDL105W"	5723	"741"
"YDL104C"	7322	"2074"
"YDL103C"	9852	"1453"
"YDL102W"	9958	"1459"
"YDL101C"	14044	"1844"
"YDL100C"	4206	"368"
"YDL099W"	6800	"2807"
"YDL098C"	1120	"203"
"YDL097C"	6061	"179"
"YDL095W"	11510	"1801"
"YDL093W"	12611	"2810"
"YDL092W"	1709	"596"
"YDL091C"	2717	"412"
"YDL090C"	5546	"1136"
"YDL089W"	5351	"2812"
"YDL088C"	5798	"3363"
"YDL087C"	5092	"1677"
"YDL086W"	2677	"784"
"YDL085C-A"	675	"40"
"YDL085W"	3542	"628"
"YDL084W"	2402	"747"
"YDL083C"	2600	"55"
"YDL082W"	5465	"227"
"YDL081C"	72	"17"
"YDL080C"	8791	"3532"
"YDL079C"	5470	"2591"
"YDL078C"	1134	"95"
"YDL077C"	7479	"2043"
"YDL076C"	4174	"874"
"YDL075W"	2605	"2"
"YDL074C"	2986	"2159"
"YDL073W"	9979	"4432"
"YDL072C"	1823	"1464"
"YDL070W"	3094	"1132"
"YDL069C"	2537	"1110"
"YDL067C"	977	"972"
"YDL066W"	2737	"98"
"YDL065C"	4078	"2994"
"YDL064W"	1090	"30"
"YDL063C"	5062	"1572"
"YDL061C"	23	"5"
"YDL060W"	5295	"2516"
"YDL059C"	1306	"461"
"YDL058W"	16293	"7501"
"YDL057W"	3606	"1143"
"YDL056W"	7387	"2655"
"YDL055C"	1425	"20"
"YDL054C"	2266	"1186"
"YDL053C"	2806	"1209"
"YDL052C"	2891	"1055"
"YDL051W"	374	"127"
"YDL049C"	1675	"309"
"YDL048C"	6509	"1707"
"YDL047W"	3905	"76"
"YDL046W"	6497	"1535"
"YDL045W-A"	1244	"355"
"YDL045C"	2251	"1322"
"YDL044C"	3845	"1338"
"YDL043C"	2811	"1104"
"YDL042C"	3217	"1704"
"YDL040C"	5434	"1413"
"YDL039C"	7796	"4329"
"YDL037C"	2241	"1231"
"YDL036C"	4640	"1222"
"YDL035C"	7488	"4075"
"YDL033C"	2956	"1940"
"YDL031W"	6963	"1939"
"YDL030W"	7043	"3912"
"YDL029W"	1773	"20"
"YDL028C"	3210	"685"
"YDL027C"	3679	"2479"
"YDL025C"	5165	"1929"
"YDL024C"	3725	"1670"
"YDL022C-A"	810	"746"
"YDL022W"	834	"21"
"YDL021W"	2405	"207"
"YDL020C"	6029	"2030"
"YDL019C"	5982	"2564"
"YDL018C"	2965	"847"
"YDL017W"	3383	"1625"
"YDL015C"	2983	"1077"
"YDL014W"	812	"103"
"YDL013W"	1941	"613"
"YDL012C"	647	"40"
"YDL010W"	2713	"1677"
"YDL009C"	2642	"2122"
"YDL008W"	2663	"1002"
"YDL007C-A"	94	"55"
"YDL007W"	1383	"40"
"YDL006W"	579	"57"
"YDL005C"	9082	"5659"
"YDL004W"	1902	"230"
"YDL003W"	7828	"5071"
"YDL002C"	1165	"140"
"YDL001W"	4076	"435"
"YDR001C"	3471	"620"
