"geneNames"	"gene_soruce"	"SNP_NUM"	"nsSNP"
"YKR009C"	"gene from yeastGEM"	4717	"1842"
"YJR025C"	"gene from yeastGEM"	2072	"1040"
"YER175C"	"gene from yeastGEM"	2858	"826"
"YCL018W"	"gene from yeastGEM"	5305	"26"
"YGR087C"	"gene from yeastGEM"	6203	"1426"
"YLR044C"	"gene from yeastGEM"	1375	"498"
"YLR134W"	"gene from yeastGEM"	4974	"620"
"YBR176W"	"gene from yeastGEM"	4299	"2213"
"YDL080C"	"gene from yeastGEM"	8791	"3532"
"YNR033W"	"gene from yeastGEM"	12900	"7010"
"YMR289W"	"gene from yeastGEM"	4144	"2659"
"YGR019W"	"gene from yeastGEM"	2782	"1182"
"YCR053W"	"gene from yeastGEM"	2918	"224"
"YLR410W"	"gene from yeastGEM"	14739	"2171"
"YOR163W"	"gene from yeastGEM"	1645	"184"
"YDR017C"	"gene from yeastGEM"	6510	"2201"
"YLR017W"	"gene from yeastGEM"	3114	"57"
"YER037W"	"gene from yeastGEM"	2101	"258"
"YGL224C"	"gene from yeastGEM"	2081	"1069"
"YOR155C"	"gene from yeastGEM"	3047	"251"
"YGR061C"	"gene from yeastGEM"	6109	"1776"
"YGL125W"	"gene from yeastGEM"	5350	"787"
"YPL023C"	"gene from yeastGEM"	8617	"2649"
"YDR232W"	"gene from yeastGEM"	6425	"2047"
"YER183C"	"gene from yeastGEM"	2445	"1464"
"YER091C"	"gene from yeastGEM"	2454	"481"
"YJR024C"	"gene from yeastGEM"	3506	"2149"
"YPR118W"	"gene from yeastGEM"	2657	"752"
"YIL107C"	"gene from yeastGEM"	6247	"3608"
"YOL136C"	"gene from yeastGEM"	5315	"640"
"YGR248W"	"gene from yeastGEM"	5827	"2601"
"YHR163W"	"gene from yeastGEM"	2037	"438"
"YAR069W-A"	"gene from yeastGEM"	0	"NA"
"YHR214W-F"	"gene from yeastGEM"	0	"NA"
"YLR355C"	"gene from yeastGEM"	488	"184"
"YKL192C"	"gene from yeastGEM"	913	"189"
"YIL160C"	"gene from yeastGEM"	6505	"334"
"YPL028W"	"gene from yeastGEM"	4950	"75"
"YMR207C"	"gene from yeastGEM"	18736	"8613"
"YDL141W"	"gene from yeastGEM"	9491	"2586"
"YNR016C"	"gene from yeastGEM"	20514	"2277"
"YBL015W"	"gene from yeastGEM"	4304	"102"
"YAL054C"	"gene from yeastGEM"	9978	"1673"
"YLR153C"	"gene from yeastGEM"	3992	"1543"
"YER069W"	"gene from yeastGEM"	3390	"713"
"YBR093C"	"gene from yeastGEM"	5804	"787"
"YAR071W"	"gene from yeastGEM"	23	"3"
"YBR092C"	"gene from yeastGEM"	8957	"626"
"YHR215W"	"gene from yeastGEM"	94	"0"
"YPR002W"	"gene from yeastGEM"	833	"406"
"YOL140W"	"gene from yeastGEM"	7104	"2686"
"YPL148C"	"gene from yeastGEM"	1501	"569"
"YGL205W"	"gene from yeastGEM"	13433	"6651"
"YCR048W"	"gene from yeastGEM"	5385	"1728"
"YNR019W"	"gene from yeastGEM"	4418	"1476"
"YJL091C"	"gene from yeastGEM"	5102	"1861"
"YNL141W"	"gene from yeastGEM"	959	"152"
"YML022W"	"gene from yeastGEM"	1673	"615"
"YJR105W"	"gene from yeastGEM"	3123	"449"
"YML035C"	"gene from yeastGEM"	4467	"404"
"YER043C"	"gene from yeastGEM"	2481	"23"
"YOL052C"	"gene from yeastGEM"	4029	"562"
"YNR058W"	"gene from yeastGEM"	4190	"1518"
"YJL005W"	"gene from yeastGEM"	14949	"6009"
"YDR226W"	"gene from yeastGEM"	1378	"1005"
"YER170W"	"gene from yeastGEM"	1114	"768"
"YLR359W"	"gene from yeastGEM"	3995	"157"
"YNL220W"	"gene from yeastGEM"	3717	"948"
"YKL001C"	"gene from yeastGEM"	676	"21"
"YGR247W"	"gene from yeastGEM"	4994	"1688"
"YFL030W"	"gene from yeastGEM"	8207	"210"
"YOR335C"	"gene from yeastGEM"	6446	"1656"
"YGR177C"	"gene from yeastGEM"	5580	"3595"
"YOR377W"	"gene from yeastGEM"	3639	"788"
"YMR303C"	"gene from yeastGEM"	4043	"1544"
"YDR368W"	"gene from yeastGEM"	1630	"421"
"YHR104W"	"gene from yeastGEM"	1274	"229"
"YGL256W"	"gene from yeastGEM"	13311	"3745"
"YMR083W"	"gene from yeastGEM"	667	"62"
"YBR145W"	"gene from yeastGEM"	3495	"195"
"YDL168W"	"gene from yeastGEM"	5964	"1662"
"YOL086C"	"gene from yeastGEM"	2081	"563"
"YCR105W"	"gene from yeastGEM"	1016	"400"
"YMR318C"	"gene from yeastGEM"	3781	"459"
"YMR169C"	"gene from yeastGEM"	9112	"1418"
"YMR170C"	"gene from yeastGEM"	5636	"788"
"YPL061W"	"gene from yeastGEM"	3017	"214"
"YOR374W"	"gene from yeastGEM"	2623	"386"
"YER073W"	"gene from yeastGEM"	2674	"207"
"YDR481C"	"gene from yeastGEM"	5324	"1271"
"YIR029W"	"gene from yeastGEM"	3863	"269"
"YIR027C"	"gene from yeastGEM"	6362	"2355"
"YBR208C"	"gene from yeastGEM"	21818	"5650"
"YBR199W"	"gene from yeastGEM"	7966	"3068"
"YBR205W"	"gene from yeastGEM"	4775	"168"
"YDR483W"	"gene from yeastGEM"	6693	"3376"
"YJL139C"	"gene from yeastGEM"	4617	"302"
"YKR061W"	"gene from yeastGEM"	6789	"2383"
"YNL029C"	"gene from yeastGEM"	8968	"3226"
"YOR099W"	"gene from yeastGEM"	6544	"2136"
"YPL053C"	"gene from yeastGEM"	1873	"538"
"YPR026W"	"gene from yeastGEM"	9692	"2263"
"YDR001C"	"gene from yeastGEM"	3471	"620"
"YBR126C"	"gene from yeastGEM"	6867	"142"
"YDR074W"	"gene from yeastGEM"	10581	"2905"
"YMR261C"	"gene from yeastGEM"	7057	"2017"
"YML100W"	"gene from yeastGEM"	11734	"2681"
"YBR299W"	"gene from yeastGEM"	34	"31"
"YGR287C"	"gene from yeastGEM"	8280	"909"
"YGR292W"	"gene from yeastGEM"	0	"NA"
"YIL172C"	"gene from yeastGEM"	0	"NA"
"YJL216C"	"gene from yeastGEM"	5444	"2565"
"YJL221C"	"gene from yeastGEM"	0	"NA"
"YMR293C"	"gene from yeastGEM"	5771	"2257"
"YDR354W"	"gene from yeastGEM"	5225	"184"
"YER090W"	"gene from yeastGEM"	2637	"560"
"YKL211C"	"gene from yeastGEM"	9940	"309"
"YDR305C"	"gene from yeastGEM"	1393	"646"
"YPL111W"	"gene from yeastGEM"	2808	"688"
"YHR018C"	"gene from yeastGEM"	2794	"125"
"YOL058W"	"gene from yeastGEM"	3085	"100"
"YDR341C"	"gene from yeastGEM"	4744	"1537"
"YHR091C"	"gene from yeastGEM"	3048	"1468"
"YGR124W"	"gene from yeastGEM"	4435	"701"
"YPR145W"	"gene from yeastGEM"	3290	"171"
"YHR019C"	"gene from yeastGEM"	3114	"175"
"YCR024C"	"gene from yeastGEM"	1958	"296"
"YJL130C"	"gene from yeastGEM"	20342	"3828"
"YER052C"	"gene from yeastGEM"	3015	"550"
"YLR027C"	"gene from yeastGEM"	5330	"2662"
"YKL106W"	"gene from yeastGEM"	4150	"1244"
"YDR158W"	"gene from yeastGEM"	1078	"54"
"YLL018C"	"gene from yeastGEM"	5845	"149"
"YPL104W"	"gene from yeastGEM"	8631	"3155"
"YDR530C"	"gene from yeastGEM"	5463	"1418"
"YCL050C"	"gene from yeastGEM"	2461	"123"
"YER055C"	"gene from yeastGEM"	3456	"2400"
"Q0080"	"gene from yeastGEM"	0	"NA"
"Q0085"	"gene from yeastGEM"	0	"NA"
"Q0130"	"gene from yeastGEM"	0	"NA"
"YBL099W"	"gene from yeastGEM"	3719	"136"
"YBR039W"	"gene from yeastGEM"	1577	"176"
"YDL004W"	"gene from yeastGEM"	1902	"230"
"YDR298C"	"gene from yeastGEM"	3594	"111"
"YDR322C-A"	"gene from yeastGEM"	83	"41"
"YDR377W"	"gene from yeastGEM"	1299	"8"
"YJR121W"	"gene from yeastGEM"	4628	"552"
"YKL016C"	"gene from yeastGEM"	1653	"1113"
"YLR295C"	"gene from yeastGEM"	2543	"753"
"YML081C-A"	"gene from yeastGEM"	22	"4"
"YPL078C"	"gene from yeastGEM"	1120	"305"
"YPL271W"	"gene from yeastGEM"	85	"46"
"YPR020W"	"gene from yeastGEM"	505	"149"
"YCR024C-A"	"gene from yeastGEM"	25	"3"
"YEL017C-A"	"gene from yeastGEM"	18	"2"
"YGL008C"	"gene from yeastGEM"	8452	"2987"
"YPL036W"	"gene from yeastGEM"	16418	"3464"
"YER005W"	"gene from yeastGEM"	3504	"1036"
"YBR110W"	"gene from yeastGEM"	4691	"917"
"YGR286C"	"gene from yeastGEM"	1400	"299"
"YNL280C"	"gene from yeastGEM"	3287	"134"
"YMR015C"	"gene from yeastGEM"	1495	"102"
"YGL001C"	"gene from yeastGEM"	831	"99"
"YLR100W"	"gene from yeastGEM"	3882	"1028"
"YGR060W"	"gene from yeastGEM"	1560	"69"
"YLR056W"	"gene from yeastGEM"	2294	"1090"
"YMR202W"	"gene from yeastGEM"	929	"804"
"YGL012W"	"gene from yeastGEM"	3455	"1342"
"YDL090C"	"gene from yeastGEM"	5546	"1136"
"YKL019W"	"gene from yeastGEM"	2449	"382"
"YJR109C"	"gene from yeastGEM"	8479	"241"
"YOR303W"	"gene from yeastGEM"	4768	"1349"
"YAR035W"	"gene from yeastGEM"	9496	"1250"
"YER024W"	"gene from yeastGEM"	14186	"4442"
"YML042W"	"gene from yeastGEM"	7416	"3314"
"YGR088W"	"gene from yeastGEM"	6232	"2567"
"YDR256C"	"gene from yeastGEM"	2399	"654"
"YDR297W"	"gene from yeastGEM"	5403	"1178"
"YMR272C"	"gene from yeastGEM"	1320	"75"
"YHL003C"	"gene from yeastGEM"	3775	"1221"
"YMR298W"	"gene from yeastGEM"	327	"78"
"YKL008C"	"gene from yeastGEM"	3720	"116"
"YLR307W"	"gene from yeastGEM"	3917	"1687"
"YLR308W"	"gene from yeastGEM"	6105	"1881"
"YBR023C"	"gene from yeastGEM"	8243	"2635"
"YBR038W"	"gene from yeastGEM"	6113	"262"
"YNL192W"	"gene from yeastGEM"	10621	"3610"
"YLR133W"	"gene from yeastGEM"	3078	"1860"
"YGR202C"	"gene from yeastGEM"	4452	"2410"
"YPR060C"	"gene from yeastGEM"	1544	"147"
"YGL148W"	"gene from yeastGEM"	2121	"68"
"YLR304C"	"gene from yeastGEM"	6327	"231"
"YBR002C"	"gene from yeastGEM"	2457	"856"
"YMR101C"	"gene from yeastGEM"	3968	"534"
"YNR001C"	"gene from yeastGEM"	956	"164"
"YCR005C"	"gene from yeastGEM"	1951	"82"
"YDR044W"	"gene from yeastGEM"	1013	"39"
"YBL039C"	"gene from yeastGEM"	6873	"337"
"YJR103W"	"gene from yeastGEM"	5736	"1091"
"YGL184C"	"gene from yeastGEM"	1988	"830"
"YGR155W"	"gene from yeastGEM"	4784	"448"
"YAL012W"	"gene from yeastGEM"	3224	"111"
"YJR130C"	"gene from yeastGEM"	4982	"1867"
"YLR303W"	"gene from yeastGEM"	2249	"587"
"YNL247W"	"gene from yeastGEM"	6191	"787"
"YLR245C"	"gene from yeastGEM"	274	"94"
"YNR012W"	"gene from yeastGEM"	4132	"1933"
"YHR007C"	"gene from yeastGEM"	2739	"668"
"YHR042W"	"gene from yeastGEM"	7273	"3083"
"YPR062W"	"gene from yeastGEM"	490	"51"
"YML086C"	"gene from yeastGEM"	4310	"426"
"YMR041C"	"gene from yeastGEM"	1695	"474"
"YBR149W"	"gene from yeastGEM"	2720	"875"
"YKL060C"	"gene from yeastGEM"	2118	"1546"
"YJR159W"	"gene from yeastGEM"	0	"NA"
"YHR144C"	"gene from yeastGEM"	8004	"959"
"YDR454C"	"gene from yeastGEM"	1317	"36"
"YHR068W"	"gene from yeastGEM"	1849	"81"
"YCR036W"	"gene from yeastGEM"	3474	"1303"
"YDR196C"	"gene from yeastGEM"	2509	"1072"
"YNR057C"	"gene from yeastGEM"	1806	"1077"
"YPL087W"	"gene from yeastGEM"	1967	"122"
"YOR236W"	"gene from yeastGEM"	1162	"730"
"YMR113W"	"gene from yeastGEM"	3978	"695"
"YDL100C"	"gene from yeastGEM"	4206	"368"
"YLR420W"	"gene from yeastGEM"	8563	"2730"
"YJR016C"	"gene from yeastGEM"	3292	"675"
"YFL053W"	"gene from yeastGEM"	4454	"1694"
"YML070W"	"gene from yeastGEM"	5123	"426"
"YJL167W"	"gene from yeastGEM"	5739	"151"
"YKL152C"	"gene from yeastGEM"	1148	"5"
"YLR172C"	"gene from yeastGEM"	3165	"124"
"YMR013C"	"gene from yeastGEM"	3122	"1402"
"YPR183W"	"gene from yeastGEM"	3464	"131"
"YAL023C"	"gene from yeastGEM"	4395	"402"
"YDL095W"	"gene from yeastGEM"	11510	"1801"
"YDL093W"	"gene from yeastGEM"	12611	"2810"
"YJR143C"	"gene from yeastGEM"	6955	"3063"
"YOR321W"	"gene from yeastGEM"	5217	"2337"
"YJR057W"	"gene from yeastGEM"	4223	"741"
"YBR252W"	"gene from yeastGEM"	589	"238"
"YJR153W"	"gene from yeastGEM"	2840	"1373"
"YGR254W"	"gene from yeastGEM"	1696	"597"
"YHR174W"	"gene from yeastGEM"	1005	"66"
"YDR147W"	"gene from yeastGEM"	2331	"1420"
"YOR126C"	"gene from yeastGEM"	3111	"1908"
"YDR261C"	"gene from yeastGEM"	4179	"1219"
"YGR282C"	"gene from yeastGEM"	1661	"158"
"YLR300W"	"gene from yeastGEM"	4242	"103"
"YNR067C"	"gene from yeastGEM"	11377	"4504"
"YOR190W"	"gene from yeastGEM"	3486	"2457"
"YPL069C"	"gene from yeastGEM"	1028	"306"
"YER015W"	"gene from yeastGEM"	2943	"668"
"YOR176W"	"gene from yeastGEM"	932	"170"
"YKR066C"	"gene from yeastGEM"	7744	"1984"
"Q0045"	"gene from yeastGEM"	0	"NA"
"Q0250"	"gene from yeastGEM"	0	"NA"
"Q0275"	"gene from yeastGEM"	0	"NA"
"YDL067C"	"gene from yeastGEM"	977	"972"
"YGL187C"	"gene from yeastGEM"	532	"28"
"YGL191W"	"gene from yeastGEM"	3448	"8"
"YHR051W"	"gene from yeastGEM"	274	"96"
"YIL111W"	"gene from yeastGEM"	2968	"616"
"YLR038C"	"gene from yeastGEM"	90	"5"
"YLR395C"	"gene from yeastGEM"	257	"156"
"YMR256C"	"gene from yeastGEM"	68	"5"
"YNL052W"	"gene from yeastGEM"	556	"57"
"Q0105"	"gene from yeastGEM"	0	"NA"
"YBL045C"	"gene from yeastGEM"	1778	"677"
"YDR529C"	"gene from yeastGEM"	1092	"14"
"YEL024W"	"gene from yeastGEM"	2790	"1126"
"YFR033C"	"gene from yeastGEM"	746	"536"
"YGR183C"	"gene from yeastGEM"	3330	"10"
"YHR001W-A"	"gene from yeastGEM"	1251	"7"
"YJL166W"	"gene from yeastGEM"	55	"5"
"YOR065W"	"gene from yeastGEM"	3077	"201"
"YPR191W"	"gene from yeastGEM"	6498	"2557"
"YDL045C"	"gene from yeastGEM"	2251	"1322"
"YLR011W"	"gene from yeastGEM"	1084	"441"
"YOR388C"	"gene from yeastGEM"	10	"10"
"YGR204W"	"gene from yeastGEM"	13299	"1834"
"YBR084W"	"gene from yeastGEM"	10049	"2161"
"YJL155C"	"gene from yeastGEM"	6229	"1616"
"YLR377C"	"gene from yeastGEM"	9443	"241"
"YPL262W"	"gene from yeastGEM"	1637	"101"
"YKL216W"	"gene from yeastGEM"	6730	"1036"
"YEL047C"	"gene from yeastGEM"	3134	"514"
"YLR299W"	"gene from yeastGEM"	9753	"1317"
"YBR020W"	"gene from yeastGEM"	2087	"758"
"YBR018C"	"gene from yeastGEM"	1813	"343"
"YJL101C"	"gene from yeastGEM"	4806	"946"
"YPR184W"	"gene from yeastGEM"	13059	"2500"
"YIL099W"	"gene from yeastGEM"	4296	"2527"
"YNL241C"	"gene from yeastGEM"	2805	"275"
"YBR196C"	"gene from yeastGEM"	6958	"74"
"YDR300C"	"gene from yeastGEM"	1622	"629"
"YMR250W"	"gene from yeastGEM"	7638	"442"
"YDL215C"	"gene from yeastGEM"	15091	"3200"
"YAL062W"	"gene from yeastGEM"	10614	"258"
"YOR375C"	"gene from yeastGEM"	982	"61"
"YDL171C"	"gene from yeastGEM"	29521	"2725"
"YOR323C"	"gene from yeastGEM"	2595	"377"
"YMR096W"	"gene from yeastGEM"	1610	"613"
"YMR095C"	"gene from yeastGEM"	1384	"766"
"YPR035W"	"gene from yeastGEM"	999	"17"
"YKL104C"	"gene from yeastGEM"	6229	"139"
"YOR168W"	"gene from yeastGEM"	3301	"715"
"YGL245W"	"gene from yeastGEM"	6499	"1139"
"YOL033W"	"gene from yeastGEM"	2721	"1251"
"YCL035C"	"gene from yeastGEM"	409	"11"
"YPL091W"	"gene from yeastGEM"	4706	"2667"
"YDR098C"	"gene from yeastGEM"	1613	"1077"
"YDR513W"	"gene from yeastGEM"	1861	"21"
"YER174C"	"gene from yeastGEM"	4225	"2784"
"YPL059W"	"gene from yeastGEM"	3407	"661"
"YBR244W"	"gene from yeastGEM"	645	"252"
"YIR037W"	"gene from yeastGEM"	1584	"31"
"YKL026C"	"gene from yeastGEM"	1206	"509"
"YOL049W"	"gene from yeastGEM"	4628	"1046"
"YGR192C"	"gene from yeastGEM"	4070	"790"
"YJL052W"	"gene from yeastGEM"	2693	"980"
"YJR009C"	"gene from yeastGEM"	253	"6"
"YOR120W"	"gene from yeastGEM"	2978	"1251"
"YHL032C"	"gene from yeastGEM"	6671	"2350"
"YER062C"	"gene from yeastGEM"	1612	"214"
"YIL053W"	"gene from yeastGEM"	1621	"125"
"YIL155C"	"gene from yeastGEM"	7478	"279"
"YDL022W"	"gene from yeastGEM"	834	"21"
"YOL059W"	"gene from yeastGEM"	2836	"350"
"YPL110C"	"gene from yeastGEM"	10604	"5571"
"YDR408C"	"gene from yeastGEM"	892	"391"
"YAL044C"	"gene from yeastGEM"	1195	"81"
"YDR019C"	"gene from yeastGEM"	1730	"457"
"YFL018C"	"gene from yeastGEM"	13022	"1111"
"YMR189W"	"gene from yeastGEM"	4904	"1175"
"YLR058C"	"gene from yeastGEM"	4027	"111"
"YBR263W"	"gene from yeastGEM"	2218	"488"
"YDR148C"	"gene from yeastGEM"	1781	"147"
"YIL125W"	"gene from yeastGEM"	4985	"1366"
"YFR015C"	"gene from yeastGEM"	12500	"1403"
"YJL137C"	"gene from yeastGEM"	3616	"1889"
"YKR058W"	"gene from yeastGEM"	14665	"7560"
"YLR258W"	"gene from yeastGEM"	10175	"916"
"YPR160W"	"gene from yeastGEM"	5233	"1704"
"YBR121C"	"gene from yeastGEM"	5621	"1145"
"YPR081C"	"gene from yeastGEM"	4122	"2018"
"YMR217W"	"gene from yeastGEM"	2345	"67"
"YMR281W"	"gene from yeastGEM"	1482	"485"
"YCL052C"	"gene from yeastGEM"	3568	"1026"
"YJR013W"	"gene from yeastGEM"	4379	"1746"
"YKL165C"	"gene from yeastGEM"	6413	"917"
"YBR004C"	"gene from yeastGEM"	4223	"2104"
"YGL142C"	"gene from yeastGEM"	5608	"3318"
"YDR302W"	"gene from yeastGEM"	1761	"97"
"YLL031C"	"gene from yeastGEM"	11140	"2558"
"YGR267C"	"gene from yeastGEM"	1077	"6"
"YBL033C"	"gene from yeastGEM"	5751	"155"
"YDL238C"	"gene from yeastGEM"	4775	"1665"
"YDR399W"	"gene from yeastGEM"	636	"94"
"YPL172C"	"gene from yeastGEM"	4370	"2209"
"YFR053C"	"gene from yeastGEM"	7897	"2715"
"YGL253W"	"gene from yeastGEM"	2146	"144"
"YCL040W"	"gene from yeastGEM"	4433	"190"
"YCL030C"	"gene from yeastGEM"	7967	"1943"
"YFR025C"	"gene from yeastGEM"	4129	"2438"
"YIL116W"	"gene from yeastGEM"	3636	"656"
"YPR033C"	"gene from yeastGEM"	2648	"568"
"YBR034C"	"gene from yeastGEM"	691	"73"
"YDL131W"	"gene from yeastGEM"	3978	"140"
"YDL182W"	"gene from yeastGEM"	1645	"90"
"YLL062C"	"gene from yeastGEM"	1715	"645"
"YPL273W"	"gene from yeastGEM"	3702	"199"
"YIL094C"	"gene from yeastGEM"	1239	"71"
"YJR139C"	"gene from yeastGEM"	1144	"167"
"YHR025W"	"gene from yeastGEM"	5160	"407"
"YNL277W"	"gene from yeastGEM"	4214	"1224"
"YDR453C"	"gene from yeastGEM"	633	"266"
"YGR209C"	"gene from yeastGEM"	3887	"98"
"YLR043C"	"gene from yeastGEM"	84	"58"
"YBL064C"	"gene from yeastGEM"	1575	"102"
"YCR083W"	"gene from yeastGEM"	1029	"124"
"YLR109W"	"gene from yeastGEM"	792	"23"
"YDR272W"	"gene from yeastGEM"	2054	"727"
"YOR040W"	"gene from yeastGEM"	3270	"401"
"YNR041C"	"gene from yeastGEM"	3646	"1171"
"YPL214C"	"gene from yeastGEM"	2420	"314"
"YDL205C"	"gene from yeastGEM"	501	"168"
"YLR450W"	"gene from yeastGEM"	15982	"3694"
"YML075C"	"gene from yeastGEM"	8694	"1403"
"YML126C"	"gene from yeastGEM"	1804	"268"
"YOL055C"	"gene from yeastGEM"	1806	"299"
"YPL258C"	"gene from yeastGEM"	3961	"975"
"YPR121W"	"gene from yeastGEM"	3176	"1986"
"YBR248C"	"gene from yeastGEM"	2288	"418"
"YOR202W"	"gene from yeastGEM"	1383	"374"
"YHR216W"	"gene from yeastGEM"	3769	"1226"
"YLR432W"	"gene from yeastGEM"	2285	"212"
"YML056C"	"gene from yeastGEM"	8858	"1471"
"YBR011C"	"gene from yeastGEM"	1528	"90"
"YMR267W"	"gene from yeastGEM"	6537	"1663"
"YLR028C"	"gene from yeastGEM"	4526	"1155"
"YMR120C"	"gene from yeastGEM"	5888	"130"
"YDR315C"	"gene from yeastGEM"	1672	"1055"
"YDR173C"	"gene from yeastGEM"	1590	"821"
"YER019W"	"gene from yeastGEM"	6145	"1581"
"YNL037C"	"gene from yeastGEM"	1426	"45"
"YOR136W"	"gene from yeastGEM"	5360	"138"
"YLR174W"	"gene from yeastGEM"	5806	"119"
"YNL009W"	"gene from yeastGEM"	9140	"2187"
"YER065C"	"gene from yeastGEM"	2001	"456"
"YBL076C"	"gene from yeastGEM"	5381	"290"
"YPL040C"	"gene from yeastGEM"	16661	"5456"
"YPL117C"	"gene from yeastGEM"	1681	"122"
"YGR244C"	"gene from yeastGEM"	1042	"363"
"YOR142W"	"gene from yeastGEM"	4070	"942"
"YBL098W"	"gene from yeastGEM"	4467	"665"
"YLR089C"	"gene from yeastGEM"	6141	"303"
"YEL046C"	"gene from yeastGEM"	4523	"1664"
"YMR226C"	"gene from yeastGEM"	1003	"218"
"YBR115C"	"gene from yeastGEM"	16818	"3421"
"YGL154C"	"gene from yeastGEM"	6628	"4684"
"YDR321W"	"gene from yeastGEM"	4162	"230"
"YLR155C"	"gene from yeastGEM"	0	"NA"
"YLR157C"	"gene from yeastGEM"	0	"NA"
"YLR158C"	"gene from yeastGEM"	0	"NA"
"YLR160C"	"gene from yeastGEM"	0	"NA"
"YER023W"	"gene from yeastGEM"	3576	"679"
"YOL151W"	"gene from yeastGEM"	17879	"5966"
"YCL064C"	"gene from yeastGEM"	3201	"554"
"YER086W"	"gene from yeastGEM"	1981	"126"
"YJR078W"	"gene from yeastGEM"	6771	"2836"
"YDR403W"	"gene from yeastGEM"	13254	"5647"
"YML004C"	"gene from yeastGEM"	4786	"2430"
"YHR072W"	"gene from yeastGEM"	1940	"410"
"YPL160W"	"gene from yeastGEM"	5997	"1739"
"YLR382C"	"gene from yeastGEM"	9748	"2691"
"YNL045W"	"gene from yeastGEM"	5838	"1387"
"YDR037W"	"gene from yeastGEM"	2297	"84"
"YNL073W"	"gene from yeastGEM"	5494	"3234"
"YKL085W"	"gene from yeastGEM"	1903	"254"
"YOL126C"	"gene from yeastGEM"	5815	"601"
"YDL078C"	"gene from yeastGEM"	1134	"95"
"YIR031C"	"gene from yeastGEM"	3885	"1089"
"YNL117W"	"gene from yeastGEM"	4832	"1768"
"YKL029C"	"gene from yeastGEM"	14129	"2366"
"YOR221C"	"gene from yeastGEM"	2466	"933"
"YDL055C"	"gene from yeastGEM"	1425	"20"
"YER003C"	"gene from yeastGEM"	2522	"511"
"YDR502C"	"gene from yeastGEM"	815	"150"
"YLR180W"	"gene from yeastGEM"	4643	"158"
"YBL013W"	"gene from yeastGEM"	6428	"2918"
"YGR264C"	"gene from yeastGEM"	3597	"823"
"YGR171C"	"gene from yeastGEM"	4824	"2891"
"YKR080W"	"gene from yeastGEM"	1890	"109"
"YPR006C"	"gene from yeastGEM"	4103	"2418"
"YMR208W"	"gene from yeastGEM"	3838	"1206"
"YNR043W"	"gene from yeastGEM"	3993	"1812"
