gene	domain_start	domain_end	domain_name	domain_decription	type	e_value	pdb_id
YOR065W	76	293	PF02167	Cytochrom_C1	Family	5.00E-94	1kb9
YOR065W	76	293	PF02167	Cytochrom_C1	Family	5.00E-94	1ezv
YOR065W	76	293	PF02167	Cytochrom_C1	Family	5.00E-94	3cxh
YKL182W	1663	2037	PF00698	Acyl_transf_1	Domain	2.90E-116	2uv8
YKL182W	1663	2037	PF00698	Acyl_transf_1	Domain	2.90E-116	3hmj.1.D
YKL182W	1523	1647	PF01575	MaoC_dehydratas	Domain	9.80E-35	2uv8
YKL182W	1523	1647	PF01575	MaoC_dehydratas	Domain	9.80E-35	3hmj.1.D
YKL182W	1018	1074	PF08354	DUF1729	Family	2.10E-25	2uv8
YKL182W	1018	1074	PF08354	DUF1729	Family	2.10E-25	3hmj.1.D
YKL182W	1285	1405	PF13452	MaoC_dehydrat_N	Domain	5.40E-13	2uv8
YKL182W	1285	1405	PF13452	MaoC_dehydrat_N	Domain	5.40E-13	3hmj.1.D
YKL182W	159	387	PF16073	SAT	Family	8.60E-11	2pff
YKL182W	159	387	PF16073	SAT	Family	8.60E-11	2uv8
YKL182W	159	387	PF16073	SAT	Family	8.60E-11	3hmj.1.D
YDR226W	11	197	PF00406	ADK	Domain	1.10E-57	3aky.1.A
YDR226W	11	197	PF00406	ADK	Domain	1.10E-57	1dvr
YDR226W	134	169	PF05191	ADK_lid	Domain	1.30E-12	3aky.1.A
YDR226W	134	169	PF05191	ADK_lid	Domain	1.30E-12	1dvr
YIL116W	30	374	PF00155	Aminotran_1_2	Domain	1.30E-68	4ge9.1.A
YIL116W	30	374	PF00155	Aminotran_1_2	Domain	1.30E-68	4r2n.1.A
YKL194C	114	337	PF00587	tRNA-synt_2b	Domain	2.60E-47	3uh0.1.A
YKL194C	114	337	PF00587	tRNA-synt_2b	Domain	2.60E-47	4yye
YKL194C	114	337	PF00587	tRNA-synt_2b	Domain	2.60E-47	1qf6.1.B
YKL194C	349	456	PF03129	HGTP_anticodon	Domain	3.10E-16	3uh0.1.A
YKL194C	349	456	PF03129	HGTP_anticodon	Domain	3.10E-16	4yye
YGL234W	505	611	PF00586	AIRS	Domain	2.80E-12	1cli.2.A
YGL234W	108	308	PF01071	GARS_A	Domain	4.00E-80	3mjf.1.A
YGL234W	625	789	PF02769	AIRS_C	Domain	4.20E-29	1cli.2.A
YGL234W	346	438	PF02843	GARS_C	Domain	8.50E-24	3mjf.1.A
YGL234W	3	107	PF02844	GARS_N	Domain	2.20E-26	3mjf.1.A
YGR204W	5	122	PF00763	THF_DHG_CYH	Domain	9.70E-34	4a5o.1.A
YGR204W	322	946	PF01268	FTHFS	Family	8.80E-250	5a4j.1.A
YGR204W	126	299	PF02882	THF_DHG_CYH_C	Domain	3.50E-56	4a5o.1.A
YMR083W	209	336	PF00107	ADH_zinc_N	Family	3.80E-21	5yat.1.A
YMR083W	58	164	PF08240	ADH_N	Domain	3.40E-26	5yat.1.A
YDR173C	114	352	PF03770	IPK	Family	1.20E-53	2if8.2.A
YDR173C	114	352	PF03770	IPK	Family	1.20E-53	2if8
YBL099W	186	409	PF00006	ATP-synt_ab	Domain	2.70E-69	4b2q
YBL099W	186	409	PF00006	ATP-synt_ab	Domain	2.70E-69	6cp3
YBL099W	186	409	PF00006	ATP-synt_ab	Domain	2.70E-69	2xok
YBL099W	416	541	PF00306	ATP-synt_ab_C	Domain	7.30E-43	4b2q
YBL099W	416	541	PF00306	ATP-synt_ab_C	Domain	7.30E-43	6cp3
YBL099W	416	541	PF00306	ATP-synt_ab_C	Domain	7.30E-43	2xok
YBL099W	64	129	PF02874	ATP-synt_ab_N	Domain	1.90E-12	4b2q
YBL099W	64	129	PF02874	ATP-synt_ab_N	Domain	1.90E-12	6cp3
YBL099W	64	129	PF02874	ATP-synt_ab_N	Domain	1.90E-12	2xok
YBL045C	37	181	PF00675	Peptidase_M16	Family	4.30E-28	3cxh
YBL045C	188	369	PF05193	Peptidase_M16_C	Domain	4.00E-21	3cxh
YPR191W	19	161	PF00675	Peptidase_M16	Family	2.60E-30	3cxh
YOR303W	188	368	PF00117	GATase	Domain	6.20E-45	5dot.1.A
YOR303W	8	145	PF00988	CPSase_sm_chain	Domain	2.10E-41	5dot.1.A
YJL130C	231	406	PF00117	GATase	Domain	2.30E-41	5dou.1.A
YJL130C	2059	2208	PF00185	OTCace	Domain	4.00E-27	5nnn.1.A
YJL130C	23	160	PF00988	CPSase_sm_chain	Domain	3.90E-44	5dou.1.A
YJL130C	1375	1473	PF02142	MGS	Domain	7.70E-18	5dou.1.A
YJL130C	1911	2052	PF02729	OTCace_N	Domain	2.40E-41	5nnn.1.A
YJL130C	557	760	PF02786	CPSase_L_D2	Domain	1.50E-80	5dou.1.A
YJL130C	1095	1294	PF02786	CPSase_L_D2	Domain	1.00E-25	5dou.1.A
YJL130C	1095	1294	PF02786	CPSase_L_D2	Domain	1.00E-25	3jzi.1.A
YJL130C	846	968	PF02787	CPSase_L_D3	Domain	1.10E-36	5dou.1.A
YOR375C	184	451	PF00208	ELFV_dehydrog	Domain	5.50E-82	5xvx.1.A
YOR375C	39	166	PF02812	ELFV_dehydrog_N	Domain	2.00E-44	5xvx.1.A
YPR033C	427	526	PF03129	HGTP_anticodon	Domain	3.20E-10	NA
YPR033C	61	407	PF13393	tRNA-synt_His	Domain	2.60E-34	4phc.1.B
YGL009C	14	471	PF00330	Aconitase	Family	3.00E-154	NA
YGL009C	545	671	PF00694	Aconitase_C	Domain	4.40E-43	1l5j.1.A
YHR037W	74	556	PF00171	Aldedh	Family	1.10E-98	4oe4
YHR037W	74	556	PF00171	Aldedh	Family	1.10E-98	3v9h.1.A
YHR037W	74	556	PF00171	Aldedh	Family	1.10E-98	4oe4.1.E
YMR208W	134	210	PF00288	GHMP_kinases_N	Family	1.70E-17	2r3v.1.A
YFL045C	35	253	PF03332	PMM	Family	1.80E-112	5ue7.1.A
YDR023W	232	419	PF00587	tRNA-synt_2b	Domain	1.40E-28	3qne.1.A
YDR023W	1	112	PF02403	Seryl_tRNA_N	Domain	3.00E-21	3qne.1.A
YDR354W	103	367	PF00591	Glycos_transf_3	Family	4.40E-88	3gbr.1.A
YDR354W	8	83	PF02885	Glycos_trans_3N	Domain	1.00E-05	3gbr.1.A
YBR243C	133	304	PF00953	Glycos_transf_4	Family	2.10E-30	6bw5.1.A
YMR108W	289	431	PF00205	TPP_enzyme_M	Domain	1.40E-35	6bd9
YMR108W	289	431	PF00205	TPP_enzyme_M	Domain	1.40E-35	1t9c.1.B
YMR108W	496	643	PF02775	TPP_enzyme_C	Domain	1.30E-46	6bd9
YMR108W	496	643	PF02775	TPP_enzyme_C	Domain	1.30E-46	1t9c.1.B
YMR108W	93	256	PF02776	TPP_enzyme_N	Domain	1.20E-53	6bd9
YMR108W	93	256	PF02776	TPP_enzyme_N	Domain	1.20E-53	1t9c.1.B
YHR013C	89	166	PF00583	Acetyltransf_1	Family	5.60E-10	4hnw
YHR013C	89	166	PF00583	Acetyltransf_1	Family	5.60E-10	4hny.1.B
YHR013C	89	166	PF00583	Acetyltransf_1	Family	5.60E-10	1s7n.2.A
YBR115C	243	705	PF00501	AMP-binding	Family	1.90E-65	5t3d.1.A
YBR115C	243	705	PF00501	AMP-binding	Family	1.90E-65	5es8.2.A
YBR115C	243	705	PF00501	AMP-binding	Family	1.90E-65	5es9.1.A
YBR115C	851	916	PF00550	PP-binding	Domain	3.30E-11	5t3d.1.A
YBR115C	851	916	PF00550	PP-binding	Domain	3.30E-11	5msv.1.A
YBR115C	851	916	PF00550	PP-binding	Domain	3.30E-11	5t3d.1.A
YBR115C	851	916	PF00550	PP-binding	Domain	3.30E-11	5es9.1.A
YBR115C	975	1225	PF07993	NAD_binding_4	Family	4.70E-69	5msv.1.A
YPR110C	83	220	PF01000	RNA_pol_A_bac	Domain	1.10E-26	6eu3
YPR110C	54	324	PF01193	RNA_pol_L	Domain	2.60E-17	6eu3
YGR094W	157	780	PF00133	tRNA-synt_1	Family	1.40E-238	1ivs.2.B
YGR094W	825	972	PF08264	Anticodon_1	Domain	4.60E-28	1ivs.2.B
YOR236W	11	163	PF00186	DHFR_1	Domain	1.20E-25	3ro9.1.A
YLR438W	18	421	PF00202	Aminotran_3	Domain	1.30E-119	2can.1.A
YNL192W	454	619	PF01644	Chitin_synth_1	Family	1.40E-66	NA
YNL192W	376	453	PF08407	Chitin_synth_1N	Family	8.30E-22	NA
YIL099W	98	534	PF00723	Glyco_hydro_15	Domain	4.70E-49	1ayx.1.A
YEL024W	146	202	PF00355	Rieske	Domain	2.10E-07	3cxh
YEL024W	32	87	PF02921	UCR_TM	Family	6.80E-06	3cxh
YPL262W	36	367	PF00206	Lyase_1	Domain	3.00E-119	1yfm
YPL262W	36	367	PF00206	Lyase_1	Domain	3.00E-119	1yfm.1.A
YPL262W	433	485	PF10415	FumaraseC_C	Domain	3.30E-21	1yfm
YPL262W	433	485	PF10415	FumaraseC_C	Domain	3.30E-21	1yfm.1.A
YPR047W	257	360	PF01409	tRNA-synt_2d	Domain	3.60E-23	3hfv.1.A
YPR047W	48	176	PF01409	tRNA-synt_2d	Domain	1.70E-15	3hfv.1.A
YPR047W	372	469	PF03147	FDX-ACB	Domain	8.60E-23	3hfv.1.A
YBR018C	6	192	PF01087	GalP_UDP_transf	Domain	1.20E-62	1gup.1.A
YBR018C	198	365	PF02744	GalP_UDP_tr_C	Domain	1.30E-67	NA
YKL184W	247	439	PF00278	Orn_DAP_Arg_deC	Domain	5.50E-20	2oo0.1.A
YKL184W	92	325	PF02784	Orn_Arg_deC_N	Domain	1.90E-81	2oo0.1.A
YER026C	82	152	PF01066	CDP-OH_P_transf	Family	7.40E-08	4mnd.1.A
YNL277W	66	436	PF00561	Abhydrolase_1	Domain	8.00E-78	2vav.1.A
YOR151C	753	1124	PF00562	RNA_pol_Rpb2_6	Domain	1.50E-123	5ip9
YOR151C	753	1124	PF00562	RNA_pol_Rpb2_6	Domain	1.50E-123	2vum
YOR151C	753	1124	PF00562	RNA_pol_Rpb2_6	Domain	1.50E-123	5xog.1.B
YOR151C	753	1124	PF00562	RNA_pol_Rpb2_6	Domain	1.50E-123	3fki.1.B
YOR151C	1126	1218	PF04560	RNA_pol_Rpb2_7	Domain	3.00E-30	5ip9
YOR151C	1126	1218	PF04560	RNA_pol_Rpb2_7	Domain	3.00E-30	2vum
YOR151C	1126	1218	PF04560	RNA_pol_Rpb2_7	Domain	3.00E-30	5xog.1.B
YOR151C	1126	1218	PF04560	RNA_pol_Rpb2_7	Domain	3.00E-30	3fki.1.B
YOR151C	220	407	PF04561	RNA_pol_Rpb2_2	Domain	4.20E-48	4by1
YOR151C	220	407	PF04561	RNA_pol_Rpb2_2	Domain	4.20E-48	5ip9
YOR151C	220	407	PF04561	RNA_pol_Rpb2_2	Domain	4.20E-48	2vum
YOR151C	220	407	PF04561	RNA_pol_Rpb2_2	Domain	4.20E-48	5xog.1.B
YOR151C	220	407	PF04561	RNA_pol_Rpb2_2	Domain	4.20E-48	3fki.1.B
YOR151C	42	455	PF04563	RNA_pol_Rpb2_1	Family	8.80E-71	4by1
YOR151C	42	455	PF04563	RNA_pol_Rpb2_1	Family	8.80E-71	5ip9
YOR151C	42	455	PF04563	RNA_pol_Rpb2_1	Family	8.80E-71	2vum
YOR151C	42	455	PF04563	RNA_pol_Rpb2_1	Family	8.80E-71	5xog.1.B
YOR151C	42	455	PF04563	RNA_pol_Rpb2_1	Family	8.80E-71	3fki.1.B
YOR151C	481	543	PF04565	RNA_pol_Rpb2_3	Domain	9.50E-21	5ip9
YOR151C	481	543	PF04565	RNA_pol_Rpb2_3	Domain	9.50E-21	2vum
YOR151C	481	543	PF04565	RNA_pol_Rpb2_3	Domain	9.50E-21	5xog.1.B
YOR151C	481	543	PF04565	RNA_pol_Rpb2_3	Domain	9.50E-21	3fki.1.B
YOR151C	580	641	PF04566	RNA_pol_Rpb2_4	Domain	2.70E-22	5ip9
YOR151C	580	641	PF04566	RNA_pol_Rpb2_4	Domain	2.70E-22	2vum
YOR151C	580	641	PF04566	RNA_pol_Rpb2_4	Domain	2.70E-22	5xog.1.B
YOR151C	580	641	PF04566	RNA_pol_Rpb2_4	Domain	2.70E-22	3fki.1.B
YOR151C	681	745	PF04567	RNA_pol_Rpb2_5	Domain	1.20E-16	5ip9
YOR151C	681	745	PF04567	RNA_pol_Rpb2_5	Domain	1.20E-16	2vum
YOR151C	681	745	PF04567	RNA_pol_Rpb2_5	Domain	1.20E-16	5xog.1.B
YOR151C	681	745	PF04567	RNA_pol_Rpb2_5	Domain	1.20E-16	3fki.1.B
YJL167W	38	304	PF00348	polyprenyl_synt	Domain	2.10E-92	1fps.1.A
YJL166W	12	88	PF02939	UcrQ	Family	4.50E-31	3cxh
YJL166W	12	88	PF02939	UcrQ	Family	4.50E-31	2ibz
YJR010W	172	386	PF01747	ATP-sulfurylase	Domain	5.00E-83	1jee
YJR010W	172	386	PF01747	ATP-sulfurylase	Domain	5.00E-83	1r6x
YJR010W	172	386	PF01747	ATP-sulfurylase	Domain	5.00E-83	1j70
YJR010W	3	162	PF14306	PUA_2	Domain	1.40E-45	1jee
YJR010W	3	162	PF14306	PUA_2	Domain	1.40E-45	1r6x
YJR010W	3	162	PF14306	PUA_2	Domain	1.40E-45	1j70
YDR127W	410	865	PF00275	EPSP_synthase	Family	4.70E-148	NA
YDR127W	897	1061	PF01202	SKI	Domain	1.10E-33	NA
YDR127W	1078	1298	PF01487	DHquinase_I	Domain	1.20E-53	6bmb.1.A
YDR127W	1078	1298	PF01487	DHquinase_I	Domain	1.20E-53	5swv.1.A
YDR127W	1430	1505	PF01488	Shikimate_DH	Family	0.0021	6bmb.1.A
YDR127W	1430	1505	PF01488	Shikimate_DH	Family	0.0021	5swv.1.A
YDR127W	72	366	PF01761	DHQ_synthase	Domain	5.60E-96	6c5c.1.A
YDR127W	1311	1393	PF08501	Shikimate_dh_N	Domain	1.30E-18	6bmb.1.A
YDR127W	1311	1393	PF08501	Shikimate_dh_N	Domain	1.30E-18	5swv.1.A
YJL005W	1662	1841	PF00211	Guanylate_cyc	Domain	1.80E-24	NA
YJL005W	1374	1617	PF00481	PP2C	Family	1.30E-53	NA
YJL005W	368	418	PF08509	Ad_cyc_g-alpha	Domain	4.10E-08	NA
YJL005W	865	921	PF13855	LRR_8	Repeat	1.80E-06	NA
YJL005W	1211	1269	PF13855	LRR_8	Repeat	0.00067	NA
YJL005W	1041	1099	PF13855	LRR_8	Repeat	0.0015	NA
YCR005C	64	442	PF00285	Citrate_synt	Domain	4.40E-100	1al6.1.A
YLR377C	21	208	PF00316	FBPase	Domain	1.20E-81	5oey.1.A
YLR142W	126	454	PF01619	Pro_dh	Family	1.20E-58	NA
YBL076C	17	640	PF00133	tRNA-synt_1	Family	3.90E-243	1jzq.1.A
YBL076C	693	851	PF08264	Anticodon_1	Domain	3.40E-22	NA
YBR084W	37	154	PF00763	THF_DHG_CYH	Domain	4.10E-32	4a5o.1.A
YBR084W	346	975	PF01268	FTHFS	Family	1.50E-251	5a4j.1.A
YBR084W	157	323	PF02882	THF_DHG_CYH_C	Domain	4.50E-67	4a5o.1.A
YDR298C	32	208	PF00213	OSCP	Family	1.70E-40	6cp3
YFL018C	380	488	PF02852	Pyr_redox_dim	Domain	1.50E-40	1v59
YFL018C	27	361	PF07992	Pyr_redox_2	Domain	4.70E-63	1v59
YJL026W	85	353	PF00268	Ribonuc_red_sm	Domain	4.20E-114	1smq.1.A
YJL026W	85	353	PF00268	Ribonuc_red_sm	Domain	4.20E-114	1jk0
YDR232W	114	480	PF00155	Aminotran_1_2	Domain	4.80E-70	5txr.1.A
YDR232W	114	480	PF00155	Aminotran_1_2	Domain	4.80E-70	5txr
YPR192W	51	262	PF00230	MIP	Family	1.10E-37	2w2e.1.A
YDL247W	102	560	PF00083	Sugar_tr	Family	1.80E-93	NA
YJR160C	102	560	PF00083	Sugar_tr	Family	1.80E-93	NA
YIL168W	6	124	PF00291	PALP	Family	1.10E-21	NA
YIL167W	6	191	PF00291	PALP	Family	3.80E-31	NA
YFL061W	52	155	PF01966	HD	Family	0.0071	2ogi.1.A
YNL335W	52	155	PF01966	HD	Family	0.0071	2ogi.1.A
YIL172C	37	400	PF00128	Alpha-amylase	Domain	2.40E-126	3axh.1.A
YJL221C	37	400	PF00128	Alpha-amylase	Domain	2.40E-126	3axh.1.A
YEL070W	36	200	PF01232	Mannitol_dh	Domain	1.70E-49	1m2w.1.A
YEL070W	229	475	PF08125	Mannitol_dh_C	Domain	3.10E-96	1m2w.1.A
YNR073C	36	200	PF01232	Mannitol_dh	Domain	1.70E-49	1m2w.1.A
YNR073C	229	475	PF08125	Mannitol_dh_C	Domain	3.10E-96	1m2w.1.A
YOR393W	145	432	PF00113	Enolase_C	Domain	8.70E-134	5td9.1.B
YOR393W	3	134	PF03952	Enolase_N	Domain	7.80E-54	5td9.1.B
YPL281C	145	432	PF00113	Enolase_C	Domain	8.70E-134	5td9.1.B
YPL281C	3	134	PF03952	Enolase_N	Domain	7.80E-54	5td9.1.B
YLR157C	35	226	PF00710	Asparaginase	Domain	3.20E-49	5i48.1.A
YLR158C	35	226	PF00710	Asparaginase	Domain	3.20E-49	5i48.1.A
YLR160C	35	226	PF00710	Asparaginase	Domain	3.20E-49	5i48.1.A
YLR155C	35	226	PF00710	Asparaginase	Domain	3.20E-49	5i48.1.A
YGL256W	10	372	PF00465	Fe-ADH	Family	6.50E-117	3owo.1.A
YMR256C	3	54	PF02238	COX7a	Family	4.50E-20	NA
YER152C	55	426	PF00155	Aminotran_1_2	Domain	9.20E-20	4je5.1.A
YIR008C	110	343	PF01896	DNA_primase_S	Family	2.50E-67	4lim.1.A
YIR008C	110	343	PF01896	DNA_primase_S	Family	2.50E-67	4mm2
YIR008C	110	343	PF01896	DNA_primase_S	Family	2.50E-67	4lim
YHR007C	57	520	PF00067	p450	Domain	1.20E-114	5eqb
YHR007C	57	520	PF00067	p450	Domain	1.20E-114	5eqb.1.A
YLR180W	5	102	PF00438	S-AdoMet_synt_N	Domain	2.10E-42	2p02.1.A
YLR180W	117	237	PF02772	S-AdoMet_synt_M	Domain	9.50E-41	2p02.1.A
YLR180W	239	376	PF02773	S-AdoMet_synt_C	Domain	1.80E-61	2p02.1.A
YER052C	13	310	PF00696	AA_kinase	Family	8.10E-38	3l76.1.A
YER052C	436	497	PF13840	ACT_7	Domain	0.0016	3l76.1.A
YER052C	436	497	PF13840	ACT_7	Domain	0.0016	3c1n.2.B
YKR097W	32	500	PF01293	PEPCK_ATP	Family	3.30E-214	1ii2.1.A
YOR341W	473	652	PF00623	RNA_pol_Rpb1_2	Domain	2.10E-67	5m3f
YOR341W	656	833	PF04983	RNA_pol_Rpb1_3	Domain	4.00E-35	5m3f
YOR341W	10	469	PF04997	RNA_pol_Rpb1_1	Domain	7.90E-23	5m3f
YOR341W	989	1610	PF04998	RNA_pol_Rpb1_5	Domain	3.20E-95	5m3f
YOR341W	892	982	PF05000	RNA_pol_Rpb1_4	Domain	2.90E-20	5m3f
YGL062W	20	130	PF00289	Biotin_carb_N	Domain	2.70E-35	2qf7.1.A
YGL062W	20	130	PF00289	Biotin_carb_N	Domain	2.70E-35	5vz0.1.A
YGL062W	20	130	PF00289	Biotin_carb_N	Domain	2.70E-35	3tw6.1.B
YGL062W	1103	1167	PF00364	Biotin_lipoyl	Domain	3.70E-16	2qf7.1.A
YGL062W	1103	1167	PF00364	Biotin_lipoyl	Domain	3.70E-16	5ks8.1.D
YGL062W	1103	1167	PF00364	Biotin_lipoyl	Domain	3.70E-16	5vz0.1.A
YGL062W	1103	1167	PF00364	Biotin_lipoyl	Domain	3.70E-16	5ks8.1.C
YGL062W	559	827	PF00682	HMGL-like	Domain	9.10E-25	2qf7.1.A
YGL062W	559	827	PF00682	HMGL-like	Domain	9.10E-25	5ks8.1.D
YGL062W	559	827	PF00682	HMGL-like	Domain	9.10E-25	5vz0.1.A
YGL062W	559	827	PF00682	HMGL-like	Domain	9.10E-25	5ks8.1.C
YGL062W	559	827	PF00682	HMGL-like	Domain	9.10E-25	3tw6.1.B
YGL062W	851	1051	PF02436	PYC_OADA	Domain	5.10E-66	2qf7.1.A
YGL062W	851	1051	PF02436	PYC_OADA	Domain	5.10E-66	5ks8.1.D
YGL062W	851	1051	PF02436	PYC_OADA	Domain	5.10E-66	5vz0.1.A
YGL062W	851	1051	PF02436	PYC_OADA	Domain	5.10E-66	5ks8.1.C
YGL062W	851	1051	PF02436	PYC_OADA	Domain	5.10E-66	3tw6.1.B
YGL062W	359	466	PF02785	Biotin_carb_C	Domain	6.60E-27	2qf7.1.A
YGL062W	359	466	PF02785	Biotin_carb_C	Domain	6.60E-27	5vz0.1.A
YGL062W	359	466	PF02785	Biotin_carb_C	Domain	6.60E-27	3tw6.1.B
YGL062W	135	343	PF02786	CPSase_L_D2	Domain	1.70E-83	2qf7.1.A
YGL062W	135	343	PF02786	CPSase_L_D2	Domain	1.70E-83	5vz0.1.A
YGL062W	135	343	PF02786	CPSase_L_D2	Domain	1.70E-83	3tw6.1.B
YLR382C	441	601	PF00133	tRNA-synt_1	Family	4.70E-06	5on2.1.A
YLR382C	50	187	PF09334	tRNA-synt_1g	Family	2.40E-17	5on2.1.A
YLR382C	236	379	PF13603	tRNA-synt_1_2	Domain	9.50E-36	5on2.1.A
YDR044W	15	327	PF01218	Coprogen_oxidas	Family	5.60E-132	1tlb
YDR044W	15	327	PF01218	Coprogen_oxidas	Family	5.60E-132	1txn
YNL241C	16	196	PF00479	G6PD_N	Domain	5.10E-55	5vg5.4.A
YNL241C	198	484	PF02781	G6PD_C	Domain	6.20E-107	5vg5.4.A
YDR481C	66	527	PF00245	Alk_phosphatase	Domain	5.40E-152	NA
YJL153C	324	439	PF01658	Inos-1-P_synth	Family	4.40E-41	1rm0.1.A
YJL153C	324	439	PF01658	Inos-1-P_synth	Family	4.40E-41	1jkf
YJL153C	66	515	PF07994	NAD_binding_5	Family	4.20E-141	1rm0.1.A
YJL153C	66	515	PF07994	NAD_binding_5	Family	4.20E-141	1jkf
YML075C	646	1025	PF00368	HMG-CoA_red	Family	6.80E-142	NA
YML075C	216	360	PF12349	Sterol-sensing	Family	0.006	NA
YML075C	10	160	PF13323	HPIH	Family	1.70E-42	NA
YLR450W	644	1021	PF00368	HMG-CoA_red	Family	1.70E-140	NA
YLR450W	213	360	PF12349	Sterol-sensing	Family	2.70E-06	NA
YLR450W	10	159	PF13323	HPIH	Family	2.80E-40	NA
YJL129C	625	1180	PF02386	TrkH	Family	7.50E-216	NA
YNL071W	250	482	PF00198	2-oxoacid_dh	Domain	1.80E-71	NA
YNL071W	37	108	PF00364	Biotin_lipoyl	Domain	2.60E-14	NA
YNL071W	174	209	PF02817	E3_binding	Family	3.30E-12	NA
YBR196C	63	547	PF00342	PGI	Domain	4.80E-246	4wmj.1.A
YDL040C	199	510	PF12569	NARP1	Family	6.00E-79	4xnh.1.A
YDL040C	199	510	PF12569	NARP1	Family	6.00E-79	4hnw
YDL040C	548	736	PF12569	NARP1	Family	3.30E-33	4xnh.1.A
YDL040C	548	736	PF12569	NARP1	Family	3.30E-33	4hnw
YDR009W	150	217	PF00288	GHMP_kinases_N	Family	2.50E-08	3v5r.1.A
YDR009W	150	217	PF00288	GHMP_kinases_N	Family	2.50E-08	3v2u
YDR009W	150	217	PF00288	GHMP_kinases_N	Family	2.50E-08	3v5r
YDR009W	415	490	PF08544	GHMP_kinases_C	Family	3.40E-06	3v5r.1.A
YDR009W	415	490	PF08544	GHMP_kinases_C	Family	3.40E-06	3v2u
YDR009W	415	490	PF08544	GHMP_kinases_C	Family	3.40E-06	3v5r
YDR009W	29	76	PF10509	GalKase_gal_bdg	Domain	4.50E-17	3v5r.1.A
YDR009W	29	76	PF10509	GalKase_gal_bdg	Domain	4.50E-17	3v2u
YDR009W	29	76	PF10509	GalKase_gal_bdg	Domain	4.50E-17	3v5r
YLR081W	74	534	PF00083	Sugar_tr	Family	4.30E-170	NA
YOR168W	251	564	PF00749	tRNA-synt_1c	Domain	9.10E-119	4ye6.1.A
YOR168W	251	564	PF00749	tRNA-synt_1c	Domain	9.10E-119	4h3s
YOR168W	251	564	PF00749	tRNA-synt_1c	Domain	9.10E-119	4h3s.1.A
YOR168W	568	746	PF03950	tRNA-synt_1c_C	Domain	1.00E-29	4ye6.1.A
YOR168W	568	746	PF03950	tRNA-synt_1c_C	Domain	1.00E-29	4h3s
YOR168W	568	746	PF03950	tRNA-synt_1c_C	Domain	1.00E-29	4h3s.1.A
YOR168W	5	163	PF04558	tRNA_synt_1c_R1	Family	4.10E-49	3tl4
YOR168W	5	163	PF04558	tRNA_synt_1c_R1	Family	4.10E-49	4ye6.1.A
YOR168W	5	163	PF04558	tRNA_synt_1c_R1	Family	4.10E-49	4h3s
YOR168W	166	236	PF04557	tRNA_synt_1c_R2	Family	9.00E-12	4ye6.1.A
YOR168W	166	236	PF04557	tRNA_synt_1c_R2	Family	9.00E-12	4h3s
YGR202C	107	234	PF01467	CTP_transf_like	Domain	1.10E-29	4mvd.1.A
YML106W	50	174	PF00156	Pribosyltran	Domain	6.10E-13	2pry
YML106W	50	174	PF00156	Pribosyltran	Domain	6.10E-13	2ps1.1.A
YML106W	50	174	PF00156	Pribosyltran	Domain	6.10E-13	4wml
YNL102W	778	1229	PF00136	DNA_pol_B	Family	2.40E-123	4fyd
YNL102W	778	1229	PF00136	DNA_pol_B	Family	2.40E-123	4fxd.1.A
YNL102W	778	1229	PF00136	DNA_pol_B	Family	2.40E-123	5exr.1.C
YNL102W	376	719	PF03104	DNA_pol_B_exo1	Family	2.30E-57	4fyd
YNL102W	376	719	PF03104	DNA_pol_B_exo1	Family	2.30E-57	4fxd.1.A
YNL102W	376	719	PF03104	DNA_pol_B_exo1	Family	2.30E-57	5exr.1.C
YNL102W	1270	1463	PF08996	zf-DNA_Pol	Domain	4.40E-61	3flo
YNL102W	1270	1463	PF08996	zf-DNA_Pol	Domain	4.40E-61	5exr.1.C
YNL102W	11	76	PF12254	DNA_pol_alpha_N	Family	3.60E-15	NA
YFL036W	855	1351	PF00940	RNA_pol	Family	4.10E-177	NA
YFL036W	415	731	PF14700	RPOL_N	Domain	2.00E-102	5ola.1.C
YFL036W	415	731	PF14700	RPOL_N	Domain	2.00E-102	1msw.1.D
YGL167C	147	349	PF00122	E1-E2_ATPase	Family	5.80E-45	3wgu.2.A
YGL167C	147	349	PF00122	E1-E2_ATPase	Family	5.80E-45	4xe5.1.A
YGL167C	147	349	PF00122	E1-E2_ATPase	Family	5.80E-45	3wgu.1.A
YGL167C	762	934	PF00689	Cation_ATPase_C	Family	2.40E-43	3wgu.2.A
YGL167C	762	934	PF00689	Cation_ATPase_C	Family	2.40E-43	4xe5.1.A
YGL167C	762	934	PF00689	Cation_ATPase_C	Family	2.40E-43	3wgu.1.A
YGL167C	39	108	PF00690	Cation_ATPase_N	Domain	2.00E-12	3wgu.2.A
YGL167C	39	108	PF00690	Cation_ATPase_N	Domain	2.00E-12	4xe5.1.A
YGL167C	39	108	PF00690	Cation_ATPase_N	Domain	2.00E-12	3wgu.1.A
YGL167C	365	690	PF00702	Hydrolase	Domain	1.70E-17	3wgu.2.A
YGL167C	365	690	PF00702	Hydrolase	Domain	1.70E-17	4xe5.1.A
YGL167C	365	690	PF00702	Hydrolase	Domain	1.70E-17	3wgu.1.A
YDR040C	125	243	PF00122	E1-E2_ATPase	Family	3.50E-28	3wgu.2.A
YDR040C	125	243	PF00122	E1-E2_ATPase	Family	3.50E-28	1t5t.1.A
YDR040C	125	243	PF00122	E1-E2_ATPase	Family	3.50E-28	5mpm.1.A
