UniProtKB_ac	locus	uniprot_seq_length	coordinate_id	provider	from	to	coverage	template	qmean	Seq_similarity	Seq_Identity	Resolution	Ligands	Oligo_State	GEMQE	Built_with	Method	Note
P22543	YLR240W	875	5b450c283b85d1a58dfed862	SWISSMODEL	4	875	0.996571429	5dfz.1.B	-4.671227645	0.6	99.77	4.4	"
"	monomer	0.85	PROMOD3 1.1.0	X-RAY	
P40581	YIR037W	163	5b41e7aca03a1ba914c20c7b	SWISSMODEL	2	162	0.987730061	3cmi.1.A	-0.625687404	0.61	100	2.02	"
"	monomer	0.85	PROMOD3 1.1.0	X-RAY	
P46995	YJL168C	733	5b4283bf8fd6f9b12f9ad95e	SWISSMODEL	40	266	0.309686221	5v22.1.A	-2.156543185	0.42	42.15	2.4	"SAH;ZN
"	monomer	0.18	PROMOD3 1.1.0	X-RAY	
P22108	YDR530C	325	5b3ac52b9ffd12287fed993f	SWISSMODEL	1	316	0.972307692	4i5t.2.A	-0.594458448	0.62	100	2.3	"
"	monomer	0.97	PROMOD3 1.1.0	X-RAY	
P36010	YKL067W	153	5b42b101732c1e031a98ebfd	SWISSMODEL	2	153	0.993464052	3b54.1.A	0.234969721	0.61	100	3.1	"
"	homo-hexamer	0.97	PROMOD3 1.1.0	X-RAY	
P53848	YNL256W	824	5b43ff138fd6f9427548bef3	SWISSMODEL	296	824	0.641990291	2bmb.1.A	-0.62759402	0.6	99.44	2.3	"
"	monomer	0.67	PROMOD3 1.1.0	X-RAY	
P22434	YGL248W	369	5b3a8060a03a1b9857357315	SWISSMODEL	1	369	1	4ojv.1.A	-1.043405026	0.61	100	1.31	"MPD;SO4;ZN
"	homo-dimer	0.98	PROMOD3 1.1.0	X-RAY	
P33893	YBL080C	541	5b3e3cd308cc8ffdc858626d	SWISSMODEL	26	539	0.950092421	3ip4.1.B	-3.763936046	0.36	30.97	1.9	"
"	monomer	0.63	PROMOD3 1.1.0	X-RAY	
P33893	YBL080C	541	5b3e3cd308cc8ffdc8586269	SWISSMODEL	31	523	0.911275416	3ip4.1.B	-4.996037629	0.36	30.97	1.9	"
"	monomer	0.63	PROMOD3 1.1.0	X-RAY	
Q12051	YPL069C	335	5b3a9ecfa03a1be52d75e346	SWISSMODEL	1	335	1	2z7i.1.A	-1.524897161	0.6	100	2.1	"742;MG
"	homo-dimer	0.95	PROMOD3 1.1.0	X-RAY	
P07275	YHR037W	575	5b3f1eea1a200b92eced0411	SWISSMODEL	43	565	0.909565217	4oe4.1.E	-0.880952993	0.61	100	2.17	"
"	homo-hexamer	0.8	PROMOD3 1.1.0	X-RAY	
P07275	YHR037W	575	5b3f1eea1a200b92eced040d	SWISSMODEL	28	574	0.951304348	3v9h.1.A	-1.942728502	0.41	41.78	2.4	"
"	homo-dimer	0.72	PROMOD3 1.1.0	X-RAY	
P50264	YMR020W	508	5b3d6dec1a200bbfc84eb904	SWISSMODEL	6	508	0.99015748	1yy5.1.A	-1.354265534	0.61	100	2.3	"
"	homo-dimer	0.97	PROMOD3 1.1.0	X-RAY	
P40545	YIL020C	261	5b3d11a13b85d1a03cf28b3f	SWISSMODEL	2	261	0.996168582	2agk.1.A	-0.215783866	0.62	100	1.3	"CIT;CL;EDO
"	monomer	0.93	PROMOD3 1.1.0	X-RAY	
Q04066	YDR428C	261	5b3d113aa03a1b52191b11ed	SWISSMODEL	1	261	1	1vkh.1.A	-0.912172251	0.61	99.62	1.85	"CL;GOL;MSE
"	homo-dimer	0.98	PROMOD3 1.1.0	X-RAY	
P38827	YHR119W	1080	5b4777caa03a1b57b362dbbc	SWISSMODEL	244	483	0.222222222	4pkd.1.B	-3.133717712	0.28	13.3	2.5	"GTP;IMD;MG
"	monomer	0.06	PROMOD3 1.1.0	X-RAY	
P38827	YHR119W	1080	5b4777caa03a1b57b362dbb8	SWISSMODEL	911	1080	0.157407407	2w5y.1.A	-2.300180692	0.43	46.43	2	"SAH;ZN
"	monomer	0.08	PROMOD3 1.1.0	X-RAY	
Q05567	YDR294C	589	5b3f79a78fd6f96bb7e904e6	SWISSMODEL	131	579	0.762308998	3mc6.1.A	-2.455677118	0.61	99.59	3.15	"LLP;PO4
"	homo-dimer	0.68	PROMOD3 1.1.0	X-RAY	
P43534	YFL058W	340	5b3a8b753b85d1269583cc0d	SWISSMODEL	4	338	0.985294118	4h6d.1.A	-0.265682537	0.61	99.12	2.9	"
"	homo-dimer	0.98	PROMOD3 1.1.0	X-RAY	
P43534	YFL058W	340	5b3a8b753b85d1269583cc09	SWISSMODEL	6	164	0.467647059	3s4u.1.A	-4.709751711	0.26	11.95	3.3	"
"	monomer	0.21	PROMOD3 1.1.0	X-RAY	
P08417	YPL262W	488	5b3d2ec89ffd12413877fdd2	SWISSMODEL	27	485	0.94057377	1yfm.1.A	-1.724673549	0.6	99.8	2.6	"
"	homo-tetramer	0.95	PROMOD3 1.1.0	X-RAY	
P13188	YOR168W	809	5b43ca4a08cc8f1c1af1fea6	SWISSMODEL	215	809	0.735475896	4h3s.1.A	0.378541709	0.61	100	2.15	"ACT;BR;CL;DTT;GOL;ZN
"	monomer	0.7	PROMOD3 1.1.0	X-RAY	
P13188	YOR168W	809	5b43ca4a08cc8f1c1af1fea2	SWISSMODEL	252	583	0.410383189	2dxi.2.B	-4.975177918	0.31	22.71	2.2	"ATP;GAU;MG
"	monomer	0.19	PROMOD3 1.1.0	X-RAY	
P13188	YOR168W	809	5b43ca4a08cc8f1c1af1fe9e	SWISSMODEL	1	806	0.996291718	4ye6.1.A	-3.593646018	0.4	41.89	2.4	"
"	monomer	0.67	PROMOD3 1.1.0	X-RAY	
P40011	YER010C	234	5b3d94a13b85d184de7db393	SWISSMODEL	2	233	0.991452991	2c5q.1.A	0.617154382	0.6	100	1.7	"CME;EDO
"	homo-trimer	0.99	PROMOD3 1.1.0	X-RAY	
P32656	YER163C	232	5b3da819732c1ecb30ac93e4	SWISSMODEL	5	232	0.982758621	5hwi.1.A	1.188036744	0.61	98.28	1.75	"GOL;MSE;SIN
"	monomer	0.98	PROMOD3 1.1.0	X-RAY	
P36136	YKR043C	271	5b3cdb911a200b8d4b380d5a	SWISSMODEL	3	271	0.992619926	3lg2.1.A	0.130293837	0.62	100	2.6	"MSE;PO4
"	homo-dimer	0.99	PROMOD3 1.1.0	X-RAY	
P16120	YCR053W	514	5b3d831b08cc8f146580b365	SWISSMODEL	2	512	0.994163424	1kl7.1.A	-1.154967006	0.6	100	2.7	"MSE;PLP
"	monomer	0.98	PROMOD3 1.1.0	X-RAY	
Q06389	YDR373W	190	5b402d63a03a1be52f3fba2b	SWISSMODEL	14	171	0.831578947	2jt0.1.A	-2.81564866	0.37	30.34	NA	"
"	monomer	0.51	PROMOD3 1.1.0	SOLUTION	
Q06389	YDR373W	190	5b402d63a03a1be52f3fba27	SWISSMODEL	14	171	0.831578947	1dtl.1.A	-1.990218286	0.37	29.66	2.15	"BEP;CA
"	monomer	0.49	PROMOD3 1.1.0	X-RAY	
Q06389	YDR373W	190	5b402d63a03a1be52f3fba23	SWISSMODEL	14	171	0.831578947	1aj4.1.A	-3.361805822	0.37	29.66	NA	"
"	monomer	0.51	PROMOD3 1.1.0	SOLUTION	
Q06389	YDR373W	190	5b402d63a03a1be52f3fba1f	SWISSMODEL	14	171	0.831578947	2jtz.1.A	-3.606137335	0.37	30.34	NA	"
"	monomer	0.5	PROMOD3 1.1.0	SOLUTION	
Q08224	YOL055C	551	5b3e87b408cc8f8679cce8e9	SWISSMODEL	2	551	0.998185118	3rm5.1.A	-1.258143731	0.61	100	2.68	"
"	homo-dimer	0.97	PROMOD3 1.1.0	X-RAY	
P16861	YGR240C	987	5b469438d60c59ce7b3e2bf7	SWISSMODEL	205	980	0.786220871	3o8o.1.A	-2.286500779	0.61	100	2.9	"F6P;FDP
"	monomer	0.74	PROMOD3 1.1.0	X-RAY	
P16861	YGR240C	987	5b469438d60c59ce7b3e2bfb	SWISSMODEL	202	971	0.780141844	4xyk.1.A	-2.033658433	0.41	43.74	3.4	"ADP;PO4
"	homo-tetramer	0.6	PROMOD3 1.1.0	X-RAY	
P16861	YGR240C	987	5b469438d60c59ce7b3e2c00	SWISSMODEL	10	976	0.979736575	3opy.1.A	-2.472328899	0.47	60.17	3.05	"ATP;SO4
"	monomer	0.77	PROMOD3 1.1.0	X-RAY	
P16861	YGR240C	987	5b469438d60c59ce7b3e2c08	SWISSMODEL	5	975	0.98378926	3opy.1.B	-3.151540537	0.44	49.78	3.05	"ATP;SO4
"	monomer	0.72	PROMOD3 1.1.0	X-RAY	
P16861	YGR240C	987	5b469438d60c59ce7b3e2c04	SWISSMODEL	201	648	0.453900709	2f48.1.A	-4.519990814	0.32	23.6	2.11	"AF3;FBP
"	homo-dimer	0.19	PROMOD3 1.1.0	X-RAY	
P53615	YNL036W	221	5b3e5d23732c1e5f3345fede	SWISSMODEL	17	221	0.92760181	3eyx.1.A	-0.759252238	0.62	100	2.04	"ACT;EDO;ZN
"	homo-dimer	0.95	PROMOD3 1.1.0	X-RAY	
P21951	YNL262W	2222	5b2500927aaa0d62c87070aa	SWISSMODEL	31	1186	0.520252025	4m8o.1.A	-0.946699157	0.61	99.84	2.2	"5IU;C38;CL;DOC;DTP;MG;TAU;ZN
"	monomer	0.5	PROMOD3 1.1.0	X-RAY	
P12945	YDL040C	854	5b446f868fd6f97a8eb97d53	SWISSMODEL	37	480	0.519906323	5lj3.1.T	-4.548966156	0.25	10.95	3.8	"GTP;MG;UNK;ZN
"	monomer	0.22	PROMOD3 1.1.0	ELECTRON	
P12945	YDL040C	854	5b446f868fd6f97a8eb97d4f	SWISSMODEL	23	854	0.974238876	4xnh.1.A	-1.058973166	0.6	100	2.1	"ACO;CMC;I6P
"	monomer	0.96	PROMOD3 1.1.0	X-RAY	
P20457	YKL045W	528	5b3dcf4a732c1e5bcb02bcae	SWISSMODEL	55	511	0.865530303	5exr.2.B	-4.944915022	0.38	36.09	3.6	"SF4;ZN
"	monomer	0.6	PROMOD3 1.1.0	X-RAY	
P32356	YDR001C	751	5b42d5b9732c1e9282c2f159	SWISSMODEL	27	751	0.965379494	5n6n.1.C	-0.919015385	0.62	100	2.29	"CA;CAS;SEP;SUC
"	monomer	0.97	PROMOD3 1.1.0	X-RAY	
P40107	YGL225W	337	5b3a94f8d60c590643dbb956	SWISSMODEL	16	333	0.943620178	5oge.1.A	-3.971529259	0.6	100	3.22	"
"	homo-dimer	0.82	PROMOD3 1.1.0	X-RAY	
P32349	YPR190C	654	5b40ed291a200b3add14be90	SWISSMODEL	484	640	0.240061162	5hli.1.A	-4.335252949	0.24	8.94	2.05	"CL;CU
"	monomer	0.07	PROMOD3 1.1.0	X-RAY	
P32377	YNR043W	396	5b3adbda732c1e6ead2c7291	SWISSMODEL	3	393	0.987373737	1fi4.1.A	-1.745342148	0.6	100	2.27	"
"	homo-dimer	0.98	PROMOD3 1.1.0	X-RAY	
P53008	YGL027C	833	5b441f54732c1ee2155708e8	SWISSMODEL	35	833	0.959183673	4j5t.1.A	-0.546378275	0.62	100	2.04	"
"	monomer	0.98	PROMOD3 1.1.0	X-RAY	
P48439	YOR085W	350	5b3a58979ffd12f64acce218	SWISSMODEL	23	173	0.431428571	4ju5.1.A	-2.817133547	0.28	14.06	2.28	"
"	monomer	0.14	PROMOD3 1.1.0	X-RAY	
P48439	YOR085W	350	5b3a58979ffd12f64acce214	SWISSMODEL	25	182	0.451428571	4m92.1.A	-2.375431062	0.32	20.28	1.6	"
"	monomer	0.24	PROMOD3 1.1.0	X-RAY	
P48439	YOR085W	350	5b3a58979ffd12f64acce210	SWISSMODEL	23	189	0.477142857	5ayk.1.A	-3.920976986	0.28	15.27	2.25	"1PS;CL
"	monomer	0.17	PROMOD3 1.1.0	X-RAY	
Q12305	YOR285W	139	5b43c4ef732c1e3e9a337d7c	SWISSMODEL	20	139	0.863309353	3d1p.1.A	0.605346606	0.62	100	0.98	"ACT;CL;MSE
"	monomer	0.81	PROMOD3 1.1.0	X-RAY	
P17255	YDL185W	1071	5b476e391a200b8688f4af57	SWISSMODEL	284	737	0.423902894	1lwt.1.C	-2.095721561	0.6	100	3.2	"
"	monomer	0.33	PROMOD3 1.1.0	X-RAY	
Q04178	YDR399W	221	5b3e5e89d60c59050570b7d1	SWISSMODEL	5	217	0.963800905	2xbu.1.A	-0.282536541	0.61	100	1.8	"5GP;ACT;MG
"	homo-dimer	0.95	PROMOD3 1.1.0	X-RAY	
P35731	YKL055C	278	5b3c92eba03a1bc30f95d646	SWISSMODEL	1	273	0.982014388	4hbg.1.A	-0.782372501	0.61	100	2.27	"
"	homo-dimer	0.97	PROMOD3 1.1.0	X-RAY	
P00924	YGR254W	437	5b3b73a81a200b26d29c23c4	SWISSMODEL	2	437	0.99771167	1ebh.1.A	0.622809035	0.6	99.77	1.9	"CL;MG
"	homo-dimer	0.99	PROMOD3 1.1.0	X-RAY	
P39007	YGL022W	718	5b42388808cc8f03f30e67ec	SWISSMODEL	6	718	0.993036212	6ezn.1.F	-3.549161483	0.61	100	3.3	"BMA;CPL;MAN;NAG;PTY
"	monomer	0.92	PROMOD3 1.1.0	ELECTRON	
