"gene"	"domain"	"number"
"YLL015W"	"PF00005;PF00005;PF00005;PF00005;PF00005;PF00005;PF00005;PF00005;PF00664;PF00664;PF00664;PF00664;PF00664;PF00664;PF00664;PF00664"	16
"YPL104W"	"PF00152;PF00152;PF00152;PF01336;PF01336;PF01336"	6
"YDL102W"	"PF00136;PF00136;PF00136;PF03104;PF03104;PF03104;PF03104;PF03104;PF14260"	9
"YBR213W"	"PF13241;PF13241;PF14823;PF14823;PF14824;PF14824;PF14824"	7
"YIL021W"	"PF01000;PF01000;PF01000;PF01000;PF01000;PF01000;PF01193;PF01193;PF01193;PF01193;PF01193;PF01193"	12
"YHR042W"	"PF00175;PF00175;PF00258;PF00258;PF00258;PF00667;PF00667"	7
"YGR240C"	"PF00365;PF00365;PF00365;PF00365;PF00365;PF00365;PF00365;PF00365;PF00365;PF00365;PF00365"	11
"YMR205C"	"PF00365;PF00365;PF00365;PF00365;PF00365;PF00365;PF00365;PF00365;PF00365;PF00365"	10
"YDL185W"	"PF00006;PF02874;PF02874;PF05203;PF05203;PF05203;PF05204;PF05204;PF05204;PF05204;PF05204;PF05204;PF16886;PF16886"	14
"YBR085W"	"PF00153;PF00153;PF00153;PF00153;PF00153"	5
"YPL231W"	"PF00109;PF00109;PF00109;PF00109;PF01648;PF01648;PF01648;PF02801;PF02801;PF02801;PF02801"	11
"YPL036W"	"PF00122;PF00122;PF00690;PF00690;PF00702;PF00702"	6
"YIL125W"	"PF00676;PF00676;PF00676;PF02779;PF02779;PF02779;PF16078;PF16870;PF16870;PF16870"	10
"YER070W"	"PF00317;PF00317;PF00317;PF02867;PF02867;PF02867;PF03477;PF03477"	8
"YIL066C"	"PF00317;PF00317;PF02867;PF02867;PF03477"	5
"YNL262W"	"PF00136;PF00136;PF00136;PF03104;PF03104;PF03104;PF03104;PF08490"	8
"YDL090C"	"PF00432;PF00432;PF00432;PF00432;PF00432"	5
"YPR010C"	"PF00562;PF00562;PF00562;PF04560;PF04560;PF04561;PF04561;PF04563;PF04563;PF04565;PF04565;PF06883;PF06883"	13
"YOR207C"	"PF00562;PF00562;PF04560;PF04560;PF04561;PF04561;PF04563;PF04563;PF04565;PF04565;PF04566;PF04566;PF04567;PF04567"	14
"YGR183C"	"PF05365;PF05365;PF05365;PF05365;PF05365"	5
"YLR240W"	"PF00454;PF00454;PF00454;PF00454;PF00613;PF00613;PF00792;PF00792"	8
"YNL229C"	"PF00043;PF00043;PF00043;PF00043;PF02798;PF02798;PF02798;PF02798"	8
"YPR074C"	"PF00456;PF00456;PF02779;PF02779;PF02780;PF02780"	6
"YCR024C"	"PF00152;PF00152;PF00152;PF01336;PF01336;PF01336"	6
"YEL027W"	"PF00137;PF00137;PF00137;PF00137;PF00137;PF00137"	6
"YCR014C"	"PF14716;PF14716;PF14791;PF14791;PF14792;PF14792"	6
"YGL070C"	"PF01096;PF01096;PF01096;PF02150;PF02150;PF02150;PF02150"	7
"YBL039C"	"PF00117;PF00117;PF06418;PF06418;PF06418"	5
"YKR002W"	"PF01909;PF01909;PF01909;PF01909;PF01909;PF01909;PF04926;PF04926;PF04926;PF04928;PF04928;PF04928;PF04928;PF04928;PF04928"	15
"YJR139C"	"PF00742;PF00742;PF00742;PF03447;PF03447;PF03447"	6
"YHL032C"	"PF00370;PF00370;PF02782;PF02782;PF02782;PF02782"	6
"YBR218C"	"PF00289;PF00289;PF00364;PF00364;PF00364;PF00682;PF00682;PF00682;PF00682;PF00682;PF02436;PF02436;PF02436;PF02436;PF02436;PF02785;PF02785;PF02785;PF02786;PF02786;PF02786"	21
"YML120C"	"PF07992;PF07992;PF07992;PF07992;PF07992;PF07992"	6
"YDR001C"	"PF01204;PF01204;PF01204;PF01204;PF07492;PF07492;PF07492"	7
"YLL048C"	"PF00005;PF00005;PF00005;PF00005;PF00005;PF00005;PF00664;PF00664;PF00664;PF00664;PF00664;PF00664"	12
"YBR208C"	"PF00289;PF00289;PF00289;PF00364;PF01425;PF02626;PF02626;PF02682;PF02682;PF02785;PF02785;PF02786;PF02786;PF02786"	14
"YGR155W"	"PF00291;PF00291;PF00291;PF00291;PF00571;PF00571;PF00571;PF00571;PF00571"	9
"YEL011W"	"PF00128;PF00128;PF02806;PF02922;PF02922"	5
"YPL234C"	"PF00137;PF00137;PF00137;PF00137;PF00137;PF00137"	6
"YMR207C"	"PF00289;PF00364;PF00364;PF01039;PF01039;PF01039;PF02785;PF02786;PF08326;PF08326;PF08326"	11
"YBL035C"	"PF04042;PF04042;PF04042;PF04042;PF08418"	5
"YBR222C"	"PF00501;PF00501;PF00501;PF13193;PF13193;PF13193"	6
"YBR229C"	"PF01055;PF01055;PF13802;PF13802;PF17137;PF17137"	6
"YBR295W"	"PF00122;PF00122;PF00122;PF00403;PF00702;PF00702;PF00702"	7
"YJR103W"	"PF00117;PF00117;PF06418;PF06418;PF06418"	5
"YEL058W"	"PF00408;PF00408;PF02878;PF02878;PF02878"	5
"YHR216W"	"PF00478;PF00478;PF00571;PF00571;PF00571;PF00571"	6
"YHR201C"	"PF01368;PF01368;PF01368;PF02833;PF02833;PF02833"	6
"YGL006W"	"PF00122;PF00122;PF00122;PF00689;PF00689;PF00689;PF00690;PF00690;PF00690;PF00702;PF00702;PF00702;PF13246;PF13246;PF13246"	15
"YGR061C"	"PF02769;PF02769;PF02769;PF02769;PF13507;PF13507"	6
"YMR058W"	"PF00394;PF00394;PF07731;PF07731;PF07732;PF07732"	6
"YDR270W"	"PF00122;PF00122;PF00122;PF00122;PF00403;PF00403;PF00702;PF00702;PF00702;PF00702"	10
"YNR050C"	"PF03435;PF03435;PF03435;PF16653;PF16653"	5
"YDR135C"	"PF00005;PF00005;PF00005;PF00005;PF00005;PF00005;PF00005;PF00005;PF00005;PF00005;PF00664;PF00664;PF00664;PF00664;PF00664;PF00664;PF00664;PF00664;PF00664;PF00664"	20
"YGR234W"	"PF00042;PF00175;PF00175;PF00970;PF00970"	5
"YAL035W"	"PF00009;PF00009;PF00009;PF00009;PF03144;PF03144;PF03144;PF03144;PF11987;PF11987;PF11987;PF11987"	12
"YIL013C"	"PF00005;PF00005;PF01061;PF01061;PF06422"	5
"YPR036W"	"PF03224;PF03224;PF03224;PF03224;PF11698;PF11698;PF11698"	7
"YPL091W"	"PF00070;PF00070;PF02852;PF12831;PF12831"	5
"YDL055C"	"PF00132;PF00132;PF00132;PF00132;PF00483;PF00483;PF00483"	7
"YFR047C"	"PF01729;PF01729;PF01729;PF02749;PF02749;PF02749"	6
"YJR137C"	"PF00258;PF01077;PF01077;PF03460;PF03460"	5
"YDR234W"	"PF00330;PF00330;PF00330;PF00694;PF00694;PF00694"	6
"YML056C"	"PF00478;PF00478;PF00571;PF00571;PF00571;PF00571"	6
"YDL093W"	"PF02366;PF02815;PF02815;PF02815;PF16192"	5
"YLR153C"	"PF00501;PF00501;PF13193;PF13193;PF16177;PF16177"	6
"YGR170W"	"PF02666;PF00168;PF00168;PF00168;PF00168"	5
"YGL018C"	"PF00226;PF00226;PF00226;PF07743;PF07743;PF07743"	6
"YNL256W"	"PF00809;PF00809;PF01288;PF01288;PF02152;PF02152"	6
"YLL001W"	"PF00350;PF00350;PF00350;PF00350;PF01031;PF01031;PF02212;PF02212"	8
"YNR016C"	"PF00289;PF00289;PF00289;PF00289;PF00364;PF00364;PF00364;PF00364;PF01039;PF01039;PF01039;PF01039;PF01039;PF02785;PF02785;PF02785;PF02785;PF02786;PF02786;PF02786;PF02786;PF08326;PF08326;PF08326;PF08326;PF08326"	26
"YER069W"	"PF00696;PF00696;PF00696;PF01118;PF02774;PF04768;PF04768"	7
"YAL054C"	"PF00501;PF00501;PF00501;PF00501;PF13193;PF13193;PF13193;PF13193;PF16177;PF16177;PF16177;PF16177"	12
"YDR039C"	"PF00122;PF00122;PF00122;PF00122;PF00122;PF00122;PF00689;PF00689;PF00690;PF00702;PF00702;PF00702;PF13246;PF13246;PF13246"	15
"YKR009C"	"PF00106;PF00106;PF00106;PF00106;PF00106;PF01575"	6
"YMR272C"	"PF00173;PF00173;PF04116;PF04116;PF04116"	5
"YDR098C"	"PF00085;PF00085;PF00085;PF00085;PF00462"	5
"YDR419W"	"PF00817;PF00817;PF00817;PF00817;PF11799;PF11799;PF11799;PF11799"	8
"YML059C"	"PF00027;PF00027;PF00027;PF00027;PF01734;PF01734"	6
"YDR341C"	"PF00750;PF00750;PF03485;PF03485;PF05746;PF05746"	6
"YLR284C"	"PF00378;PF00378;PF00378;PF00378;PF00378"	5
"YLR189C"	"PF00169;PF00201;PF00201;PF02893;PF03033;PF03033"	6
"YDR373W"	"PF00036;PF00036;PF00036;PF00036;PF00036"	5
"YDR380W"	"PF00205;PF00205;PF00205;PF02775;PF02775;PF02775;PF02776;PF02776;PF02776"	9
"YOL075C"	"PF00005;PF00005;PF00005;PF01061;PF01061"	5
"YOR011W"	"PF00005;PF00005;PF00005;PF01061;PF01061;PF06422"	6
"YMR162C"	"PF00122;PF00702;PF13246;PF16209;PF16212"	5
"YDL171C"	"PF00310;PF00310;PF01493;PF01493;PF01645;PF01645;PF04898;PF04898;PF07992;PF14691"	10
"YDR038C"	"PF00122;PF00122;PF00122;PF00122;PF00122;PF00122;PF00122;PF00122;PF00122;PF00122;PF00689;PF00689;PF00689;PF00690;PF00690;PF00702;PF00702;PF00702;PF00702;PF00702;PF13246;PF13246;PF13246;PF13246;PF13246"	25
