UniProtKB_ac	iso_id	uniprot_seq_length	coordinate_id	provider	from	to	coverage	template	qmean	qmean_norm	url
O13297		549	5ad66f36a52be761a5990053	SWISSMODEL	241	539	0.544626593807	1d8i.1.A	-1.5709236994	0.7105851211	https://swissmodel.expasy.org/repository/uniprot/O13297.pdb?from=241&to=539&template=1d8i.1.A&provider=swissmodel
O13297		549	5a9b1bc775daaa105e266948	PDB	241	549	0.562841530055	1d8h			https://swissmodel.expasy.org/repository/uniprot/O13297.pdb?from=241&to=549&template=1d8h&provider=pdb
O13297		549	5a9b1d1e75daaa1fc50ea543	PDB	241	549	0.562841530055	3kyh			https://swissmodel.expasy.org/repository/uniprot/O13297.pdb?from=241&to=549&template=3kyh&provider=pdb
O13297		549	5a9b1d5c75daaa25a0c54126	PDB	241	549	0.562841530055	1d8i			https://swissmodel.expasy.org/repository/uniprot/O13297.pdb?from=241&to=549&template=1d8i&provider=pdb
O13329		566	5ad68a5d14055053a7f90770	SWISSMODEL	123	375	0.446996466431	3oyi.1.A	-4.3071481798	0.6112061596	https://swissmodel.expasy.org/repository/uniprot/O13329.pdb?from=123&to=375&template=3oyi.1.A&provider=swissmodel
O13329		566	5ad68a5d14055053a7f90774	SWISSMODEL	152	374	0.393992932862	3hpg.1.B	-4.3989844338	0.6000320119	https://swissmodel.expasy.org/repository/uniprot/O13329.pdb?from=152&to=374&template=3hpg.1.B&provider=swissmodel
O13329		566	5ad68a5d14055053a7f90778	SWISSMODEL	153	378	0.399293286219	3jca.1.B	-4.7942350633	0.5797830248	https://swissmodel.expasy.org/repository/uniprot/O13329.pdb?from=153&to=378&template=3jca.1.B&provider=swissmodel
O13516		197	5ad6c008eb80f7fd2e0d08b7	SWISSMODEL	79	162	0.426395939086	1j5e.1.D	-3.8302950427	0.5585402626	https://swissmodel.expasy.org/repository/uniprot/O13516.pdb?from=79&to=162&template=1j5e.1.D&provider=swissmodel
O13516		197	5ad6c008eb80f7fd2e0d08bb	SWISSMODEL	2	186	0.939086294416	5tzs.1.I	-3.1920220973	0.6480266309	https://swissmodel.expasy.org/repository/uniprot/O13516.pdb?from=2&to=186&template=5tzs.1.I&provider=swissmodel
O13516		197	5a9afac475daaa432978b078	PDB	1	197	1.0	5tzs			https://swissmodel.expasy.org/repository/uniprot/O13516.pdb?from=1&to=197&template=5tzs&provider=pdb
O13516		197	5a9b0a5575daaa1a47818177	PDB	1	197	1.0	5ll6			https://swissmodel.expasy.org/repository/uniprot/O13516.pdb?from=1&to=197&template=5ll6&provider=pdb
O13516		197	5a9b1d5475daaa25a0c54024	PDB	1	197	1.0	6fai			https://swissmodel.expasy.org/repository/uniprot/O13516.pdb?from=1&to=197&template=6fai&provider=pdb
O13516		197	5a9b21c175daaa5ea2916030	PDB	1	197	1.0	5wyk			https://swissmodel.expasy.org/repository/uniprot/O13516.pdb?from=1&to=197&template=5wyk&provider=pdb
O13516		197	5a9b228775daaa69b9cc2e7b	PDB	1	197	1.0	6eml			https://swissmodel.expasy.org/repository/uniprot/O13516.pdb?from=1&to=197&template=6eml&provider=pdb
O13516		197	5a9b2b1275daaa63ee118c80	PDB	1	197	1.0	5jpq			https://swissmodel.expasy.org/repository/uniprot/O13516.pdb?from=1&to=197&template=5jpq&provider=pdb
O13516		197	5ac46fd702efd095b6260277	PDB	19	197	0.908629441624	4v4b			https://swissmodel.expasy.org/repository/uniprot/O13516.pdb?from=19&to=197&template=4v4b&provider=pdb
O13525		335	5ad4ed13eb80f7c2df7857a7	SWISSMODEL	85	303	0.653731343284	3kb4.1.A	-4.9964631096	0.6024852653	https://swissmodel.expasy.org/repository/uniprot/O13525.pdb?from=85&to=303&template=3kb4.1.A&provider=swissmodel
O13527		1196	5ac94283c730d435ab496cd2	SWISSMODEL	37	268	0.19397993311	3s3n.1.A	-4.4642041587	0.5948977478	https://swissmodel.expasy.org/repository/uniprot/O13527.pdb?from=37&to=268&template=3s3n.1.A&provider=swissmodel
O13535	O13535-1	1793	5903a549a52be735b3a0036d	SWISSMODEL	674	875	0.112660345789	3oyi.1.A	-2.8938928405	0.6647570525	https://swissmodel.expasy.org/repository/uniprot/O13535.pdb?from=674&to=875&template=3oyi.1.A&provider=swissmodel
O13539		261	5a7dfdb4c730d46592e49ae7	SWISSMODEL	116	243	0.490421455939	5l1m.1.A	-4.8093780225	0.5287444423	https://swissmodel.expasy.org/repository/uniprot/O13539.pdb?from=116&to=243&template=5l1m.1.A&provider=swissmodel
O13544		120	5ad862291405506caad677e3	SWISSMODEL	30	61	0.266666666667	3kzi.1.K	-1.0976094739	0.6465796731	https://swissmodel.expasy.org/repository/uniprot/O13544.pdb?from=30&to=61&template=3kzi.1.K&provider=swissmodel
O13555		125	5ad82e967aaa0db5e6738c2e	SWISSMODEL	79	122	0.352	5coz.1.A	-2.5346082915	0.4882732183	https://swissmodel.expasy.org/repository/uniprot/O13555.pdb?from=79&to=122&template=5coz.1.A&provider=swissmodel
O13559		1382	5a7b50d51405501d96546f43	SWISSMODEL	629	704	0.05499276411	1fuk.1.A	-0.184469183	0.7849045968	https://swissmodel.expasy.org/repository/uniprot/O13559.pdb?from=629&to=704&template=1fuk.1.A&provider=swissmodel
O13563	O13563-1	156	5ad79412a52be7841594f65a	SWISSMODEL	7	133	0.814102564103	5wvk.1.i	-4.4313057426	0.5511690372	https://swissmodel.expasy.org/repository/uniprot/O13563.pdb?from=7&to=133&template=5wvk.1.i&provider=swissmodel
O13563-2	O13563-2	154	5ad7989ba52be715515ad45f	SWISSMODEL	5	131	0.824675324675	5wvk.1.i	-4.4313057426	0.5511690372	https://swissmodel.expasy.org/repository/uniprot/O13563-2.pdb?from=5&to=131&template=5wvk.1.i&provider=swissmodel
O13563	O13563-1	156	5a9b058275daaa5aad4e96ba	PDB	1	156	1.0	4cr3			https://swissmodel.expasy.org/repository/uniprot/O13563.pdb?from=1&to=156&template=4cr3&provider=pdb
O13563	O13563-1	156	5a9b076875daaa73c58d62dd	PDB	1	156	1.0	4cr4			https://swissmodel.expasy.org/repository/uniprot/O13563.pdb?from=1&to=156&template=4cr4&provider=pdb
O13563	O13563-1	156	5a9b121275daaa07d9594544	PDB	1	156	1.0	5a5b			https://swissmodel.expasy.org/repository/uniprot/O13563.pdb?from=1&to=156&template=5a5b&provider=pdb
O13563	O13563-1	156	5a9b12b275daaa14b7686096	PDB	1	156	1.0	5mpb			https://swissmodel.expasy.org/repository/uniprot/O13563.pdb?from=1&to=156&template=5mpb&provider=pdb
O13563	O13563-1	156	5a9b145875daaa2a7f9af312	PDB	1	156	1.0	5mpc			https://swissmodel.expasy.org/repository/uniprot/O13563.pdb?from=1&to=156&template=5mpc&provider=pdb
O13563	O13563-1	156	5a9b14d375daaa2fcea1efc2	PDB	6	101	0.615384615385	2z4d			https://swissmodel.expasy.org/repository/uniprot/O13563.pdb?from=6&to=101&template=2z4d&provider=pdb
O13563	O13563-1	156	5a9b15a275daaa3ac5713189	PDB	1	156	1.0	5mpd			https://swissmodel.expasy.org/repository/uniprot/O13563.pdb?from=1&to=156&template=5mpd&provider=pdb
O13563	O13563-1	156	5a9b17b375daaa559c421fab	PDB	1	156	1.0	5mpe			https://swissmodel.expasy.org/repository/uniprot/O13563.pdb?from=1&to=156&template=5mpe&provider=pdb
O13563	O13563-1	156	5a9b212e75daaa5901b8e25f	PDB	1	156	1.0	5wvk			https://swissmodel.expasy.org/repository/uniprot/O13563.pdb?from=1&to=156&template=5wvk&provider=pdb
O13563	O13563-1	156	5a9b26b975daaa25837c6dcc	PDB	1	156	1.0	3jco			https://swissmodel.expasy.org/repository/uniprot/O13563.pdb?from=1&to=156&template=3jco&provider=pdb
O13563	O13563-1	156	5a9b27c475daaa31c57d1d50	PDB	1	156	1.0	4cr2			https://swissmodel.expasy.org/repository/uniprot/O13563.pdb?from=1&to=156&template=4cr2&provider=pdb
O13563	O13563-1	156	5a9b28c075daaa45e323d488	PDB	1	156	1.0	3jcp			https://swissmodel.expasy.org/repository/uniprot/O13563.pdb?from=1&to=156&template=3jcp&provider=pdb
O13563	O13563-1	156	5a9f8ced02efd0ade4233ab7	PDB	1	156	1.0	5wvi			https://swissmodel.expasy.org/repository/uniprot/O13563.pdb?from=1&to=156&template=5wvi&provider=pdb
O13565		187	5ad6e51c7aaa0d702e4cdf3e	SWISSMODEL	21	52	0.171122994652	3f1z.1.A	-2.7767781939	0.4568696193	https://swissmodel.expasy.org/repository/uniprot/O13565.pdb?from=21&to=52&template=3f1z.1.A&provider=swissmodel
O13574		117	5ad868ac1405503c3f3786d3	SWISSMODEL	61	98	0.324786324786	2zi0.1.A	-0.6989945937	0.6916146059	https://swissmodel.expasy.org/repository/uniprot/O13574.pdb?from=61&to=98&template=2zi0.1.A&provider=swissmodel
O13585		888	5ad82ca97aaa0d53e56214d3	SWISSMODEL	13	180	0.189189189189	6bob.1.B	-4.5143291518	0.5773137669	https://swissmodel.expasy.org/repository/uniprot/O13585.pdb?from=13&to=180&template=6bob.1.B&provider=swissmodel
O14455		100	5ac8facda52be78338bf5e2e	SWISSMODEL	24	100	0.77	4v6i.62.A	-3.9244376074	0.5174614987	https://swissmodel.expasy.org/repository/uniprot/O14455.pdb?from=24&to=100&template=4v6i.62.A&provider=swissmodel
O14455		100	5ac8facda52be78338bf5e32	SWISSMODEL	2	99	0.98	5jcs.1.N	-4.1843239674	0.5647134427	https://swissmodel.expasy.org/repository/uniprot/O14455.pdb?from=2&to=99&template=5jcs.1.N&provider=swissmodel
O14455		100	5a9b059c75daaa5aad4e9ad0	PDB	1	100	1.0	6em3			https://swissmodel.expasy.org/repository/uniprot/O14455.pdb?from=1&to=100&template=6em3&provider=pdb
O14455		100	5a9b070375daaa6edcf0dc3f	PDB	1	100	1.0	6em4			https://swissmodel.expasy.org/repository/uniprot/O14455.pdb?from=1&to=100&template=6em4&provider=pdb
O14455		100	5a9b090275daaa0ab3311dc4	PDB	1	100	1.0	6em5			https://swissmodel.expasy.org/repository/uniprot/O14455.pdb?from=1&to=100&template=6em5&provider=pdb
O14455		100	5a9b163275daaa409d7ffc19	PDB	1	100	1.0	6em1			https://swissmodel.expasy.org/repository/uniprot/O14455.pdb?from=1&to=100&template=6em1&provider=pdb
O14464		93	5ac935a37aaa0d4b290bc190	SWISSMODEL	56	93	0.408602150538	3j6b.1.0	-0.751484556	0.6856843658	https://swissmodel.expasy.org/repository/uniprot/O14464.pdb?from=56&to=93&template=3j6b.1.0&provider=swissmodel
O14464		93	5a9b121c75daaa07d95946a2	PDB	1	93	1.0	3j6b			https://swissmodel.expasy.org/repository/uniprot/O14464.pdb?from=1&to=93&template=3j6b&provider=pdb
O14467		151	5ad7aa15afa358b9a20a8d3b	SWISSMODEL	55	151	0.64238410596	2jvl.1.A	-3.6159819245	0.5954951981	https://swissmodel.expasy.org/repository/uniprot/O14467.pdb?from=55&to=151&template=2jvl.1.A&provider=swissmodel
O60200		86	5ac99d0d573f201cfa2e4872	SWISSMODEL	6	74	0.802325581395	5jqo.1.A	-2.3862793867	0.6394331424	https://swissmodel.expasy.org/repository/uniprot/O60200.pdb?from=6&to=74&template=5jqo.1.A&provider=swissmodel
O60200		86	5ac99d0d573f201cfa2e4876	SWISSMODEL	3	77	0.872093023256	4ytw.1.A	-1.3150194534	0.711673724	https://swissmodel.expasy.org/repository/uniprot/O60200.pdb?from=3&to=77&template=4ytw.1.A&provider=swissmodel
O60200		86	5a9af93375daaa2a76e87598	PDB	1	86	1.0	4xhr			https://swissmodel.expasy.org/repository/uniprot/O60200.pdb?from=1&to=86&template=4xhr&provider=pdb
O60200		86	5a9aff3475daaa7c7287206d	PDB	1	81	0.941860465116	4ytv			https://swissmodel.expasy.org/repository/uniprot/O60200.pdb?from=1&to=81&template=4ytv&provider=pdb
O60200		86	5a9b00ce75daaa1309d832da	PDB	1	81	0.941860465116	4ytw			https://swissmodel.expasy.org/repository/uniprot/O60200.pdb?from=1&to=81&template=4ytw&provider=pdb
O60200		86	5a9b02c675daaa33e714747d	PDB	1	81	0.941860465116	4ytx			https://swissmodel.expasy.org/repository/uniprot/O60200.pdb?from=1&to=81&template=4ytx&provider=pdb
O60200		86	5a9b053475daaa5488b0e8fd	PDB	6	75	0.813953488372	4xiz			https://swissmodel.expasy.org/repository/uniprot/O60200.pdb?from=6&to=75&template=4xiz&provider=pdb
O60200		86	5a9b22fc75daaa6eb64f113f	PDB	1	86	1.0	5jql			https://swissmodel.expasy.org/repository/uniprot/O60200.pdb?from=1&to=86&template=5jql&provider=pdb
O60200		86	5a9b244e75daaa05ad58f658	PDB	1	86	1.0	5jqm			https://swissmodel.expasy.org/repository/uniprot/O60200.pdb?from=1&to=86&template=5jqm&provider=pdb
O60200		86	5a9b272475daaa2c369d93f2	PDB	1	86	1.0	5jqo			https://swissmodel.expasy.org/repository/uniprot/O60200.pdb?from=1&to=86&template=5jqo&provider=pdb
O74302	O74302-1	440	5ad57f49262325a7f59bdb25	SWISSMODEL	212	318	0.243181818182	3tm9.1.A	-3.6528882251	0.6333433878	https://swissmodel.expasy.org/repository/uniprot/O74302.pdb?from=212&to=318&template=3tm9.1.A&provider=swissmodel
O74700		87	5ac95d1b7aaa0d1a785f45f9	SWISSMODEL	12	80	0.793103448276	3dxr.1.A	0.3554394016	0.8206809622	https://swissmodel.expasy.org/repository/uniprot/O74700.pdb?from=12&to=80&template=3dxr.1.A&provider=swissmodel
O74700		87	5a9af97275daaa2ef40eb899	PDB	1	87	1.0	3dxr			https://swissmodel.expasy.org/repository/uniprot/O74700.pdb?from=1&to=87&template=3dxr&provider=pdb
O75012		95	5ac928201405507c3ccc9416	SWISSMODEL	5	95	0.957894736842	5mrc.65.A	-2.7263370958	0.6321926036	https://swissmodel.expasy.org/repository/uniprot/O75012.pdb?from=5&to=95&template=5mrc.65.A&provider=swissmodel
O94742		89	5ac98b427aaa0d1fa1c3cc2e	SWISSMODEL	23	89	0.752808988764	3t5v.1.C	-2.0639958688	0.6551978858	https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=23&to=89&template=3t5v.1.C&provider=swissmodel
O94742		89	5ac98b427aaa0d1fa1c3cc32	SWISSMODEL	17	89	0.820224719101	5mpe.2.D	-2.1405603752	0.6573216614	https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=17&to=89&template=5mpe.2.D&provider=swissmodel
O94742		89	5a9afadc75daaa432978b444	PDB	1	89	1.0	5l3t			https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=1&to=89&template=5l3t&provider=pdb
O94742		89	5a9afe6775daaa7110824895	PDB	1	89	1.0	3t5v			https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=1&to=89&template=3t5v&provider=pdb
O94742		89	5a9b058275daaa5aad4e96ba	PDB	1	89	1.0	4cr3			https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=1&to=89&template=4cr3&provider=pdb
O94742		89	5a9b076875daaa73c58d62dd	PDB	1	89	1.0	4cr4			https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=1&to=89&template=4cr4&provider=pdb
O94742		89	5a9b121275daaa07d9594544	PDB	1	89	1.0	5a5b			https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=1&to=89&template=5a5b&provider=pdb
O94742		89	5a9b12b275daaa14b7686096	PDB	1	89	1.0	5mpb			https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=1&to=89&template=5mpb&provider=pdb
O94742		89	5a9b145875daaa2a7f9af312	PDB	1	89	1.0	5mpc			https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=1&to=89&template=5mpc&provider=pdb
O94742		89	5a9b15a275daaa3ac5713189	PDB	1	89	1.0	5mpd			https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=1&to=89&template=5mpd&provider=pdb
O94742		89	5a9b17b375daaa559c421fab	PDB	1	89	1.0	5mpe			https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=1&to=89&template=5mpe&provider=pdb
O94742		89	5a9b204d75daaa4cc89a9204	PDB	1	89	1.0	3jck			https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=1&to=89&template=3jck&provider=pdb
O94742		89	5a9b212e75daaa5901b8e25f	PDB	1	89	1.0	5wvk			https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=1&to=89&template=5wvk&provider=pdb
O94742		89	5a9b26b975daaa25837c6dcc	PDB	1	89	1.0	3jco			https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=1&to=89&template=3jco&provider=pdb
O94742		89	5a9b27c475daaa31c57d1d50	PDB	1	89	1.0	4cr2			https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=1&to=89&template=4cr2&provider=pdb
O94742		89	5a9b287075daaa3e7a40cd91	PDB	1	89	1.0	5g5p			https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=1&to=89&template=5g5p&provider=pdb
O94742		89	5a9b28c075daaa45e323d488	PDB	1	89	1.0	3jcp			https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=1&to=89&template=3jcp&provider=pdb
O94742		89	5a9b28f775daaa45e323dc48	PDB	1	89	1.0	5ubp			https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=1&to=89&template=5ubp&provider=pdb
O94742		89	5a9b2b0075daaa63ee118a17	PDB	30	89	0.674157303371	4trq			https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=30&to=89&template=4trq&provider=pdb
O94742		89	5a9f8ced02efd0ade4233ab7	PDB	1	89	1.0	5wvi			https://swissmodel.expasy.org/repository/uniprot/O94742.pdb?from=1&to=89&template=5wvi&provider=pdb
P00044		109	5ac8bd00afa3580e1a5ef875	SWISSMODEL	2	109	0.990825688073	1rap.1.A	0.2020524561	0.7923621232	https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=1rap.1.A&provider=swissmodel
P00044		109	5a9af81075daaa1bb7d23939	PDB	2	109	0.990825688073	2b10			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=2b10&provider=pdb
P00044		109	5a9af90575daaa2a76e86d8d	PDB	2	109	0.990825688073	2jqr			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=2jqr&provider=pdb
P00044		109	5a9af92075daaa2a76e871fd	PDB	2	109	0.990825688073	2lir			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=2lir&provider=pdb
P00044		109	5a9afa8375daaa3e674797b7	PDB	2	109	0.990825688073	1lms			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=1lms&provider=pdb
P00044		109	5a9afbb975daaa4d1b0ab278	PDB	2	109	0.990825688073	2lit			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=2lit&provider=pdb
P00044		109	5a9afbc575daaa4d1b0ab454	PDB	3	109	0.981651376147	5lft			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=3&to=109&template=5lft&provider=pdb
P00044		109	5a9afd7f75daaa65e3fb1531	PDB	4	109	0.97247706422	5klu			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=4&to=109&template=5klu&provider=pdb
P00044		109	5a9afdd875daaa6cacac19bf	PDB	2	109	0.990825688073	1csu			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=1csu&provider=pdb
P00044		109	5a9afe5075daaa711082452b	PDB	2	109	0.990825688073	1s6v			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=1s6v&provider=pdb
P00044		109	5a9aff0c75daaa7c72871abe	PDB	2	109	0.990825688073	1csv			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=1csv&provider=pdb
P00044		109	5a9aff3975daaa7c72872123	PDB	2	109	0.990825688073	1irv			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=1irv&provider=pdb
P00044		109	5a9affe675daaa088317e4fe	PDB	2	109	0.990825688073	5t8w			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=5t8w&provider=pdb
P00044		109	5a9b00b175daaa1309d82eb5	PDB	2	109	0.990825688073	1irw			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=1irw&provider=pdb
P00044		109	5a9b00dc75daaa1309d834c9	PDB	2	109	0.990825688073	1csw			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=1csw&provider=pdb
P00044		109	5a9b026d75daaa2e456f9d0f	PDB	2	109	0.990825688073	1csx			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=1csx&provider=pdb
P00044		109	5a9b03c675daaa43a87b7a3f	PDB	2	109	0.990825688073	1cty			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=1cty&provider=pdb
P00044		109	5a9b045075daaa48ff6ebcff	PDB	2	109	0.990825688073	2b0z			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=2b0z&provider=pdb
P00044		109	5a9b05c775daaa609a316793	PDB	2	109	0.990825688073	1ctz			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=1ctz&provider=pdb
P00044		109	5a9b068775daaa6a748b5ac7	PDB	2	109	0.990825688073	1u74			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=1u74&provider=pdb
P00044		109	5a9b077d75daaa73c58d6607	PDB	2	109	0.990825688073	2hv4			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=2hv4&provider=pdb
P00044		109	5a9b098f75daaa0f820f9cc6	PDB	2	109	0.990825688073	3cx5			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=3cx5&provider=pdb
P00044		109	5a9b0c8175daaa3ccf7d06bd	PDB	3	109	0.981651376147	2n18			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=3&to=109&template=2n18&provider=pdb
P00044		109	5a9b0d2975daaa423c5be5a0	PDB	2	109	0.990825688073	2b11			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=2b11&provider=pdb
P00044		109	5a9b0d7975daaa47c2729a36	PDB	2	109	0.990825688073	2gb8			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=2gb8&provider=pdb
P00044		109	5a9b0db475daaa4c7039f628	PDB	2	109	0.990825688073	4mu8			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=4mu8&provider=pdb
P00044		109	5a9b127e75daaa0dcf31dc17	PDB	2	109	0.990825688073	5cib			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=5cib&provider=pdb
P00044		109	5a9b127f75daaa0dcf31dc2c	PDB	2	109	0.990825688073	1fhb			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=1fhb&provider=pdb
P00044		109	5a9b13a675daaa1e9b1a28aa	PDB	2	109	0.990825688073	2ycc			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=2ycc&provider=pdb
P00044		109	5a9b13b375daaa1e9b1a2a6c	PDB	2	109	0.990825688073	1ycc			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=1ycc&provider=pdb
P00044		109	5a9b13c275daaa1e9b1a2c93	PDB	2	109	0.990825688073	2pcc			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=2pcc&provider=pdb
P00044		109	5a9b13eb75daaa247d3ca23d	PDB	2	109	0.990825688073	1yfc			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=1yfc&provider=pdb
P00044		109	5a9b140175daaa247d3ca53d	PDB	2	109	0.990825688073	5cic			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=5cic&provider=pdb
P00044		109	5a9b141475daaa247d3ca7fb	PDB	2	109	0.990825688073	1yic			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=1yic&provider=pdb
P00044		109	5a9b145f75daaa2a7f9af411	PDB	3	109	0.981651376147	5lyc			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=3&to=109&template=5lyc&provider=pdb
P00044		109	5a9b154675daaa3556d8b3ac	PDB	2	109	0.990825688073	5cid			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=5cid&provider=pdb
P00044		109	5a9b163175daaa409d7ffc06	PDB	2	109	0.990825688073	4ye1			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=4ye1&provider=pdb
P00044		109	5a9b175875daaa4fb82f6805	PDB	2	109	0.990825688073	5cie			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=5cie&provider=pdb
P00044		109	5a9b176375daaa4fb82f69a1	PDB	2	109	0.990825688073	1cie			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=1cie&provider=pdb
P00044		109	5a9b177575daaa4fb82f6c05	PDB	2	109	0.990825688073	5kke			https://swissmodel.expasy.org/repository/uniprot/P00044.pdb?from=2&to=109&template=5kke&provider=pdb
