"UniProtKB_ac"	"locus"	"uniprot_seq_length"	"coordinate_id"	"provider"	"from"	"to"	"coverage"	"template"	"qmean"	"Seq_similarity"	"Seq_Identity"	"Resolution"	"Ligands"	"Oligo_State"	"GEMQE"	"Built_with"	"Method"
"P38121"	"YBL035C"	"705"	"5b41f15d08cc8f2e30c701ca"	"SWISSMODEL"	"201"	"673"	"0.670921985815603"	"4y97.1.A"	"-4.7334613732"	"0.33"	"24.29"	"2.51"	"
"	"monomer"	"0.43"	"PROMOD3 1.1.0"	"X-RAY"
"P38121"	"YBL035C"	"705"	"5b41f15d08cc8f2e30c701c6"	"SWISSMODEL"	"248"	"705"	"0.649645390070922"	"3flo.1.A"	"-0.6111162823"	"0.60"	"100.00"	"2.50"	"SO4;UNK;ZN
"	"monomer"	"0.60"	"PROMOD3 1.1.0"	"X-RAY"
"P36421"	"YGR185C"	"394"	"5b3ad765d60c59001d5f9339"	"SWISSMODEL"	"8"	"356"	"0.885786802030457"	"2dlc.1.B"	"-0.6630678683"	"0.60"	"100.00"	"2.40"	"1MA;2MG;5MC;5MU;6IA;H2U;M2G;MG;OMG;PSU;YMP
"	"homo-dimer"	"0.83"	"PROMOD3 1.1.0"	"X-RAY"
"P41903"	"YJR019C"	"349"	"5a7c2fcb7aaa0db42362c70b"	"SWISSMODEL"	"13"	"116"	"0.297994269340974"	"1tbu.1.B"	"-1.1700172784"	"0.60"	"100.00"	"2.20"	"
"	"homo-tetramer"	"0.22"	"PROMOD3 1.1.0"	"X-RAY"
"P54885"	"YOR323C"	"456"	"5b3c94b2a03a1b0f84bfe9e1"	"SWISSMODEL"	"1"	"435"	"0.953947368421053"	"1vlu.2.A"	"-0.5235279129"	"0.60"	"100.00"	"2.29"	"CL;MSE
"	"homo-dimer"	"0.82"	"PROMOD3 1.1.0"	"X-RAY"
"P54885"	"YOR323C"	"456"	"5b3c94b2a03a1b0f84bfe9dd"	"SWISSMODEL"	"2"	"426"	"0.932017543859649"	"4i1w.1.A"	"-4.6432541757"	"0.28"	"18.39"	"1.99"	"GOL;NAD
"	"homo-tetramer"	"0.55"	"PROMOD3 1.1.0"	"X-RAY"
"P53228"	"YGR043C"	"333"	"5b3aa92a9ffd125c5af2b82b"	"SWISSMODEL"	"12"	"333"	"0.966966966966967"	"3cq0.1.A"	"0.0504437175"	"0.60"	"100.00"	"1.90"	"EDO;GOL;PG4
"	"homo-dimer"	"0.97"	"PROMOD3 1.1.0"	"X-RAY"
"Q06892"	"YPL188W"	"414"	"5b3b1ab79ffd1256a5bcd1b6"	"SWISSMODEL"	"27"	"408"	"0.922705314009662"	"3afo.1.A"	"-1.0374681322"	"0.61"	"100.00"	"2.00"	"MPD;NAI
"	"homo-tetramer"	"0.84"	"PROMOD3 1.1.0"	"X-RAY"
"Q06489"	"YPR118W"	"411"	"5b3b12279ffd12c34fa3f944"	"SWISSMODEL"	"221"	"411"	"0.464720194647202"	"1w2w.1.B"	"0.7219956764"	"0.61"	"100.00"	"1.75"	"MSE;SO4
"	"monomer"	"0.45"	"PROMOD3 1.1.0"	"X-RAY"
"Q06489"	"YPR118W"	"411"	"5b3b12269ffd12c34fa3f940"	"SWISSMODEL"	"2"	"401"	"0.97323600973236"	"4ldr.1.A"	"-3.2333167951"	"0.42"	"47.95"	"2.29"	"
"	"homo-dimer"	"0.65"	"PROMOD3 1.1.0"	"X-RAY"
"P39104"	"YNL267W"	"1066"	"5b47603b1a200b978b7a5fd3"	"SWISSMODEL"	"700"	"1063"	"0.341463414634146"	"4bfr.1.A"	"-3.5252281103"	"0.32"	"23.62"	"2.80"	"
"	"monomer"	"0.17"	"PROMOD3 1.1.0"	"X-RAY"
"P39730"	"YAL035W"	"1002"	"5b46c0b88fd6f95d9d5dc34f"	"SWISSMODEL"	"402"	"1002"	"0.599800399201597"	"3wbk.1.A"	"-0.5757331082"	"0.60"	"100.00"	"3.30"	"
"	"monomer"	"0.60"	"PROMOD3 1.1.0"	"X-RAY"
"P39730"	"YAL035W"	"1002"	"5b46c0b88fd6f95d9d5dc34b"	"SWISSMODEL"	"402"	"1002"	"0.599800399201597"	"3wbk.2.A"	"-0.5544153933"	"0.60"	"100.00"	"3.30"	"
"	"monomer"	"0.60"	"PROMOD3 1.1.0"	"X-RAY"
"P39730"	"YAL035W"	"1002"	"5b46c0b78fd6f95d9d5dc347"	"SWISSMODEL"	"401"	"1002"	"0.600798403193613"	"3wbi.1.A"	"0.1890351629"	"0.60"	"100.00"	"2.35"	"
"	"monomer"	"0.60"	"PROMOD3 1.1.0"	"X-RAY"
"P49954"	"YLR351C"	"291"	"5b3b7c861a200bf063cf52d2"	"SWISSMODEL"	"2"	"282"	"0.965635738831615"	"1f89.1.A"	"-1.353553999"	"0.61"	"100.00"	"2.40"	"
"	"homo-dimer"	"0.96"	"PROMOD3 1.1.0"	"X-RAY"
"P46151"	"YPL023C"	"657"	"5b40fa1d9ffd1242f674adb8"	"SWISSMODEL"	"2"	"655"	"0.995433789954338"	"6fcx.1.A"	"-4.7872012492"	"0.39"	"36.00"	"2.50"	"CIT;FAD;SAH
"	"homo-dimer"	"0.64"	"PROMOD3 1.1.0"	"X-RAY"
"P33312"	"YBR153W"	"244"	"5b3d6682732c1e179216d2ba"	"SWISSMODEL"	"8"	"242"	"0.963114754098361"	"4ha7.1.A"	"-2.350592136"	"0.61"	"100.00"	"2.10"	"
"	"homo-dimer"	"0.96"	"PROMOD3 1.1.0"	"X-RAY"
"P17505"	"YKL085W"	"334"	"5b3aa33308cc8f413610d751"	"SWISSMODEL"	"18"	"333"	"0.946107784431138"	"1emd.1.A"	"-0.3905629252"	"0.42"	"48.87"	"1.90"	"CIT;NAD
"	"homo-dimer"	"0.74"	"PROMOD3 1.1.0"	"X-RAY"
"P07256"	"YBL045C"	"457"	"5b3c96a08fd6f9fb85183c47"	"SWISSMODEL"	"27"	"457"	"0.943107221006565"	"1kyo.1.A"	"-1.919948633"	"0.60"	"99.77"	"2.97"	"FES;HEM;M3L;SMA
"	"monomer"	"0.98"	"PROMOD3 1.1.0"	"X-RAY"
"P32906"	"YJR131W"	"549"	"5b3e763b3b85d15b734778b9"	"SWISSMODEL"	"34"	"549"	"0.939890710382514"	"1dl2.1.A"	"-1.4289571116"	"0.62"	"100.00"	"1.54"	"BMA;CA;GOL;MAN;NAG;NDG
"	"monomer"	"0.98"	"PROMOD3 1.1.0"	"X-RAY"
"P53686"	"YPL015C"	"357"	"5b3a49cd1a200b0aa4dde924"	"SWISSMODEL"	"1"	"293"	"0.820728291316527"	"2od2.1.A"	"0.1107371331"	"0.61"	"99.66"	"2.00"	"ALY;CNA;GOL;ZN
"	"monomer"	"0.79"	"PROMOD3 1.1.0"	"X-RAY"
"P04051"	"YOR116C"	"1460"	"5b243ee8a52be78bca9a5684"	"SWISSMODEL"	"2"	"1452"	"0.993835616438356"	"6eu1.1.A"	"-4.5864018631"	"0.60"	"100.00"	"3.40"	"MG;ZN
"	"monomer"	"0.97"	"PROMOD3 1.1.0"	"ELECTRON"
"P07149"	"YKL182W"	"2051"	"5b24e53e573f2050d9c246ff"	"SWISSMODEL"	"5"	"2050"	"0.99756216479766"	"3hmj.1.D"	"-0.7156976586"	"0.61"	"100.00"	"4.00"	"CER;FMN
"	"monomer"	"0.98"	"PROMOD3 1.1.0"	"X-RAY"
"P41543"	"YJL002C"	"476"	"5b3d074a08cc8f8fc27735b5"	"SWISSMODEL"	"25"	"474"	"0.945378151260504"	"6ezn.1.A"	"-3.2433165436"	"0.61"	"100.00"	"3.30"	"BMA;CPL;MAN;NAG;PTY
"	"monomer"	"0.95"	"PROMOD3 1.1.0"	"ELECTRON"
"P22219"	"YBR097W"	"1454"	"5b243f72a52be78bca9a5c54"	"SWISSMODEL"	"1068"	"1454"	"0.266162310866575"	"5wlc.25.A"	"-4.9361622945"	"0.27"	"12.58"	"3.80"	"UNK;ZN
"	"monomer"	"0.09"	"PROMOD3 1.1.0"	"ELECTRON"
"P36156"	"YKR076W"	"370"	"5b3a832e732c1e86e50161f1"	"SWISSMODEL"	"11"	"370"	"0.972972972972973"	"5lkb.1.A"	"-0.9074570913"	"0.62"	"100.00"	"1.45"	"
"	"homo-dimer"	"0.96"	"PROMOD3 1.1.0"	"X-RAY"
"P32288"	"YPR035W"	"370"	"5b3a8e0f08cc8fd9885871e3"	"SWISSMODEL"	"21"	"366"	"0.935135135135135"	"3fky.1.A"	"-1.0272033716"	"0.62"	"99.46"	"2.95"	"
"	"homo-10-mer"	"0.95"	"PROMOD3 1.1.0"	"X-RAY"
"P22855"	"YGL156W"	"1083"	"5b4784db732c1ebdcd1915a7"	"SWISSMODEL"	"706"	"839"	"0.123730378578024"	"3blc.1.A"	"-4.3614563554"	"0.26"	"12.82"	"2.50"	"
"	"monomer"	"0.03"	"PROMOD3 1.1.0"	"X-RAY"
"P38158"	"YBR299W"	"584"	"5b3f5bae9ffd12d5a8d83233"	"SWISSMODEL"	"6"	"582"	"0.988013698630137"	"3axh.1.A"	"-0.2928904108"	"0.54"	"72.34"	"1.80"	"CA;GLC
"	"monomer"	"0.92"	"PROMOD3 1.1.0"	"X-RAY"
"Q12154"	"YDL100C"	"354"	"5b3a4772732c1ecadf18ced8"	"SWISSMODEL"	"5"	"350"	"0.977401129943503"	"3h84.1.A"	"-1.7685838398"	"0.61"	"100.00"	"2.30"	"CL;MG;NA;ZN
"	"homo-dimer"	"0.95"	"PROMOD3 1.1.0"	"X-RAY"
"P15807"	"YBR213W"	"274"	"5b3ca7c21a200bbab3233fa9"	"SWISSMODEL"	"1"	"273"	"0.996350364963504"	"1kyq.1.B"	"-1.5259019703"	"0.61"	"98.54"	"2.20"	"MSE;NAD
"	"homo-dimer"	"0.98"	"PROMOD3 1.1.0"	"X-RAY"
"P15807"	"YBR213W"	"274"	"5b3ca7c21a200bbab3233fa5"	"SWISSMODEL"	"10"	"186"	"0.645985401459854"	"4d7a.1.A"	"-4.3211789137"	"0.27"	"15.29"	"1.80"	"AMP;GOL;K;NA;PO4
"	"homo-dimer"	"0.30"	"PROMOD3 1.1.0"	"X-RAY"
"P27809"	"YDR483W"	"442"	"5b3b910f1a200b7b834817e4"	"SWISSMODEL"	"104"	"442"	"0.766968325791855"	"1s4p.1.A"	"-1.191812458"	"0.64"	"100.00"	"2.01"	"BMA;CL;EPE;GDP;MAN;MMA;MN;NAG
"	"homo-dimer"	"0.74"	"PROMOD3 1.1.0"	"X-RAY"
"P00549"	"YAL038W"	"500"	"5b3d5608a03a1ba49e92f039"	"SWISSMODEL"	"2"	"500"	"0.998"	"1a3w.1.A"	"-1.9844568895"	"0.60"	"100.00"	"3.00"	"FBP;K;MN;PGA
"	"homo-tetramer"	"0.97"	"PROMOD3 1.1.0"	"X-RAY"
"P07250"	"YDR173C"	"355"	"5b3a443d3b85d1ffb10b3972"	"SWISSMODEL"	"25"	"355"	"0.932394366197183"	"2if8.2.A"	"-2.2138423643"	"0.60"	"100.00"	"2.40"	"ADP;CA;MN
"	"monomer"	"0.67"	"PROMOD3 1.1.0"	"X-RAY"
"P28241"	"YOR136W"	"369"	"5b3a80b49ffd12fd41bc381d"	"SWISSMODEL"	"20"	"369"	"0.948509485094851"	"3blx.1.B"	"-1.5540605587"	"0.60"	"100.00"	"2.70"	"
"	"monomer"	"0.97"	"PROMOD3 1.1.0"	"X-RAY"
"P28241"	"YOR136W"	"369"	"5b3a80b49ffd12fd41bc3819"	"SWISSMODEL"	"37"	"369"	"0.902439024390244"	"4aj3.1.A"	"-1.5904417935"	"0.37"	"35.06"	"1.90"	"CA;ICT;NAP
"	"homo-dimer"	"0.69"	"PROMOD3 1.1.0"	"X-RAY"
"P32643"	"YER175C"	"299"	"5b3b5314d60c59f03bedf5cc"	"SWISSMODEL"	"2"	"299"	"0.996655518394649"	"3g5t.1.A"	"-0.1560021208"	"0.62"	"100.00"	"1.12"	"DMS;EDO;MSE;SAH;T8N
"	"monomer"	"0.99"	"PROMOD3 1.1.0"	"X-RAY"
"P32643"	"YER175C"	"299"	"5b3b5314d60c59f03bedf5c8"	"SWISSMODEL"	"38"	"246"	"0.698996655518395"	"6b39.1.A"	"-4.5333283047"	"0.24"	"7.85"	"2.39"	"SAH;SO4
"	"monomer"	"0.35"	"PROMOD3 1.1.0"	"X-RAY"
"P32643"	"YER175C"	"299"	"5b3b5314d60c59f03bedf5c4"	"SWISSMODEL"	"11"	"299"	"0.966555183946488"	"5jgl.2.A"	"-3.5582536971"	"0.28"	"15.32"	"2.28"	"NA;SAM
"	"monomer"	"0.49"	"PROMOD3 1.1.0"	"X-RAY"
"Q08914"	"YOR391C"	"237"	"5b3d8892732c1e20df3c8f57"	"SWISSMODEL"	"4"	"237"	"0.987341772151899"	"3mii.1.A"	"1.2995898619"	"0.61"	"100.00"	"2.40"	"CSO;GOL;PGE;SO4
"	"homo-dimer"	"0.98"	"PROMOD3 1.1.0"	"X-RAY"
"P10614"	"YHR007C"	"530"	"5b3de5f38fd6f907b51d5ed3"	"SWISSMODEL"	"6"	"530"	"0.990566037735849"	"5eqb.1.A"	"-0.2937135067"	"0.61"	"99.81"	"2.19"	"1YN;HEM
"	"monomer"	"0.99"	"PROMOD3 1.1.0"	"X-RAY"
"P41807"	"YPR036W"	"478"	"5b3d0ca19ffd1220b01a8a0b"	"SWISSMODEL"	"1"	"477"	"0.997907949790795"	"5voz.1.P"	"-4.283551138"	"0.59"	"100.00"	"7.60"	"
"	"monomer"	"0.96"	"PROMOD3 1.1.0"	"ELECTRON"
"P41807"	"YPR036W"	"478"	"5b3d0ca19ffd1220b01a8a07"	"SWISSMODEL"	"2"	"478"	"0.997907949790795"	"1ho8.1.A"	"-4.5107132257"	"0.59"	"100.00"	"2.95"	"
"	"monomer"	"0.95"	"PROMOD3 1.1.0"	"X-RAY"
"P41807"	"YPR036W"	"478"	"5b3d0ca19ffd1220b01a8a03"	"SWISSMODEL"	"2"	"476"	"0.993723849372385"	"5d80.1.G"	"-3.610938464"	"0.59"	"100.00"	"6.20"	"
"	"monomer"	"0.95"	"PROMOD3 1.1.0"	"X-RAY"
"P28777"	"YGL148W"	"376"	"5b3a9b35d60c5957af7310ca"	"SWISSMODEL"	"8"	"369"	"0.962765957446808"	"1qxo.1.B"	"-2.0689698783"	"0.36"	"33.99"	"2.00"	"EDO;EPS;FMN;MSE;NCO
"	"homo-tetramer"	"0.70"	"PROMOD3 1.1.0"	"X-RAY"
"P28777"	"YGL148W"	"376"	"5b3a9b35d60c5957af7310c6"	"SWISSMODEL"	"1"	"370"	"0.984042553191489"	"1r52.1.A"	"-1.1047228108"	"0.61"	"100.00"	"2.89"	"
"	"homo-tetramer"	"0.70"	"PROMOD3 1.1.0"	"X-RAY"
"P43616"	"YFR044C"	"481"	"5b3d1a071a200b7e5aa590e7"	"SWISSMODEL"	"1"	"480"	"0.997920997920998"	"4g1p.1.A"	"-0.1452882373"	"0.61"	"100.00"	"2.55"	"CYS;GLY;ZN
"	"homo-dimer"	"0.98"	"PROMOD3 1.1.0"	"X-RAY"
"Q04089"	"YDR440W"	"582"	"5b3f4c2aa03a1bd5a087a8c5"	"SWISSMODEL"	"372"	"508"	"0.235395189003436"	"3p2k.1.A"	"-2.9740586884"	"0.26"	"14.84"	"2.70"	"
"	"monomer"	"0.09"	"PROMOD3 1.1.0"	"X-RAY"
"Q04089"	"YDR440W"	"582"	"5b3f4c29a03a1bd5a087a8c1"	"SWISSMODEL"	"176"	"582"	"0.699312714776632"	"1u2z.3.A"	"-0.8347857145"	"0.61"	"100.00"	"2.20"	"
"	"monomer"	"0.68"	"PROMOD3 1.1.0"	"X-RAY"
"P06738"	"YPR160W"	"902"	"5b4573c79ffd12aba55cbeef"	"SWISSMODEL"	"27"	"901"	"0.970066518847007"	"1ygp.1.A"	"-1.3306768688"	"0.61"	"98.52"	"2.80"	"PLP;PO4
"	"homo-dimer"	"0.98"	"PROMOD3 1.1.0"	"X-RAY"
"P04806"	"YFR053C"	"485"	"5b3d24ad9ffd123f9c2df6e1"	"SWISSMODEL"	"15"	"485"	"0.971134020618557"	"3b8a.1.A"	"0.0553183979"	"0.61"	"100.00"	"2.95"	"BGC;SO4
"	"monomer"	"0.98"	"PROMOD3 1.1.0"	"X-RAY"
"P22543"	"YLR240W"	"875"	"5b450c283b85d1a58dfed862"	"SWISSMODEL"	"4"	"875"	"0.996571428571429"	"5dfz.1.B"	"-4.6712276445"	"0.60"	"99.77"	"4.40"	"
"	"monomer"	"0.85"	"PROMOD3 1.1.0"	"X-RAY"
"P40581"	"YIR037W"	"163"	"5b41e7aca03a1ba914c20c7b"	"SWISSMODEL"	"2"	"162"	"0.987730061349693"	"3cmi.1.A"	"-0.6256874039"	"0.61"	"100.00"	"2.02"	"
"	"monomer"	"0.85"	"PROMOD3 1.1.0"	"X-RAY"
"P46995"	"YJL168C"	"733"	"5b4283bf8fd6f9b12f9ad95e"	"SWISSMODEL"	"40"	"266"	"0.30968622100955"	"5v22.1.A"	"-2.1565431847"	"0.42"	"42.15"	"2.40"	"SAH;ZN
"	"monomer"	"0.18"	"PROMOD3 1.1.0"	"X-RAY"
"P22108"	"YDR530C"	"325"	"5b3ac52b9ffd12287fed993f"	"SWISSMODEL"	"1"	"316"	"0.972307692307692"	"4i5t.2.A"	"-0.5944584481"	"0.62"	"100.00"	"2.30"	"
"	"monomer"	"0.97"	"PROMOD3 1.1.0"	"X-RAY"
"P36010"	"YKL067W"	"153"	"5b42b101732c1e031a98ebfd"	"SWISSMODEL"	"2"	"153"	"0.993464052287582"	"3b54.1.A"	"0.2349697212"	"0.61"	"100.00"	"3.10"	"
"	"homo-hexamer"	"0.97"	"PROMOD3 1.1.0"	"X-RAY"
"P53848"	"YNL256W"	"824"	"5b43ff138fd6f9427548bef3"	"SWISSMODEL"	"296"	"824"	"0.641990291262136"	"2bmb.1.A"	"-0.6275940196"	"0.60"	"99.44"	"2.30"	"
"	"monomer"	"0.67"	"PROMOD3 1.1.0"	"X-RAY"
"P22434"	"YGL248W"	"369"	"5b3a8060a03a1b9857357315"	"SWISSMODEL"	"1"	"369"	"1"	"4ojv.1.A"	"-1.0434050263"	"0.61"	"100.00"	"1.31"	"MPD;SO4;ZN
"	"homo-dimer"	"0.98"	"PROMOD3 1.1.0"	"X-RAY"
"P33893"	"YBL080C"	"541"	"5b3e3cd308cc8ffdc858626d"	"SWISSMODEL"	"26"	"539"	"0.950092421441775"	"3ip4.1.B"	"-3.7639360464"	"0.36"	"30.97"	"1.90"	"
"	"monomer"	"0.63"	"PROMOD3 1.1.0"	"X-RAY"
"P33893"	"YBL080C"	"541"	"5b3e3cd308cc8ffdc8586269"	"SWISSMODEL"	"31"	"523"	"0.911275415896488"	"3ip4.1.B"	"-4.9960376294"	"0.36"	"30.97"	"1.90"	"
"	"monomer"	"0.63"	"PROMOD3 1.1.0"	"X-RAY"
"Q12051"	"YPL069C"	"335"	"5b3a9ecfa03a1be52d75e346"	"SWISSMODEL"	"1"	"335"	"1"	"2z7i.1.A"	"-1.5248971608"	"0.60"	"100.00"	"2.10"	"742;MG
"	"homo-dimer"	"0.95"	"PROMOD3 1.1.0"	"X-RAY"
"P07275"	"YHR037W"	"575"	"5b3f1eea1a200b92eced0411"	"SWISSMODEL"	"43"	"565"	"0.909565217391304"	"4oe4.1.E"	"-0.8809529928"	"0.61"	"100.00"	"2.17"	"
"	"homo-hexamer"	"0.80"	"PROMOD3 1.1.0"	"X-RAY"
"P07275"	"YHR037W"	"575"	"5b3f1eea1a200b92eced040d"	"SWISSMODEL"	"28"	"574"	"0.951304347826087"	"3v9h.1.A"	"-1.9427285016"	"0.41"	"41.78"	"2.40"	"
"	"homo-dimer"	"0.72"	"PROMOD3 1.1.0"	"X-RAY"
"P50264"	"YMR020W"	"508"	"5b3d6dec1a200bbfc84eb904"	"SWISSMODEL"	"6"	"508"	"0.990157480314961"	"1yy5.1.A"	"-1.3542655339"	"0.61"	"100.00"	"2.30"	"
"	"homo-dimer"	"0.97"	"PROMOD3 1.1.0"	"X-RAY"
"P40545"	"YIL020C"	"261"	"5b3d11a13b85d1a03cf28b3f"	"SWISSMODEL"	"2"	"261"	"0.996168582375479"	"2agk.1.A"	"-0.2157838664"	"0.62"	"100.00"	"1.30"	"CIT;CL;EDO
"	"monomer"	"0.93"	"PROMOD3 1.1.0"	"X-RAY"
"Q04066"	"YDR428C"	"261"	"5b3d113aa03a1b52191b11ed"	"SWISSMODEL"	"1"	"261"	"1"	"1vkh.1.A"	"-0.9121722512"	"0.61"	"99.62"	"1.85"	"CL;GOL;MSE
"	"homo-dimer"	"0.98"	"PROMOD3 1.1.0"	"X-RAY"
"P38827"	"YHR119W"	"1080"	"5b4777caa03a1b57b362dbbc"	"SWISSMODEL"	"244"	"483"	"0.222222222222222"	"4pkd.1.B"	"-3.1337177115"	"0.28"	"13.30"	"2.50"	"GTP;IMD;MG
"	"monomer"	"0.06"	"PROMOD3 1.1.0"	"X-RAY"
"P38827"	"YHR119W"	"1080"	"5b4777caa03a1b57b362dbb8"	"SWISSMODEL"	"911"	"1080"	"0.157407407407407"	"2w5y.1.A"	"-2.3001806924"	"0.43"	"46.43"	"2.00"	"SAH;ZN
"	"monomer"	"0.08"	"PROMOD3 1.1.0"	"X-RAY"
"Q05567"	"YDR294C"	"589"	"5b3f79a78fd6f96bb7e904e6"	"SWISSMODEL"	"131"	"579"	"0.762308998302207"	"3mc6.1.A"	"-2.4556771177"	"0.61"	"99.59"	"3.15"	"LLP;PO4
"	"homo-dimer"	"0.68"	"PROMOD3 1.1.0"	"X-RAY"
"P43534"	"YFL058W"	"340"	"5b3a8b753b85d1269583cc0d"	"SWISSMODEL"	"4"	"338"	"0.985294117647059"	"4h6d.1.A"	"-0.2656825365"	"0.61"	"99.12"	"2.90"	"
"	"homo-dimer"	"0.98"	"PROMOD3 1.1.0"	"X-RAY"
"P43534"	"YFL058W"	"340"	"5b3a8b753b85d1269583cc09"	"SWISSMODEL"	"6"	"164"	"0.467647058823529"	"3s4u.1.A"	"-4.7097517109"	"0.26"	"11.95"	"3.30"	"
"	"monomer"	"0.21"	"PROMOD3 1.1.0"	"X-RAY"
"P08417"	"YPL262W"	"488"	"5b3d2ec89ffd12413877fdd2"	"SWISSMODEL"	"27"	"485"	"0.940573770491803"	"1yfm.1.A"	"-1.7246735486"	"0.60"	"99.80"	"2.60"	"
"	"homo-tetramer"	"0.95"	"PROMOD3 1.1.0"	"X-RAY"
"P13188"	"YOR168W"	"809"	"5b43ca4a08cc8f1c1af1fea6"	"SWISSMODEL"	"215"	"809"	"0.735475896168109"	"4h3s.1.A"	"0.3785417085"	"0.61"	"100.00"	"2.15"	"ACT;BR;CL;DTT;GOL;ZN
"	"monomer"	"0.70"	"PROMOD3 1.1.0"	"X-RAY"
"P13188"	"YOR168W"	"809"	"5b43ca4a08cc8f1c1af1fea2"	"SWISSMODEL"	"252"	"583"	"0.410383189122373"	"2dxi.2.B"	"-4.9751779182"	"0.31"	"22.71"	"2.20"	"ATP;GAU;MG
"	"monomer"	"0.19"	"PROMOD3 1.1.0"	"X-RAY"
"P13188"	"YOR168W"	"809"	"5b43ca4a08cc8f1c1af1fe9e"	"SWISSMODEL"	"1"	"806"	"0.996291718170581"	"4ye6.1.A"	"-3.5936460184"	"0.40"	"41.89"	"2.40"	"
"	"monomer"	"0.67"	"PROMOD3 1.1.0"	"X-RAY"
"P40011"	"YER010C"	"234"	"5b3d94a13b85d184de7db393"	"SWISSMODEL"	"2"	"233"	"0.991452991452991"	"2c5q.1.A"	"0.6171543815"	"0.60"	"100.00"	"1.70"	"CME;EDO
"	"homo-trimer"	"0.99"	"PROMOD3 1.1.0"	"X-RAY"
"P32656"	"YER163C"	"232"	"5b3da819732c1ecb30ac93e4"	"SWISSMODEL"	"5"	"232"	"0.982758620689655"	"5hwi.1.A"	"1.188036744"	"0.61"	"98.28"	"1.75"	"GOL;MSE;SIN
"	"monomer"	"0.98"	"PROMOD3 1.1.0"	"X-RAY"
"P36136"	"YKR043C"	"271"	"5b3cdb911a200b8d4b380d5a"	"SWISSMODEL"	"3"	"271"	"0.992619926199262"	"3lg2.1.A"	"0.1302938373"	"0.62"	"100.00"	"2.60"	"MSE;PO4
"	"homo-dimer"	"0.99"	"PROMOD3 1.1.0"	"X-RAY"
