"locus"	"pdbid"	"qstart2"	"qend2"	"sstart2"	"send2"	"strain_type"	"p_value"
"YDR487C"	"1_208_1tks.1.A_5b3f18019ffd124a5051d44d"	"NA"	"NA"	1	208	"Wine"	"NA"
"YOL066C"	"434_582_3ex8.1.C_5b3f80fa9ffd129a40d03f72"	"NA"	"NA"	434	582	"Wine"	"0.4171"
"YOR286W"	"28_145_3d1p.1.A_5b430311d60c59e04b28855b"	"NA"	"NA"	28	145	"Wine"	"0.6806"
"YEL006W"	"38_222_1okc.1.A_5a7c651dafa3580f496d363f"	"NA"	"NA"	38	222	"Wine"	"0.8699"
"YKL216W"	"5_314_1dor.1.A_5b3afbdf9ffd121c77ad5e82"	"NA"	"NA"	5	314	"Wine"	"0.6059"
"YNL220W"	"2_425_5i34.1.A_5b3b654fd60c598601722240"	"NA"	"NA"	2	425	"Wine"	"0.3248"
"YGR061C"	"2_1358_4r7g.1.A_5b2413e4afa3585bb32ba00f"	"NA"	"NA"	2	1358	"Wine"	"0.9764"
"YGR061C"	"5_1358_4r7g.1.A_5b2413e4afa3585bb32ba00b"	"NA"	"NA"	5	1358	"Wine"	"0.9747"
"YDR408C"	"2_211_1zly.1.A_5b3eb9a7732c1e22c212628f"	"NA"	"NA"	2	211	"Wine"	"0.1538"
"YGL234W"	"2_442_3mjf.1.A_5b43af3c1a200b61c8edef3a"	"NA"	"NA"	2	442	"Wine"	"0.3027"
"YMR300C"	"2_485_1ecb.3.C_5b3d741da03a1bbdb7feda54"	"NA"	"NA"	2	485	"Wine"	"0.9724"
"YLL015W"	"212_1558_6bhu.1.A_5b0627bcc730d48a0bbca99a"	"NA"	"NA"	212	1558	"Wine"	"0.0837"
"YBR218C"	"556_1170_5ks8.1.D_5b4e91e89ffd12f29b2d8502"	"NA"	"NA"	556	1170	"Wine"	"0.4759"
"YBR218C"	"19_1169_2qf7.1.A_5b4e91e79ffd12f29b2d84ec"	"NA"	"NA"	19	1169	"Wine"	"0.758"
"YBR218C"	"19_1089_3tw6.1.B_5b4e91e89ffd12f29b2d84f2"	"NA"	"NA"	19	1089	"Wine"	"0.6286"
"YBR218C"	"557_1170_5ks8.1.C_5b4e91e89ffd12f29b2d84fe"	"NA"	"NA"	557	1170	"Wine"	"0.4586"
"YBR218C"	"22_1164_5vz0.1.A_5b4e91e89ffd12f29b2d84f8"	"NA"	"NA"	22	1164	"Wine"	"0.7306"
"YHR068W"	"8_383_1rlz.1.A_5b3abff9a03a1bce2da8b032"	"NA"	"NA"	8	383	"Wine"	"0.7171"
"YBL057C"	"88_208_2zv3.3.B_5b3f108208cc8ffac768633b"	"NA"	"NA"	88	208	"Wine"	"0.9829"
"YLR201C"	"38_231_4rhp.1.B_5b3d16fa08cc8f44450061c3"	"NA"	"NA"	38	231	"Wine"	"0.4516"
"YBR222C"	"4_534_5ie2.1.A_5b3e4a309ffd1217e2f3a979"	"NA"	"NA"	4	534	"Wine"	"0.1945"
"YBR222C"	"4_533_5bsr.1.A_5b3e4a309ffd1217e2f3a97d"	"NA"	"NA"	4	533	"Wine"	"0.3284"
"YDR300C"	"6_426_4q1t.1.A_5b3b54998fd6f9adc78ebe70"	"NA"	"NA"	6	426	"Wine"	"0.8398"
"YDR441C"	"6_179_5vjn.1.A_5b40b44ba03a1b86e619d181"	"NA"	"NA"	6	179	"Wine"	"0.3533"
"YDR007W"	"11_224_1nsj.1.A_5b3e29151a200b804c7d1e26"	"NA"	"NA"	11	224	"Wine"	"0.0698"
"YDL024C"	"9_468_2gfi.1.A_5b3ce95d9ffd126d23e29ff0"	"NA"	"NA"	9	468	"Wine"	"0.895"
"YDL024C"	"35_467_2gfi.1.A_5b3ce95d9ffd126d23e29fec"	"NA"	"NA"	35	467	"Wine"	"0.9099"
"YHR215W"	"11_465_2gfi.1.A_5b3ce5f49ffd12be89cfe60d"	"NA"	"NA"	11	465	"Wine"	"NA"
"YBR093C"	"6_467_2gfi.1.A_5b3ce3953b85d1da0957a163"	"NA"	"NA"	6	467	"Wine"	"0.2875"
"YBR092C"	"34_465_2gfi.1.A_5b3ce5f59ffd12be89cfe6f1"	"NA"	"NA"	34	465	"Wine"	"0.0304"
"YBR092C"	"6_467_2gfi.1.A_5b3ce5f59ffd12be89cfe6ec"	"NA"	"NA"	6	467	"Wine"	"0.0254"
"YBL033C"	"136_279_2bz1.1.A_5a7c3e56c730d475c3dc64ac"	"NA"	"NA"	136	279	"Wine"	"0.1056"
"YLR328W"	"162_389_1kku.1.A_5b3aeb121a200b4161277e52"	"NA"	"NA"	162	389	"Wine"	"0.9085"
"YLR209C"	"6_311_5ifk.1.A_5b3b0fce1a200b630ddc4fa0"	"NA"	"NA"	6	311	"Wine"	"0.4387"
"YMR120C"	"4_592_1g8m.1.A_5b3f889e08cc8fa5122f0c55"	"NA"	"NA"	4	592	"Wine"	"0.3741"
"YGR199W"	"341_546_3mal.1.A_5b4306c79ffd12212503f44f"	"NA"	"NA"	341	546	"Wine"	"0.9672"
"YHR190W"	"35_375_3v66.1.A_5b3b7ef61a200b7e447b1595"	"NA"	"NA"	35	375	"Wine"	"0.1847"
"YFL045C"	"6_254_5ue7.1.A_5b3d320fa03a1b641490aebf"	"NA"	"NA"	6	254	"Wine"	"0.9549"
"YDL078C"	"2_339_1mld.1.A_5b3a7e331a200b6751da0246"	"NA"	"NA"	2	339	"Wine"	"0.4303"
"YER037W"	"4_284_3nuq.1.A_5b3ad8ce3b85d1cd69e9e1b0"	"NA"	"NA"	4	284	"Wine"	"0.7963"
"YKL127W"	"5_570_5vg7.1.A_5b3efad5a03a1bf988f972de"	"NA"	"NA"	5	570	"Wine"	"0.6576"
"YJR153W"	"46_361_2iq7.1.A_5b3a5fa3a03a1b51f6f76069"	"NA"	"NA"	46	361	"Wine"	"0.5069"
"YOR074C"	"7_304_1f28.1.B_5b3b3d289ffd1258d1961cdc"	"NA"	"NA"	7	304	"Wine"	"0.148"
"YDL021W"	"10_95_2pa0.1.A_59f2ac9e7f4bf97628593a8a"	"NA"	"NA"	10	95	"Wine"	"0.6715"
"YDL021W"	"11_135_1h2e.1.A_59f2ac9e7f4bf97628593a82"	"NA"	"NA"	11	135	"Wine"	"0.5508"
"YGR244C"	"31_422_4xx0.1.B_5b3b4c9d732c1e66e9a5e2c8"	"NA"	"NA"	31	422	"Wine"	"0.1284"
"YPR145W"	"2_546_1ct9.1.A_5b3f0af0d60c5961d6d9368d"	"NA"	"NA"	2	546	"Wine"	"0.9929"
"YJR105W"	"3_336_5kb5.1.A_5b3a8a779ffd12fe0699bccf"	"NA"	"NA"	3	336	"Wine"	"0.7881"
"YPR002W"	"36_514_1szq.1.A_5b3d85cc08cc8f8d9cad5cc0"	"NA"	"NA"	36	514	"Wine"	"0.5762"
"YLR134W"	"2_559_2w93.1.B_5b3ed1fe1a200bbc892895b6"	"NA"	"NA"	2	559	"Wine"	"0.5034"
"YLR099C"	"176_213_4f0j.1.A_5886310a7aaa0d4986af6b26"	"NA"	"NA"	176	213	"Wine"	"NA"
"YBR002C"	"25_261_4h8e.1.A_5b3b9ffa732c1ed120f08f93"	"NA"	"NA"	25	261	"Wine"	"0.1332"
"YDR531W"	"19_359_5kpr.1.A_5b3a79673b85d170517d01d0"	"NA"	"NA"	19	359	"Wine"	"0.6991"
"YBR176W"	"23_295_3vav.1.A_5b3b080308cc8f09421a59b5"	"NA"	"NA"	23	295	"Wine"	"0.5118"
"YBR176W"	"23_293_1oy0.1.A_5b3b080308cc8f09421a59b0"	"NA"	"NA"	23	293	"Wine"	"0.5122"
"YHR179W"	"2_399_3tx9.1.A_5b3aeaa39ffd12d85f9edc24"	"NA"	"NA"	2	399	"Wine"	"0.1816"
"YJL088W"	"10_334_3sds.1.A_5b3a91133b85d1633d2f78b1"	"NA"	"NA"	10	334	"Wine"	"0.6046"
"YBR221C"	"39_365_2ozl.1.B_5b3a749a9ffd12a82b0d964a"	"NA"	"NA"	39	365	"Wine"	"0.643"
"YNL071W"	"175_214_1zy8.2.C_5a7dfd5ac730d46592e49404"	"NA"	"NA"	175	214	"Wine"	"NA"
"YNL071W"	"252_482_3l60.1.A_5a7dfd5ac730d46592e49400"	"NA"	"NA"	252	482	"Wine"	"0.0271"
"YIL125W"	"42_1012_2xt6.1.A_5b46dafc1a200bb627e161ff"	"NA"	"NA"	42	1012	"Wine"	"0.3215"
"YIL125W"	"116_1011_2jgd.1.A_5b46dafc1a200bb627e16204"	"NA"	"NA"	116	1011	"Wine"	"0.3636"
"YIL125W"	"124_1011_2y0p.1.A_5b46dafc1a200bb627e161fb"	"NA"	"NA"	124	1011	"Wine"	"0.2527"
"YLR438W"	"7_421_2can.1.A_5b3b42fc3b85d15463e2d4c5"	"NA"	"NA"	7	421	"Wine"	"0.5294"
"YDL236W"	"7_309_4bx2.1.A_5b3b08c508cc8f29cb803795"	"NA"	"NA"	7	309	"Wine"	"0.1013"
"YGL026C"	"2_265_5kmy.1.A_5b41fc2fa03a1b51fbebbebc"	"NA"	"NA"	2	265	"Wine"	"0.1749"
"YGL026C"	"305_688_5dw3.2.A_5b41fc2fa03a1b51fbebbeb8"	"NA"	"NA"	305	688	"Wine"	"0.8387"
"YHR208W"	"21_389_5bwt.1.A_5b3ad442732c1eef9301b627"	"NA"	"NA"	21	389	"Wine"	"0.3858"
"YCL017C"	"99_485_1p3w.1.A_5b3d4c0b9ffd12bdda19ed30"	"NA"	"NA"	99	485	"Wine"	"0.7851"
"YDL085W"	"97_542_5yjw.1.A_5b3e640b9ffd12e625bd567b"	"NA"	"NA"	97	542	"Wine"	"0.3819"
"YJL071W"	"402_569_4k30.1.A_59cae3dfafa358bb326f903b"	"NA"	"NA"	402	569	"Wine"	"0.6705"
"YLL041C"	"32_264_2fbw.1.B_5b3cfa1c8fd6f9ddac1171f2"	"NA"	"NA"	32	264	"Wine"	"0.6139"
"YOR196C"	"118_401_4u0p.1.A_5b3b1a90d60c59758e8a5ad2"	"NA"	"NA"	118	401	"Wine"	"0.5892"
"YER003C"	"2_427_5nw7.1.A_5b3b556e8fd6f9d9795eeb27"	"NA"	"NA"	2	427	"Wine"	"0.1812"
"YMR062C"	"28_438_1vz6.1.A_5b3b8bab08cc8ffdefb236ba"	"NA"	"NA"	28	438	"Wine"	"0.6777"
"YNL202W"	"19_269_4fc6.1.A_5b3b7b13732c1ed72a949bef"	"NA"	"NA"	19	269	"Wine"	"0.7802"
"YOR236W"	"5_211_3ro9.1.A_5b3ee46b1a200b2544525530"	"NA"	"NA"	5	211	"Wine"	"0.9892"
"YBR196C"	"16_552_4wmj.1.A_5b3e9a39a03a1bc27a542096"	"NA"	"NA"	16	552	"Wine"	"0.5245"
"YGL062W"	"18_1168_2qf7.1.A_5b4e83f39ffd122a4d0fd720"	"NA"	"NA"	18	1168	"Wine"	"0.2969"
"YGL062W"	"18_1088_3tw6.1.B_5b4e83f39ffd122a4d0fd70c"	"NA"	"NA"	18	1088	"Wine"	"0.2838"
"YGL062W"	"556_1170_5ks8.1.C_5b4e83f39ffd122a4d0fd71c"	"NA"	"NA"	556	1170	"Wine"	"0.2747"
"YGL062W"	"19_1169_5vz0.1.A_5b4e83f39ffd122a4d0fd712"	"NA"	"NA"	19	1169	"Wine"	"0.3561"
"YGL062W"	"555_1170_5ks8.1.D_5b4e83f39ffd122a4d0fd718"	"NA"	"NA"	555	1170	"Wine"	"0.3101"
"YDR502C"	"5_383_2p02.1.A_5b3ab44e732c1e2d2bd71bb4"	"NA"	"NA"	5	383	"Wine"	"0.7261"
"YER091C"	"1_765_4qqu.1.A_5b432296d60c590a390a3f72"	"NA"	"NA"	1	765	"Wine"	"0.4943"
"YFR055W"	"11_340_1cl2.1.A_5b3a8941d60c59a2575fbc9d"	"NA"	"NA"	11	340	"Wine"	"0.7673"
"YJR137C"	"846_1433_5h8v.1.A_5b2439f1ad01f06ba7ed60c8"	"NA"	"NA"	846	1433	"Wine"	"0.0032"
"YJR137C"	"339_665_6ciq.2.B_5b2439f1ad01f06ba7ed60c4"	"NA"	"NA"	339	665	"Wine"	"0.8888"
"YJR137C"	"679_836_1b1c.1.A_5b2439f0ad01f06ba7ed60c0"	"NA"	"NA"	679	836	"Wine"	"0.2975"
"YNL277W"	"28_448_2vav.1.A_5b3d29158fd6f97841dfe104"	"NA"	"NA"	28	448	"Wine"	"0.1678"
"YER062C"	"1_237_2qlt.1.A_5b3d47b13b85d12b6cc41387"	"NA"	"NA"	1	237	"Wine"	"0.2694"
"YOL126C"	"13_372_1sev.1.A_5b3a9e748fd6f9674713b642"	"NA"	"NA"	13	372	"Wine"	"0.6302"
"YHR011W"	"20_446_2zr3.1.A_5b3b9da9732c1e67cc620072"	"NA"	"NA"	20	446	"Wine"	"0.5165"
"YIR031C"	"25_541_3cuz.1.A_5b3e9914732c1ef8620670a7"	"NA"	"NA"	25	541	"Wine"	"0.9278"
"YBL091C"	"50_421_5cls.1.A_5b3b36e18fd6f9b57661c65e"	"NA"	"NA"	50	421	"Wine"	"0.4059"
"YHR216W"	"5_523_4z87.1.A_5b3dac0f1a200b07ab1ac1fc"	"NA"	"NA"	5	523	"Wine"	"0.0287"
"YHR216W"	"22_521_1jr1.1.A_5b3dac0f1a200b07ab1ac1f7"	"NA"	"NA"	22	521	"Wine"	"0.04"
"YJL167W"	"6_352_1fps.1.A_5b3a523b732c1ed2d53a28c5"	"NA"	"NA"	6	352	"Wine"	"0.6027"
"YCR036W"	"2_331_5bye.1.A_5b3aa42f9ffd12578f9a4797"	"NA"	"NA"	2	331	"Wine"	"0.9351"
"YKL218C"	"1_318_2zr8.1.A_5b3ac4c11a200b7f94e660ca"	"NA"	"NA"	1	318	"Wine"	"0.6292"
"YEL058W"	"17_554_2dkd.1.A_5b3eab389ffd1285d6cb09e5"	"NA"	"NA"	17	554	"Wine"	"0.9988"
"YEL058W"	"1_554_2dkd.1.A_5b3eab389ffd1285d6cb09e1"	"NA"	"NA"	1	554	"Wine"	"0.9994"
"YJL100W"	"165_209_4wtv.1.A_5b3fdef49ffd12a97042fec7"	"NA"	"NA"	165	209	"Wine"	"0.0404"
"YPL060W"	"64_326_3rkg.1.A_5b3b1a3dd60c5969ba0f11b7"	"NA"	"NA"	64	326	"Wine"	"0.3928"
"YIL094C"	"22_371_3ty3.1.A_5b3a881ad60c59610c59b523"	"NA"	"NA"	22	371	"Wine"	"0.5375"
"YOR108W"	"26_595_3hpz.1.B_5b3fcd451a200b248efaff5d"	"NA"	"NA"	26	595	"Wine"	"0.8774"
"YOR108W"	"26_595_3hpz.1.A_5b3fcd451a200b248efaff59"	"NA"	"NA"	26	595	"Wine"	"0.8873"
"YCL018W"	"4_362_3udo.1.A_5b3a6dfb9ffd1253c977ad36"	"NA"	"NA"	4	362	"Wine"	"0.2888"
"YKR097W"	"32_548_1ii2.1.A_5b3e75051a200b5038d5bb65"	"NA"	"NA"	32	548	"Wine"	"0.3722"
"YMR246W"	"39_691_5mst.1.A_5b41c4d68fd6f9da68b53e00"	"NA"	"NA"	39	691	"Wine"	"0.4465"
"YLR231C"	"4_451_3e9k.1.A_5b3bb7aed60c599ec3dd03cb"	"NA"	"NA"	4	451	"Wine"	"0.9427"
"YPL053C"	"99_445_1s4p.1.A_5b3b9f3c8fd6f9aedd48be37"	"NA"	"NA"	99	445	"Wine"	"0.0412"
"YOR099W"	"53_393_1s4p.1.A_5b3ad31e1a200b60685c125c"	"NA"	"NA"	53	393	"Wine"	"0.3258"
"YNL009W"	"3_407_5i95.1.A_5b3b33013b85d149be774329"	"NA"	"NA"	3	407	"Wine"	"0.6548"
"YOR347C"	"4_502_1a3w.1.A_5b3d68ae3b85d1733b3a4b70"	"NA"	"NA"	4	502	"Wine"	"0.5319"
"YDL182W"	"21_390_3a9i.1.A_5b3b54803b85d1c24c4916de"	"NA"	"NA"	21	390	"Wine"	"0.3898"
"YDL182W"	"12_392_3mi3.1.A_5b3b54803b85d1c24c4916d2"	"NA"	"NA"	12	392	"Wine"	"0.4233"
"YOL061W"	"4_109_3dah.1.A_5a7e2a13a52be74777550bff"	"NA"	"NA"	4	109	"Wine"	"NA"
"YBR263W"	"33_488_5v7i.1.A_5b3d34951a200b259ed699dc"	"NA"	"NA"	33	488	"Wine"	"0.9795"
"YLL057C"	"113_392_3v15.1.A_5b3b12eed60c592a87d28146"	"NA"	"NA"	113	392	"Wine"	"0.2382"
"YOL058W"	"3_407_2nz2.1.A_5b3b35f48fd6f984d262b2f4"	"NA"	"NA"	3	407	"Wine"	"0.9585"
"YMR208W"	"4_409_2r3v.1.A_5b3b93b43b85d121d3971817"	"NA"	"NA"	4	409	"Wine"	"0.8301"
"YKL001C"	"18_64_5ko2.1.A_5b3f6f008fd6f9912e343489"	"NA"	"NA"	18	64	"Wine"	"NA"
"YKL001C"	"7_198_6c6b.2.B_5b3f6f008fd6f9912e343485"	"NA"	"NA"	7	198	"Wine"	"NA"
"YER170W"	"12_224_2ak3.2.A_5b3e1826732c1e10667858b4"	"NA"	"NA"	12	224	"Wine"	"0.8945"
"YJR069C"	"3_194_4f95.1.A_5b3fc12b9ffd122b6c1d4e96"	"NA"	"NA"	3	194	"Wine"	"0.7641"
"YOR226C"	"20_155_5t0v.1.C_5b4271f2d60c59e5e91a2b47"	"NA"	"NA"	20	155	"Wine"	"0.3881"
"YNL169C"	"165_197_6g2j.1.5_5b422bafc4494f4eed1936d6"	"NA"	"NA"	165	197	"Wine"	"NA"
"YFL001W"	"27_52_3s9g.1.A_5b3b8f9908cc8fd55cd0e76b"	"NA"	"NA"	27	52	"Wine"	"NA"
"YHR189W"	"9_190_4yly.1.A_59086a59d823cc88f08891fe"	"NA"	"NA"	9	190	"Wine"	"0.7024"
"YER099C"	"5_313_2h07.1.B_5b3ae57ad60c593b585e52ce"	"NA"	"NA"	5	313	"Wine"	"0.0011"
"YOR109W"	"542_888_1i9y.1.A_5b47b5213b85d12c7ca1aa8e"	"NA"	"NA"	542	888	"Wine"	"0.1564"
"YNL106C"	"567_913_1i9y.1.A_5b4e9ab69ffd1284f092288f"	"NA"	"NA"	567	913	"Wine"	"0.5466"
"YIL002C"	"503_851_1i9y.1.A_5b4616c8a03a1b2a492ae745"	"NA"	"NA"	503	851	"Wine"	"0.9979"
"YDR287W"	"8_285_2hhm.1.B_5b3b7a35d60c59bbcafbb32c"	"NA"	"NA"	8	285	"Wine"	"0.948"
"YLR432W"	"5_523_4z87.1.A_5b3daade9ffd12f229d5a50a"	"NA"	"NA"	5	523	"Wine"	"0.4438"
"YDR111C"	"24_506_3tcm.1.A_5b3d6c7e8fd6f9ed970b6636"	"NA"	"NA"	24	506	"Wine"	"0.7389"
"YJR016C"	"20_584_5j83.1.A_5b3f5d5508cc8fa7c3bb1ef1"	"NA"	"NA"	20	584	"Wine"	"0.4839"
"YLR355C"	"61_393_3ulk.2.A_5b3ada238fd6f9b308989ba8"	"NA"	"NA"	61	393	"Wine"	"0.0871"
"YLR355C"	"43_395_3fr7.1.A_5b3ada238fd6f9b308989ba4"	"NA"	"NA"	43	395	"Wine"	"0.1184"
"YLR355C"	"73_392_6aqj.1.A_5b3ada238fd6f9b308989ba0"	"NA"	"NA"	73	392	"Wine"	"0.1262"
"YPL117C"	"63_287_2i6k.1.A_5b3b973208cc8f6161751a63"	"NA"	"NA"	63	287	"Wine"	"0.4754"
"YLR174W"	"1_409_2qfx.1.A_5b3b12efd60c592a87d2817a"	"NA"	"NA"	1	409	"Wine"	"0.4824"
"YIL043C"	"28_268_2eix.1.A_5b3ba752a03a1b3e1f33c822"	"NA"	"NA"	28	268	"Wine"	"0.4709"
"YHR163W"	"2_245_3ico.1.A_5b3d4de49ffd120d8562b37e"	"NA"	"NA"	2	245	"Wine"	"0.7622"
"YDL093W"	"320_509_3mal.1.A_5b42c1a6d60c592ec19f37cc"	"NA"	"NA"	320	509	"Wine"	"0.3803"
"YIL145C"	"1_309_2ejc.1.A_5b3b1e5dd60c591f716f1289"	"NA"	"NA"	1	309	"Wine"	"0.0328"
"YAL044C"	"37_167_3hgb.1.A_5b41753e08cc8fc0c0db49a4"	"NA"	"NA"	37	167	"Wine"	"NA"
"YHR051W"	"46_146_5iy5.2.E_5b4327171a200bc1127ecae3"	"NA"	"NA"	46	146	"Wine"	"NA"
"YOR040W"	"11_285_1qh5.1.A_5b3ba1e88fd6f917391d5fb5"	"NA"	"NA"	11	285	"Wine"	"0.5855"
"YLR420W"	"12_360_3pnu.1.A_5b3a6d5808cc8f732410f16f"	"NA"	"NA"	12	360	"Wine"	"0.3148"
"YGR154C"	"4_356_5lkb.1.A_5b3a46313b85d173dd45b5b1"	"NA"	"NA"	4	356	"Wine"	"0.8935"
"YMR189W"	"63_1027_4lgl.1.A_5b470e828fd6f9a3fb8d1a26"	"NA"	"NA"	63	1027	"Wine"	"0.4698"
"YNL104C"	"28_595_3hpz.1.B_5b40270908cc8f17530ace17"	"NA"	"NA"	28	595	"Wine"	"0.2435"
"YNL104C"	"28_595_3hpz.1.A_5b40270808cc8f17530ace13"	"NA"	"NA"	28	595	"Wine"	"0.2197"
"YMR169C"	"14_504_4wj9.1.A_5b3d674aa03a1bae53cd7639"	"NA"	"NA"	14	504	"Wine"	"0.0141"
"YHR044C"	"9_231_2qlt.1.A_5b3d5be4d60c5971d539d02a"	"NA"	"NA"	9	231	"Wine"	"0.9674"
"YJL052W"	"1_332_3pym.1.A_5b3aaae6d60c59b81a9931aa"	"NA"	"NA"	1	332	"Wine"	"0.6423"
"YKL184W"	"64_463_2oo0.1.A_5b3cd9ad8fd6f9ac4004ce78"	"NA"	"NA"	64	463	"Wine"	"0.2232"
"YBL076C"	"2_843_1jzq.1.A_5b476a7f3b85d1b86cfdc426"	"NA"	"NA"	2	843	"Wine"	"0.3993"
"YJL216C"	"7_579_3axh.1.A_5b3f4680a03a1b6f9e690905"	"NA"	"NA"	7	579	"Wine"	"0.0952"
"YIR027C"	"4_458_4tqt.1.A_5b3ca07c08cc8ff629cc8882"	"NA"	"NA"	4	458	"Wine"	"0.5421"
"YDR062W"	"104_545_5txr.1.A_5b3eca218fd6f9bcb9f0eb71"	"NA"	"NA"	104	545	"Wine"	"0.6288"
"YDR062W"	"100_524_4bmk.1.A_5b3eca218fd6f9bcb9f0eb6d"	"NA"	"NA"	100	524	"Wine"	"0.2479"
"YLR153C"	"38_674_1ry2.1.A_5b4185e408cc8fd222bcf480"	"NA"	"NA"	38	674	"Wine"	"0.4744"
"YLR153C"	"32_672_5vpv.2.A_5b4185e408cc8fd222bcf47c"	"NA"	"NA"	32	672	"Wine"	"0.9143"
"YDR268W"	"34_379_6dfu.1.A_5b3aa317732c1e57c5864d40"	"NA"	"NA"	34	379	"Wine"	"0.1972"
"YLR369W"	"31_574_3c7n.1.B_5b4100329ffd12a362f0b5d0"	"NA"	"NA"	31	574	"Wine"	"0.8402"
"YLR369W"	"27_586_1yuw.1.A_5b4100329ffd12a362f0b5cc"	"NA"	"NA"	27	586	"Wine"	"0.4821"
"YLR369W"	"28_650_5nro.1.A_5b4100329ffd12a362f0b5c4"	"NA"	"NA"	28	650	"Wine"	"0.6387"
"YLR369W"	"31_567_3c7n.1.A_5b4100329ffd12a362f0b5d4"	"NA"	"NA"	31	567	"Wine"	"0.8783"
"YLR369W"	"30_576_5obu.1.A_5b4100329ffd12a362f0b5c0"	"NA"	"NA"	30	576	"Wine"	"0.9193"
"YLR369W"	"29_571_2v7y.1.A_5b4100329ffd12a362f0b5c8"	"NA"	"NA"	29	571	"Wine"	"0.8219"
"YLR377C"	"19_345_5oey.1.A_5b3a65bdd60c594dd678914a"	"NA"	"NA"	19	345	"Wine"	"NA"
"YBL064C"	"49_258_5b6m.1.A_5b3d134c3b85d1de9c2d390e"	"NA"	"NA"	49	258	"Wine"	"NA"
"YGR124W"	"2_545_1ct9.1.A_5b3f097c3b85d172417fdf47"	"NA"	"NA"	2	545	"Wine"	"0.4728"
"YDR040C"	"14_1052_5mpm.1.A_5b47947ad60c597c3b64de5f"	"NA"	"NA"	14	1052	"Wine"	"0.0874"
"YNR057C"	"12_232_3of5.1.A_5b3d87813b85d1b15772950b"	"NA"	"NA"	12	232	"Wine"	"0.9593"
"YJR109C"	"23_1114_5dot.1.A_5b4ccfe4a03a1b5614bfe7e4"	"NA"	"NA"	23	1114	"Wine"	"0.1215"
"YJR109C"	"21_1114_1bxr.1.A_5b4ccfe3a03a1b5614bfe7e0"	"NA"	"NA"	21	1114	"Wine"	"0.1353"
"YJR109C"	"21_1080_5dou.1.A_5b4ccfe3a03a1b5614bfe7db"	"NA"	"NA"	21	1080	"Wine"	"0.1472"
"YKL019W"	"3_315_4yde.1.A_5b3aee7a9ffd129a7fdf6bf1"	"NA"	"NA"	3	315	"Wine"	"0.8398"
"YER183C"	"2_203_3hy3.1.A_5b3eedc8a03a1bc4dd75c1a7"	"NA"	"NA"	2	203	"Wine"	"0.9944"
"YPL040C"	"58_270_3ziu.1.A_5a571e497aaa0db405be57ee"	"NA"	"NA"	58	270	"Wine"	"0.8655"
"YAR035W"	"3_642_2fy2.1.A_5b419b6d1a200b3eae99c112"	"NA"	"NA"	3	642	"Wine"	"0.6545"
"YAR035W"	"1_648_2h4t.1.A_5b419b6d1a200b3eae99c116"	"NA"	"NA"	1	648	"Wine"	"0.6198"
"YDL052C"	"5_247_5kym.1.A_5b3b3f4f8fd6f96720bd37fd"	"NA"	"NA"	5	247	"Wine"	"0.0454"
"YNL241C"	"7_498_5vg5.4.A_5b3d65309ffd1254ac760be5"	"NA"	"NA"	7	498	"Wine"	"0.5925"
"YIL083C"	"55_355_1p9o.1.B_5b3a7249732c1e42595ac1be"	"NA"	"NA"	55	355	"Wine"	"0.3232"
